"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"State"	"MaxFC"	"InitialState"
"LAMA5"	"LAMA5"	0.0562288452769227	-0.00570780916969333	1.78666896755359	-0.171413536248007	-0.103783992572469	-0.158829957233474	-0.264105895343304	-0.271176204242969	-0.125387514268549	"S01"	1.78666896755359	"IS03"
"CBLN2"	"CBLN2"	-0.12868552912076	-0.13108339612301	1.78347268527926	-0.121522610993117	-0.129210776178396	-0.13149175561249	-0.131628441429135	-0.133150957576054	-0.142597478214896	"S01"	1.78347268527926	"IS03"
"PLAT"	"PLAT"	-0.104708513507204	0.320971226960881	1.76244627488076	-0.0240697394493266	-0.0891098399314347	0.38738382445442	-0.362513645683818	-0.240148816332416	-0.627254086640348	"S01"	1.76244627488076	"IS03"
"NPY"	"NPY"	-0.141815835561527	-0.144458366658946	1.73593242890793	-0.133922055846969	-0.142394675706676	-0.144908392723304	-0.145059025148173	-0.146736889792368	-0.0663680542499847	"S01"	1.73593242890793	"IS03"
"WFDC1"	"WFDC1"	-0.216982642160157	0.377726712641498	1.73569571535387	-0.434405074958636	-0.0635213379570798	0.293525280501715	-0.258112168675002	-0.493265610952017	-0.300031610361541	"S01"	1.73569571535387	"IS03"
"TSPAN33"	"TSPAN33"	-0.137604031499278	-0.138898358568006	1.72251188980238	-0.220617611359524	-0.116991270277826	0.102903625427974	-0.0571079101884991	-0.2866305295839	-0.185229004055451	"S01"	1.72251188980238	"IS03"
"CXCL14"	"CXCL14"	-0.563219122489817	-0.341592333352755	1.68671902970514	-0.592254740759439	0.775061046416932	1.31484397681918	-0.699658899379179	-0.832284651526626	-0.200370302852626	"S01"	1.68671902970514	"IS03"
"ITGA8"	"ITGA8"	-0.149266203167095	-0.188619895120769	1.61697132067227	-0.200843657875708	-0.17120445573808	0.517761016881496	-0.217004800918048	-0.316203804183409	-0.229110724337837	"S01"	1.61697132067227	"IS03"
"DMKN"	"DMKN"	0.0911498539234067	-0.062607411983476	1.53324071012194	-0.370731119178071	0.274436500116144	0.0145889817838004	-0.264467048540865	-0.477236081657905	-0.14549383634367	"S01"	1.53324071012194	"IS03"
"GLP2R"	"GLP2R"	-0.19518720041421	-0.198824228993357	1.50851342508514	-0.184322653750079	-0.152085569918761	-0.121603852774989	-0.160983535425733	0.0509269010201386	-0.0390566814754951	"S01"	1.50851342508514	"IS03"
"PDGFRA"	"PDGFRA"	0.68839020597534	0.211654465257263	1.48603630371203	-0.205025356601299	-0.521313871305576	0.0229148021735905	-0.138078021969919	0.0627499487603503	-0.725559023988495	"S01"	1.48603630371203	"IS03"
