"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"IS12"	"IS13"	"IS14"	"IS15"	"IS16"	"IS17"	"IS18"	"IS19"	"State"	"MaxFC"	"InitialState"
"PLCG2"	"PLCG2"	0.103122155946571	0.107785305363999	-0.116402390037653	1.38471183828244	-0.117314901425259	-0.117015960438959	0.0615350222633576	-0.278551299969908	-0.0945288345674962	0.162094046679586	-0.128029749290943	0.190950348352936	-0.0316159654700931	-0.0983473026519602	-0.0305180815306719	-0.322263328116355	-0.137140058819571	0.0896872907869847	-0.0593706640080364	"S01"	1.38471183828244	"IS04"
"MAP4K1"	"MAP4K1"	-0.09134937494725	-0.0470512372012383	-0.0728319907329557	1.37698830093532	0.0446966992727651	0.0242082456637113	0.158998309478306	-0.278294208356327	-0.183494712200163	-0.119468988795062	-0.205941978219096	-0.141759479646208	-0.0693907520811557	-0.0111577255181269	-0.152459672572065	-0.229270958542598	-0.13745119118189	-0.101541706668241	0.275882743572345	"S01"	1.37698830093532	"IS04"
"IKZF3"	"IKZF3"	-0.0350276063100271	0.108824664473953	0.0428592946778775	1.3481279787551	0.0698904412981545	0.0278886373466002	0.290764188138984	-0.305851327059398	-0.154088545128328	-0.104935330042698	-0.186521094515156	0.0487606306913861	-0.0534691372105769	-0.158551946213607	-0.176256872470333	-0.194712248571577	-0.133418121886457	0.047262864136091	-0.0933806322784296	"S01"	1.3481279787551	"IS04"
"CSF2RB"	"CSF2RB"	0.679198169985584	0.118269418461305	-0.0431490109539616	1.32985958234391	-0.239418609960766	0.185892865237055	0.413143917154261	-0.662415549985059	-0.174889530959701	0.289443532444297	-0.0393105561750457	-0.0504063312631469	0.122175109656504	-0.274102620510273	-0.00367530740966669	-0.222073395826177	0.0363746007665827	-0.154705184385494	-0.224138739124726	"S01"	1.32985958234391	"IS04"
"KCNN3"	"KCNN3"	-0.0219895019692387	0.202115730974177	-0.0671445046235724	1.31664183827139	0.00896576308848305	-0.102720897100772	0.318293951912118	-0.461903762725636	-0.236318667811377	0.411191620264215	-0.130757615505268	0.391882237155096	-0.198617011947692	-0.113943513528604	-0.158830812904129	-0.283075139188496	0.0694770229759143	-0.0476110970963467	-0.0992264262449533	"S01"	1.31664183827139	"IS04"
"CST7"	"CST7"	0.34987773786957	-0.0330462171207541	-0.268889584718727	1.30674657451392	-0.126242814273413	0.0685254063313576	0.710151229905622	-0.602341304975972	-0.135833217689266	0.0349131799227193	-0.151428439693824	-0.0103375933512144	0.148299692441416	-0.436271847320644	-0.0698468343868172	-0.12031936144199	0.192374606184309	-0.112089260670387	-0.0706992698156543	"S01"	1.30674657451392	"IS04"
"PTPN7"	"PTPN7"	0.0179518121672092	0.0466513753672547	-0.108322160052338	1.30301928073265	-0.0108453251134022	-0.236288794202657	0.463829096317512	-0.22338085646636	-0.0704854424665438	-0.166878477461636	-0.0438022405046155	-0.052626794438412	-0.178254990173121	-0.227847640136162	-0.147394730741636	-0.154615020126641	-0.140129796967649	0.024456327827305	-0.126566956705493	"S01"	1.30301928073265	"IS04"
"IL7R"	"IL7R"	0.610964592927804	-0.266694184649799	0.00443190434102425	1.25756024404922	-0.0398905482580059	0.224460761768676	0.224186653714325	-0.547502333665307	-0.346283623955059	0.335503973861619	0.295535619228763	-0.215584226100695	-0.0190941895506966	-0.232492194052958	-0.053808158994436	-0.354920674931078	0.278967394124341	0.0267640367998223	-0.196002953086427	"S01"	1.25756024404922	"IS04"
"HEMGN"	"HEMGN"	0.100601053180807	-0.262245544324765	0.05626987687501	1.25524171232502	0.676420564484992	0.374171832759849	-0.108787468160448	-0.366060430514397	-0.130320088075972	0.554322179585718	-0.195134669889505	-0.139928518247756	-0.132632488283643	0.184187330105408	-0.0685526629677927	-0.35230099130946	-0.237141090732223	-0.0638767657756388	-0.170394643074735	"S01"	1.25524171232502	"IS04"
"HLA.DQA1"	"HLA.DQA1"	0.806215997614605	0.0247387619129723	-0.162081634887754	1.22899914960516	-0.0374738257791196	0.265559395635898	1.15427644561273	-0.810383737044944	-0.272721442074873	0.0183241888091051	-0.0494574471267563	0.022761617714481	0.527743376226852	-0.178929093302711	-0.149268187424339	-0.147004882166436	0.128261904733193	-0.260699001299829	-0.299079351664716	"S01"	1.22899914960516	"IS04"
"CLEC4C"	"CLEC4C"	0.205315244851413	-0.0347300145657059	0.0892348689041728	1.20211674311858	0.31813266300249	-0.0982402297642255	0.102569897151292	-0.257480947386772	-0.0913384655867428	-0.0668059285548696	-0.0967868122051757	-0.100732073317302	-0.0197404568057075	0.0593683464564683	-0.0856524623412608	-0.280775160203761	-0.123245395549255	-0.18938608535027	-0.0317216727386574	"S01"	1.20211674311858	"IS04"
