"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"IS12"	"IS13"	"IS14"	"IS15"	"IS16"	"IS17"	"IS18"	"IS19"	"State"	"MaxFC"
"FCER1G"	"FCER1G"	1.18244485629323	-0.0661164851345101	-0.0545616349682473	0.328870292975323	-0.132336716152098	0.131626792262687	0.615710263247182	-0.389901124768189	-0.224782482531315	-0.0457834979000813	-0.0750126853584729	-0.0852860385991569	0.00697060638215851	-0.191956281321142	-0.0179078775641061	-0.0402881982744039	0.170541480358955	-0.0348942552348457	-0.0876444192279057	"IS01"	1.18244485629323
"BCL2A1"	"BCL2A1"	1.10659122788029	0.430490198253082	-0.230018055228377	0.617318342741013	-0.0425156598099744	0.17997513169797	0.572460323737647	-0.629704222077377	-0.326956628850723	0.0210080452492241	0.635027006026335	-0.0833925384615712	0.0478461383950926	-0.141070692903725	-0.0888045175080192	-0.0884458229698455	0.108791038901244	-0.0354654103756081	-0.0596738393872596	"IS01"	1.10659122788029
"MMP19"	"MMP19"	1.10623512459622	-0.0118383638037588	-0.160826749447378	0.388783075555073	-0.246687923508681	0.297960726105243	-0.0763185017032843	-0.421214497503269	-0.30266572983814	0.864493579746263	0.0581571258094872	0.044364858184538	-0.0942633832625529	-0.227283156348452	-0.110327814757094	-0.342748162698924	0.499016185417459	-0.125357073493068	-0.0225648323758735	"IS01"	1.10623512459622
"LY86"	"LY86"	0.96558928057333	-0.116562579774172	-0.116425192020982	0.867616266188553	-0.102430972218422	0.305277703929957	0.254085047939354	-0.454912060939886	-0.216730465784799	0.0677132853177649	-0.156061111174245	-0.00385736991945541	0.259199258383449	0.071080001579712	-0.183969636096477	-0.148524160346656	0.225858646515239	-0.14553513377296	-0.126810851043485	"IS01"	0.96558928057333
"LILRA1"	"LILRA1"	0.941333246270764	-0.128034746892741	-0.00710491805708709	0.39754460836209	-0.238180356524225	0.178104218408947	0.313601838957657	-0.489912870111013	-0.130084525775968	0.433528052536552	0.180929578754146	-0.05377660497058	-0.00388786626279282	-0.0390567978412748	-0.0888911090825566	-0.161003269038042	0.160964813720665	-0.185415617123412	-0.0344643309666631	"IS01"	0.941333246270764
"CEACAM4"	"CEACAM4"	0.930548147294119	-0.308912614090556	-0.135746666734245	0.772577254262797	0.121201867461454	0.408932407722985	0.610062571869251	-0.880575108193908	-0.146124204370973	0.24700555488741	0.263607151615154	0.0060837668864464	0.513498685329237	-0.339454320913264	-0.0670598077550499	-0.141880574247246	0.165165931317197	-0.306993951452346	0.153175189374422	"IS01"	0.930548147294119
"CCL13"	"CCL13"	0.842030252837292	-0.106460916885096	-0.163897384238284	0.544248918185675	-0.160743043538071	0.157770739625193	0.789934191148915	-0.756191735658252	-0.287683853434511	0.395486758490297	0.487972157780496	0.167374648761089	0.478619398193866	-0.405859920040895	0.0152375506980759	-0.201451267555553	0.262344016267261	-0.13309614107561	-0.121567464385065	"IS01"	0.842030252837292
"ADGRE1"	"ADGRE1"	0.821057023368429	0.174868947117814	-0.0306115714561854	0.395200016342866	-0.0461468978074755	0.142611366317842	0.626025873620952	-0.399844385233507	-0.190773122741009	0.22571410156909	0.186734186044113	-0.0338173862991926	-0.0725992099162477	0.165281827960848	-0.101372467708116	-0.230321692310791	0.0924620191658216	-0.18463532825055	-0.0677562532565102	"IS01"	0.821057023368429
"SRGN"	"SRGN"	0.749047593325247	0.00259450953863899	-0.13496917374522	0.478113449880959	-0.0306539380445622	0.0761384605979471	0.276404572951377	-0.198045769605903	-0.15853647282802	0.243287666936766	0.0443064718224166	-0.0361952074321336	-0.2758448047623	-0.127284141998997	-0.0614483220677009	-0.124377301760755	0.0607640668200765	-0.134639041713521	-0.206361927117385	"IS01"	0.749047593325247
"NCF4"	"NCF4"	0.698720642078847	0.0540592505491391	-0.103641797706429	0.691844693194781	-0.024570230975887	0.185580399230822	0.20463076685158	-0.223143644065298	-0.160521546078258	0.0118543355736004	-0.0721418759276231	0.00860747052727	-0.0861658932782887	-0.13923985116079	-0.11722570608317	-0.147907993200149	-0.0401791700030972	-0.155633398879317	-0.0179880270035441	"IS01"	0.698720642078847
"CRLF2"	"CRLF2"	0.58768668928493	0.0153452248430888	0.0220493324582498	0.49162892501555	0.429796464818475	0.093283001111162	0.115256546483343	-0.542905249421597	-0.202260690415409	0.312342090180297	0.196984400154075	0.0197289023780018	0.541389682612133	-0.127791569722409	-0.0568665433813475	-0.275173292230171	0.0971334872619893	-0.207488880034748	0.159307120508508	"IS01"	0.58768668928493
"KRT38"	"KRT38"	-0.196303813032399	1.7908350031322	0.0989646844316476	0.069602470094324	0.322349039576723	-0.129118864488962	-0.00697324803196523	-0.00845513708630655	0.11509275967321	-0.238424965094183	-0.0133869877649857	-0.0430445229263704	-0.0311444951955659	0.0895123346572394	0.172020948733632	-0.226505872123586	-0.0546363522591094	0.110685535320509	-0.062757600105517	"IS02"	1.7908350031322
"OVOS2"	"OVOS2"	-0.0837431122358875	1.73686275168837	-0.0934491826502061	0.177881253336834	0.011053338583966	-0.190078245853005	0.065131515149252	-0.0939467729811008	-0.0649253331242024	-0.155420624246594	0.193942388388119	0.164822267840131	0.0366890960809455	0.560757569029909	0.0558247195424378	-0.162820051052763	-0.140911553011324	-0.00331342586324051	-0.014096426259945	"IS02"	1.73686275168837
"KRT36"	"KRT36"	0.255639250793828	1.5771821299278	-0.0449573258170391	0.374817702327541	0.135363787712284	-0.197382119592986	0.0837991007072342	-0.153352918187136	0.389325737838742	-0.202515846776172	-0.056195732540281	-0.0668081869242619	-0.134486354197741	0.0629711647080044	0.0304218074626684	-0.187227542330231	-0.019481400969104	-0.0788272064737397	-0.0549928225688868	"IS02"	1.5771821299278
"LECT1"	"LECT1"	-0.0694331700178512	1.5350847857931	-0.0475856071770251	-0.0424852906003352	0.0195156297213991	0.215846289904209	-0.0862788757304394	-0.061122826273737	-0.0098200645253284	-0.0194917488531519	-0.0286714460448152	0.0735643313242981	0.0230135242363687	-0.00916195874510357	-0.0946178127267937	-0.097145646275726	0.045511836815119	-0.046183072637961	0.0249459312797147	"IS02"	1.5350847857931
"KRT84"	"KRT84"	-0.178335607761138	1.43606935361826	-0.0874887957309159	0.232233155484195	0.339533406828891	-0.203018948546766	0.0877832701198394	-0.212666215764527	0.305346426755349	-0.0628170554007452	0.00126266102341995	-0.236609767627016	0.0120200185158338	-0.0188715482584266	0.601808934794486	-0.269373999570143	0.122051860120912	-0.0198710043983339	-0.0578059620329297	"IS02"	1.43606935361826
