"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"IS12"	"IS13"	"IS14"	"IS15"	"IS16"	"IS17"	"IS18"	"IS19"
"AGER__pos"	9.96861355559347	2.22044604925031e-16	18.8569829729127	25.051271462999	2.22044604925031e-16	136.989025088958	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	22.2756487738374	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	220.301429325525
"CEACAM4__pos"	179.401370308312	2.22044604925031e-16	2.22044604925031e-16	41.6012504551801	3.74782247207763	5.90784470704091	59.1471523714276	2.22044604925031e-16	2.22044604925031e-16	13.1149995873936	15.4707097210518	2.22044604925031e-16	83.9443748365214	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	6.14801414741391e-07	2.22044604925031e-16	41.2691846860173
"SFTPA2__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	364.685381345297	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"CCL17__pos"	88.7601545025728	3.25550526433649e-08	2.22044604925031e-16	48.151233001123	2.22044604925031e-16	2.22044604925031e-16	7.16050224496013	2.22044604925031e-16	12.4363712445681	2.22044604925031e-16	1.0403650338127e-05	2.22044604925031e-16	258.107931008162	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	23.0728375888265
"IDO1__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	12.4626893323526	2.22044604925031e-16	6.27583720926389	392.83626847125	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"SPINK9__pos"	2.22044604925031e-16	29.2725532929026	308.563126899768	2.42395256250953	52.3115920082775	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	20.626324199171	3.65465829657234	2.22044604925031e-16	6.38221171177124e-05	2.22044604925031e-16	47.8090751850609	25.8891936463861	2.22044604925031e-16	0.000429215833935623	2.22044604925031e-16	2.64068696293206
"CCL27__pos"	3.60454243545082e-13	64.5983210190184	2.22044604925031e-16	0.575066028551753	3.41549360830841	2.22044604925031e-16	28.1867821680255	61.2404439591254	17.8091165799527	29.2506214076822	21.1445834161751	0.00399576297324558	24.0418635889011	14.9320971749652	30.9443272806769	3.80251897040716	20.1691379234994	10.634695281514	154.494158657183
"FCER1A__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	102.808599390396	2.22044604925031e-16	2.22044604925031e-16	395.792948244295	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"NTRK1__pos"	25.7079974588158	2.22044604925031e-16	6.671149337242e-11	44.3774823573675	22.0603104575088	2.4884326764543	49.9242972065054	2.22044604925031e-16	2.22044604925031e-16	47.1165997817758	8.8295750681269	18.7622847497307	38.9669470919227	21.3366998109279	1.06506467038081e-08	0.00156782250394966	74.598829734252	29.8678228473056	81.8478149408242
"MAP1LC3C__pos"	29.530660748362	4.24620501835813e-09	3.67988423860031	34.3304499917079	61.0515899681992	13.9267591116874	0.109409116347987	6.53756147712969	0.870233490643485	145.661341073769	2.35929274463657e-06	89.2408466951953	0.140112005626595	27.8295603532125	2.22044604925031e-16	4.01440792934511e-05	2.22044604925031e-16	2.22044604925031e-16	0.0264440236116093
