"V1"	"TCGA.FD.A5C0.01A.11R.A28M.07"
"C4BPA"	"C4BPA"	-0.248065477633969
"CD300C"	"CD300C"	-0.185463783645138
"ANKRD35"	"ANKRD35"	0.180392424005593
"ADAM30"	"ADAM30"	-0.144503275593485
"RP11.294C11.1"	"RP11.294C11.1"	-0.136203501623199
"IL12RB1"	"IL12RB1"	-0.431458666529816
"SFTPD"	"SFTPD"	-0.123594249349977
"MURC"	"MURC"	-0.566163111719157
"NT5C1A"	"NT5C1A"	-0.398077173673088
"CD80"	"CD80"	0.305092726764607
"HSPB3"	"HSPB3"	-0.222289090563133
"ITGAM"	"ITGAM"	0.793043962108698
"FCN1"	"FCN1"	-0.317394054066215
"IKZF3"	"IKZF3"	0.0618022548440291
"SLAMF1"	"SLAMF1"	-0.148431467735641
"IL7R"	"IL7R"	-0.843034759495441
"LCE3B"	"LCE3B"	-0.102537302249395
"ICOS"	"ICOS"	-0.276722005399053
"SEPT6"	"SEPT6"	0.0183208221201673
"MCEMP1"	"MCEMP1"	-0.546990029067053
"TSLP"	"TSLP"	-0.12494958802775
"LYNX1"	"LYNX1"	-0.297527668466845
"DPEP2"	"DPEP2"	2.78416365116796
"GGTLC2"	"GGTLC2"	-0.15304586593137
"HPGDS"	"HPGDS"	0.377915148791182
"CLDN5"	"CLDN5"	-0.754632214574337
"CD69"	"CD69"	-0.375234567661186
"OR4D10"	"OR4D10"	-0.11680824972207
"LCE1B"	"LCE1B"	1.15499661016031
"GSG1L2"	"GSG1L2"	-0.195221646184032
"RPTN"	"RPTN"	-0.114195401903166
"STAT4"	"STAT4"	-0.203687315351351
"OR52N2"	"OR52N2"	0.0957612303007238
"LCE1A"	"LCE1A"	-0.342043111361948
"MSC"	"MSC"	-0.34463490807897
"KIAA0408"	"KIAA0408"	-0.0499527697381526
"PRF1"	"PRF1"	-0.919994930976808
"PRKAG3"	"PRKAG3"	-0.596198668368396
"GNG11"	"GNG11"	-0.500984868953923
"MEF2C"	"MEF2C"	-0.0717683247826504
"LCE5A"	"LCE5A"	-0.165049329773767
"OR2L5"	"OR2L5"	-0.0483933918495827
"CLEC1A"	"CLEC1A"	-0.548836844437478
"RP11.330H6.5"	"RP11.330H6.5"	-0.17869701051457
"TNFAIP6"	"TNFAIP6"	0.257432676616215
"TNFRSF9"	"TNFRSF9"	0.826262516633822
"WDR49"	"WDR49"	-0.350008600287407
"CTLA4"	"CTLA4"	-0.828910396164691
"CRLF2"	"CRLF2"	0.490564585085752
"LILRA1"	"LILRA1"	-0.00944553231643938
"RGCC"	"RGCC"	1.04165691111747
"KCNJ2"	"KCNJ2"	-0.694838823693987
"INHBA"	"INHBA"	-0.194841377286344
"CHRNA6"	"CHRNA6"	-0.0828957337003488
"HLA.DQA1"	"HLA.DQA1"	-0.650594825719827
"KRT79"	"KRT79"	-0.0236752506597976
"GOLGA6L1"	"GOLGA6L1"	-0.167675646166878
"CXCL8"	"CXCL8"	-0.337208335715741
"OVOS2"	"OVOS2"	-0.27389574261042
"LECT1"	"LECT1"	-0.0906275775549335
"STRA8"	"STRA8"	-0.201344380444225
"CSF2"	"CSF2"	-0.23209171757528
"GPR183"	"GPR183"	-0.0458322534607131
"STXBP1"	"STXBP1"	-0.718287630024162
"METTL11B"	"METTL11B"	0.688581372389807
"RCSD1"	"RCSD1"	-0.622004381078807
"TDRD10"	"TDRD10"	-0.486595885105056
"TCHH"	"TCHH"	1.85820921591608
"RUNX2"	"RUNX2"	-0.0635488689154307
"HLA.DOB"	"HLA.DOB"	-0.53178652364831
"AXL"	"AXL"	-0.531039204051952
"LCE2B"	"LCE2B"	-0.249206884895983
"TEX29"	"TEX29"	-0.685423276368813
"CST6"	"CST6"	0.21042912353115
"NKAIN3"	"NKAIN3"	-0.328687576157611
"PIK3CG"	"PIK3CG"	0.783824326131872
"XCR1"	"XCR1"	-0.184874275093804
"MRC1"	"MRC1"	-0.341826659757545
"DEFB4B"	"DEFB4B"	-0.0580714171156893
