"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B05_841916"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C03_830686"	"MS2010072004"	"MS2010072925"	"MS2010072930"	"MS2010072932"	"MS2010072003"	"MS2010072019"	"MS2010072024"	"MS2010072037"	"MS2010072040"	"MS2010072908"	"MS2010072937"	"MS2010072036"	"MS2010072042"	"MS2010072813"	"MS2010072827"	"MS2010072828"	"MS2010072831"	"MS2010072838"	"MS2010072902"	"MS2010072913"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B04_841918"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A01_830792"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A07_830800"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A11_830708"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B11_830836"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C11_830764"	"MS2010072001"	"MS2010072034"	"MS2010072805"	"MS2010072835"	"MS2010072904"	"MS2010072917"	"MS2010072921"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A11_841920"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A12_841926"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B08_841908"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B09_830678"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C07_830734"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C08_830838"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C09_830750"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C10_830840"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_D08_830828"	"MS2010072026"	"MS2010072038"	"MS2010072837"
"HMGB4"	5.91758341549725	6.69179387490015	2.13871809306165	5.56610182662461	10.2545871906268	5.61441213245674	2.02017901453312	1.81076714877291	2.47376809454293	2.68850489577766	2.71973101768006	3.38502546891482	2.62577411772049	3.41794090170489	3.41917762056728	5.57320844778442	3.31810759603762	2.72469608418918	4.83160037896338	2.56285792151965	4.87724696419698	5.58234025645044	5.51385669773289	4.74622603326216	5.57276837108124	2.9546912794156	4.90487409049755	5.43635287792814	3.43210650656569	6.03278652040755	1.99064025095047	3.11769952323954	3.60935548831507	5.18182775492996	5.91937327580585	3.13776617168522	2.53340610449248	5.3825590371109	6.02014510973491	4.70457459408955	3.83533441647089	5.52292245492544	2.71517808885072	5.08038662950584	2.20322825747147	5.11047694644496	5.26330982826917
"C21orf54"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100288534"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SPAG4L"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100286938"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HOXB1"	2.53711273900275	4.39220419921361	5.26064950092401	4.11448476868712	7.80407367996595	3.68398425130987	3.22682335661085	5.77225848156516	2.64545105442484	3.47679125880997	3.70680368362459	3.58036284847509	2.84044467804564	2.98572151683865	3.6962192158229	2.04643977275184	2.59492456428696	2.27126867716558	6.48505615578893	3.53884285997625	4.10905391732065	3.56690852138638	2.84461742486559	2.89596093943976	5.49347543276092	3.18915621897512	1.87873458731626	3.12455758349751	2.42173294780979	4.18383498134318	3.7305913216137	4.83363497969599	5.52486032324289	3.43657862839805	3.25086746587566	2.49919705685097	1.75283293993944	3.37593616501121	1.93156498332609	3.1393912087137	3.7396400313446	3.6375021278005	5.87647992830853	2.8592255630473	3.86586110785361	4.30454478063968	4.19145559884945
"LOC440518"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100287933"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100287947"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DKFZP434H168"	5.73332242511449	6.03957962003653	5.33388660449025	2.86513352214772	7.95830656036568	5.60542924134634	2.72336376816029	2.16963983610903	5.3741098822304	5.53141901853647	3.22527889155639	5.51306901862865	3.99403090143707	2.4125258454934	1.9280254640574	2.0924054777157	4.88956858700653	5.21530702200678	2.51315108250474	3.33632827353359	2.80505513603163	2.95426038698868	5.30440523667384	2.06836139374904	4.82730850794726	2.42536762588439	5.30203607004212	2.76368847048353	2.01866157522589	3.79539347550802	3.07894555543527	2.04251068932119	5.94613815598079	5.1402790549553	3.04146959355899	3.78953763088541	5.22858788724572	3.4091704535643	2.07433156280268	1.79260560800595	3.13785843834745	5.01685760466005	1.75501770234866	2.24371599922723	2.86289648373488	5.86838768476806	4.50601443903186
"LYZL4"	6.48057677471479	5.62666296921598	6.15491945381237	7.08236723269841	6.5481284082273	6.859971240703	3.42603737867833	6.21743907229573	4.04464767935359	5.76937707448177	5.22591609657947	4.77195120721809	4.90125338677235	6.78553126191746	4.81421073687159	6.87944870418678	6.42284562416758	5.8926930816007	7.15954324531365	5.71872212899406	6.39088123552046	6.83367640557957	5.73013317260255	5.75694148285028	7.09291925312678	5.54758380512675	5.67700454401814	4.05253434124087	7.06630714794768	5.60503172028894	6.3541316632579	6.31894283173776	5.1836770018284	6.39878712116159	5.37840663789575	5.54041997620349	6.3687601834388	3.29241449537509	5.98674885706077	6.17566843428113	6.36280365892101	6.5619852296403	5.58521385739288	6.14531305522367	6.90474593444932	5.71310908312739	6.75705488696253
"LOC100288977"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MMD2"	6.95353011187805	7.62798272582265	5.73251139323049	6.53416317059761	8.76600629528227	6.06120164242549	5.88754884659174	6.57588250593061	6.6748900327875	7.04268251692172	3.43201301003607	6.49556747720387	2.99444728164352	5.39452120657028	6.34560469367071	6.29157738243623	5.92278299811862	6.03620083652052	6.17092499058225	6.3279425627246	5.77268660750186	7.1779178460886	6.35237513021012	5.65683709248347	5.98697032324258	6.17533440617212	6.30814494941187	5.97725383479635	6.00770450838952	6.56734420452906	5.70359983329859	6.49859666887942	7.37445619303201	6.32813640207859	6.73354252549374	4.55116172077925	6.31064321919676	5.7418149399653	6.09597561067798	5.0277058607698	5.08825497681082	5.75574943594302	6.05150721939992	2.7851748996409	6.24913153388846	5.61725373209906	5.83339300297014
"LOC644280"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"IL28A"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GDF5OS"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PRDM9"	2.25397542077972	4.90084610189163	4.29560457895665	3.03818168855588	6.97620987044823	2.98429411080096	4.75494557885083	4.40692160510572	2.62998866456825	2.34485978733928	4.32661179959026	2.77100046768752	2.9680188738159	2.49351656986943	1.77284284495957	2.62937331220564	2.38545499744594	1.95483551999073	3.26926508057385	1.98564284768536	1.99124088807909	5.58822478070592	2.77190685802744	1.48752261225615	2.91905687402317	0.987273493023492	2.61962563506225	2.63220328016719	4.36906613998452	5.43067216526944	3.82670503606779	2.29723706249639	3.02668734346676	1.75361551493461	2.20365360017582	5.39104385766638	2.10079394228358	1.31207561760813	2.62140212954471	5.6630922838156	2.68055270929952	2.62399450517566	5.04271998424195	5.52179126313161	2.99699015908795	4.95336307141506	2.26591724006242
