"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A01_830792"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A07_830800"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A11_830708"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B11_830836"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C10_830840"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C11_830764"	"MS2010072001"	"MS2010072023"	"MS2010072034"	"MS2010072805"	"MS2010072828"	"MS2010072904"	"MS2010072921"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B08_841908"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B03_830732"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C07_830734"	"MS2010072019"	"MS2010072030"	"MS2010072037"	"MS2010072040"	"MS2010072834"	"MS2010072835"	"MS2010072912"	"MS2010072922"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A12_841926"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B09_830678"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C03_830686"	"MS2010072004"	"MS2010072813"	"MS2010072837"	"MS2010072902"	"MS2010072930"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A11_841920"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B01_841924"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B03_841912"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B04_841918"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C08_830838"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C09_830750"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_D08_830828"	"MS2010072024"	"MS2010072026"	"MS2010072038"	"MS2010072932"	"MS2010072937"
"TMEM86A"	7.32919260528098	7.70273871364318	7.04199051241453	6.45142073800098	6.94681680528338	6.72508580870248	7.66705033978795	7.30079849510876	7.99121070095448	7.51727709832374	7.3537757156141	7.50258405702823	7.18645853461614	6.85183440780179	6.27404544749597	7.13571084015898	7.11664563416378	6.68080517202413	7.13522895383355	6.77525453175989	7.05361453859162	7.05230581033674	6.67340612248549	6.40987729538866	7.10374298751068	6.46157665267444	7.74353054306742	6.90500208323343	6.5003552179339	6.99631080492982	6.3188145183548	8.80817331902588	6.48455113451965	6.59453987189842	6.14433201086797	8.25817780976037	6.80400808848595	7.43457648760639	7.39296502565114	7.21911153733894	7.69137671957833	7.44630380624064	7.22686486615143	6.96401639793125
"IL15RA"	10.7437153504856	10.2826171246911	10.2823651855567	8.82136731987812	8.89203138064767	8.67899884226728	10.0089916556155	9.47610838226839	10.5154867523783	9.01365873843967	9.54937407044312	9.90878039292028	11.1043602660612	9.25963438761963	8.3008368050253	8.70729532608898	8.43342675607156	8.81837391440765	8.71341883629442	8.29937555961038	7.91738821017772	9.14579896211395	8.08127846929475	8.77163659635094	9.38575952767479	9.05142175546074	9.32135917083399	8.8060198257732	8.6495101565455	9.39664946116638	8.60528341503541	7.48341241588237	8.83649757013915	9.06381597243075	8.72237205463305	9.7500679733765	9.55385109392496	9.45213379390015	9.72829604085739	8.89871275739227	10.3100217604785	9.76237448790147	8.28374639865148	8.94242921144964
"FTH1"	14.5158151450024	14.9329381307922	13.9027880291955	13.5382404813557	13.1252455302661	12.410920532461	13.636210406612	12.1553179262967	14.4517069725998	11.2098445557723	12.5387642366914	12.7719204302101	14.5590705275495	12.5396565703153	11.9713083743435	13.4522130314842	11.0896912288794	10.8093739029329	11.200528799552	11.2503045508367	11.427547182393	11.3791025472008	11.7695902227571	11.1721711383688	12.4976389012887	12.0308112685184	13.2189034641445	12.4845836006052	11.2062724240687	12.5535997949436	11.6692418837732	10.5036455021887	12.877051040713	12.7489171123518	12.530979273582	13.710032822261	13.0109537781278	13.639506999183	14.2680956242081	13.7745457703007	12.7725399480259	14.6856831626246	12.3781740855036	13.23906427623
"CTSD"	10.6839006758632	10.8829988033861	10.2274143731388	9.55526473029166	9.8679286061056	9.43482545523337	11.2133024409299	10.363718117276	11.6598358964336	9.87608749237299	10.4825562327741	10.6386654045793	11.1691305253158	9.9121238487721	9.29470634301054	9.68632890279091	9.90867194968304	9.82782223479632	9.1288654529622	9.16811513395181	9.64096760668311	9.18754393921344	9.71757204711592	8.84256358061857	10.2821540104492	8.62457502538238	10.2906342623574	9.41276698515125	9.02863759143396	9.61163032731292	9.45209497249696	7.91403950778094	10.4421742427625	10.7701880742563	10.4560784303566	11.7258578699303	9.90074998200294	10.6742861694206	10.5722365841399	9.95096310766838	10.5757446022703	11.0107333168578	9.29398321496051	9.78132848012752
"MPP1"	11.2249974125305	11.7587803868605	10.8538168913874	11.0209235374485	10.3568095479778	9.64777990139434	10.636464165888	10.4275534108891	10.9626719120015	9.55758734799377	9.54494028725408	10.3868388086091	10.8381365670767	10.5607618417715	9.35341668838246	11.5568721905187	9.5811958513752	10.1291579104476	10.2924821105847	9.13875794512278	9.02962133171026	8.78983700891844	9.4033883491828	9.56334293505116	10.7853683854255	8.99240050881689	9.37425555249941	9.14934401656365	8.91558853061798	9.72877016414976	9.21924371399189	9.65048670112584	9.39988790403577	10.3150320357401	9.47534160352081	10.9202374427547	9.51908914182427	10.3014914848152	10.4940568186666	9.29247918168119	10.1569364420721	9.98551165506731	9.31589058570261	8.67067377890992
"KIAA1598"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LACTB"	10.8887790312841	10.1977592819707	10.5966660147564	9.41889526844118	9.39380931351649	9.74933610085858	9.51785999932573	9.74452115882645	10.4762183346588	9.39644939992496	9.65825225075427	9.88686656559401	10.7608761532275	9.32258970027605	8.74612791806385	9.44275465078467	8.63573253887128	9.87946695145559	9.22864293471929	8.14623982468066	9.78250736835534	9.17172506564771	9.4970637146563	10.1701518926956	9.30809369821203	8.19967631370663	8.49594560723713	8.73532474021921	9.42134526852378	8.98286942702884	8.39352580199471	11.2884249356384	10.057733554262	9.75029049485086	9.23807215239803	9.93429654619625	9.00194527360009	9.76231068213557	9.7532227200928	9.59176418464851	10.0295675059358	10.2634691959733	9.30675947415365	10.0737928013977
"SLCO2B1"	8.1323169345249	9.00304455658071	8.13651197269532	8.41225081420901	8.06333892887408	7.4001778365529	7.96723540754956	7.23167985946718	8.49073609950414	7.98703844203751	7.75716595917219	7.70538488551064	7.91640416372954	7.92909183290538	7.13782495437809	7.04058907909543	6.89798110710237	7.20039818568954	6.9480960569921	7.03659598226031	7.21613331534088	7.19777118966852	6.7841000962221	6.12484511158315	7.80686936503306	7.90080707064447	8.18846930676211	7.31758757277535	6.90576198527886	8.22374532029648	7.76245983709187	8.19471756712857	7.60059594436331	7.99986289783387	7.27554610319448	8.91010217290807	7.35429352637254	7.6398553094115	8.11267258037302	7.05913393195048	8.19927613012391	7.1620592146564	7.40849737592207	6.82527500721816
"RAB27A"	11.394642320343	11.702851857597	12.2216775254033	11.2217501103262	11.4989050406559	11.6738596369462	12.1796343489711	10.3967004423617	10.6313233141452	11.2038670812655	10.9278371361204	11.451213151631	12.1688799607777	10.851460538806	10.2195655375652	10.1610072195273	10.3191734302573	10.7795101921478	10.5919137909886	9.96502059200378	10.6286843545426	11.1492457486385	10.0249024426777	10.3703511023228	10.8699279367693	11.320329574013	10.8770736147769	10.9467481520788	9.76190277239159	10.5260154812106	11.5936513068018	11.6546362699728	10.4604722131437	10.4876778484606	9.92841742089523	11.3063235093308	10.9953794865121	11.3095053447037	10.0446384090238	10.004443177196	11.1890684016359	10.5567334943739	10.3454684813011	10.1055153842865
"APOL1"	10.4482948915367	10.1189746244169	10.5504616199422	8.20282147524726	7.35892948546406	8.3907757630286	9.50815133503386	9.12598295775194	10.1256448903542	9.20082117113651	9.26485139831677	9.9889058254885	11.0376297387603	9.64241407507558	8.38439897463092	8.63711941976062	7.26056860146033	8.95336188040962	8.36867399955605	7.1770865559836	8.28629920893036	8.61018802236514	8.66745957897179	7.86173925422341	9.18158928276691	9.39305829544552	8.92838208475876	7.91456607184118	7.26234583343983	7.94954416902289	9.56848247335205	6.23242869701628	8.78521065528413	9.26836622141468	8.52168374974753	9.89498389654807	10.077788194518	8.54686302311381	9.80419850141578	8.17274290113136	10.8457160894921	8.44968594529412	9.4125830492929	7.86274743415216
"SLC15A3"	10.7003956452489	11.1878095969143	10.1760479515849	9.77704651100547	9.58594621286935	8.80110186549851	10.7625186750114	10.0807522191779	11.4797415155368	10.0144270170656	9.26959852548044	10.5816236221958	10.4852722209285	9.68003231374396	9.68971139993158	9.77094208106802	9.16293101839739	9.33227552804738	9.82863236301457	8.70769309553306	9.1625921018924	8.32154731197374	9.03092523258973	9.52047805042056	9.82412075409292	8.99423095899346	10.6342566217499	9.06025565218344	9.27814915520394	9.50375305575095	9.27271325980438	8.27799529535951	9.91911665231414	9.58645854401641	8.72442716550836	10.5722683355459	9.61412543684481	9.97507334074438	9.70962065953528	9.38096424536438	10.2793290084149	9.6892314794132	9.65863569260394	8.56918520540744
"CSF1R"	9.68816651447373	9.92195749151329	8.99806728703503	10.247957777053	10.4080587970964	8.73241827441082	9.56038079900135	8.25238626401353	9.61557896551568	9.94357988190798	9.07176955226244	9.50315054170003	10.0913644597787	10.0956086741897	8.34187980026139	8.82107804897792	8.22095935263975	7.43860346685393	8.16856159365893	8.36179872739515	7.62216099042881	8.10906206032059	8.28320224139276	7.46447259640476	9.27401977442296	8.87051532865342	9.02026844696274	9.32109824039726	8.38371385323434	9.79670299806448	10.0027552752345	7.70770219120129	8.65539730344934	8.36946680115403	9.09584459375099	11.1238990416642	8.99470256536607	8.83077250026854	10.79029611809	9.71100678090724	9.32600457374139	10.4256937958343	9.56705921404253	8.75145520055667
