"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A10_841922"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A11_841920"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A12_841926"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B03_841912"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B04_841918"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A03_830756"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B09_830678"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C07_830734"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C09_830750"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C10_830840"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C11_830764"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_D08_830828"	"MS2010072001"	"MS2010072004"	"MS2010072026"	"MS2010072034"	"MS2010072038"	"MS2010072813"	"MS2010072821"	"MS2010072828"	"MS2010072837"	"MS2010072902"	"MS2010072921"	"MS2010072932"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B08_841908"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A11_830708"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B11_830836"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C03_830686"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C08_830838"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_D07_830762"	"MS2010072042"	"MS2010072831"	"MS2010072834"	"MS2010072835"	"MS2010072925"	"MS2010072930"
"XAGE2"	2.81579871625932	1.66915407295601	2.87589605855359	5.26741518148143	4.96636156399803	0.948280515942062	5.93946453404863	4.73744816454493	5.89270343802708	5.763252400094	2.46000990567577	3.30499725931273	4.34740481544772	5.50946620522512	6.15701996510439	6.13126682090641	1.30308758561506	4.05755243901605	5.64669413251052	3.36263685311655	6.14677640805112	5.68208819962838	6.46276868956103	3.65670461449967	3.73053309440815	6.53932864225264	5.20544815854438	6.49475533598154	1.08509649958251	4.39786960517004	6.54535590865547	5.95389839645457	4.12294500161734	1.32811765187378	6.98519616094503	8.00115681563015
"LOC100288267"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SFTPA2"	3.24114326692619	5.63961789024988	1.90583638809059	4.87104012033122	5.65856762964866	3.76694343826414	4.5659800799754	3.98226152020083	2.42335113361303	5.1304443671765	5.42105826978428	5.8450881267632	6.41271671992227	5.8166283581983	4.45641974011187	4.45865977452933	5.35964182454869	2.82785259657633	2.07683427562868	6.10617357798911	5.39762018657184	4.70661689902562	5.79745112468032	6.76369992185326	3.7420921092144	12.9383779902426	2.31816864696864	2.66784384805311	3.91112286592536	3.16343513146557	6.94520203249033	5.86031929299692	4.20661144677656	4.00852967117324	5.60849937448246	8.28177681883053
"HOXC12"	4.2073465548983	5.44504308278471	5.22362920505	2.54551161172695	2.74687067030803	5.11608000395838	1.69253321575975	2.70027879859303	2.64483268968075	3.7366043444031	2.73195108920533	5.5344245975695	3.93691213145842	4.39062875845307	1.95287055629238	2.47752055902862	3.30897223095645	4.89246522076587	5.02020958401835	5.89981361227072	5.24349502447195	4.20026735405621	4.47263913210524	3.28081086630235	4.60042960653226	4.36292970664392	5.50374720126279	5.90071782651665	4.80651562981158	4.68794014215518	5.79963081303498	4.23914100770054	5.83302930237859	5.00980477828537	5.65210016647964	7.80783059855297
"GJB4"	4.03718160058483	2.40002466591327	2.84394583882904	4.32185466783761	3.73755103545903	4.07023768143599	5.49226009141106	3.15129644018205	4.8609250283805	3.08523965913291	4.52596852744803	4.00325485407838	2.14382643453956	3.25757932089814	2.65777886369879	3.08634494734702	3.44615243482775	3.069872008558	3.43275483556733	3.68017549331567	5.6520903731689	3.62911695825567	3.57502712525319	3.13479333339233	3.48371765972406	3.80774109299095	5.52278682161268	4.06471503547616	5.24378386813731	3.14272384473552	3.45862264838664	4.27043600202047	3.01723451713271	3.67215578010843	4.35249940612823	6.84914374097472
"ITGB6"	2.96878996613892	2.91168767946995	1.87888273060977	3.87366342109713	2.25868194271536	5.46945643430321	2.93191060257234	2.36900588037973	2.56445925930027	2.76321689742142	2.5499956250755	7.44254208835268	2.41490318003434	2.86609384412812	3.26806829620422	3.33874414318432	2.69250813735625	3.31362305224758	2.44048805218065	2.84229462588318	2.54422311995421	2.23438225306463	2.16327179045067	2.80746095189252	5.28920724349843	7.77444342508629	2.75845878352389	2.06967926464302	6.89521349542718	5.20583252088759	2.93085941464382	5.15210788128324	3.73218943212768	7.18391907865376	2.64803958965117	7.61272225560892
"ODZ2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100129218"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FERMT1"	5.87379920997011	4.67585005327008	5.28885729794009	5.37615909988399	5.41041732142795	6.39918090627897	5.53858358410031	6.07703685600743	4.74569957000617	4.73883573339811	3.59980964804881	6.1707374097935	5.76985249506329	7.48449747468954	5.41708409573101	5.34904269004704	5.95414743206869	5.60442406658448	5.6000499369473	5.3120710670143	5.74313470011663	5.82280229736556	5.34828717855217	5.99681991538015	6.05388496749732	5.33696871560095	5.84156908296915	3.58231448431169	6.84502874035942	6.61770699661294	5.82856721065568	5.49961813611157	6.03517989002634	7.72855075213673	5.80069929460513	8.35477011214492
"MS4A2"	5.66182358994792	5.99031646660581	5.52388452047397	4.22477135528098	5.42970217707222	5.62234783548142	4.67803467831837	5.88329167718165	5.11087454151931	3.10844533134718	4.9416176628327	4.47001610054522	6.01357760280926	5.61374905839404	4.641616808555	4.70319233568302	4.65886545083921	4.99481806562346	5.19081011609252	1.6526575646456	6.64944648089285	4.88976422881376	5.42143737131193	4.39422601190464	3.45701717346176	4.5725139086102	1.67264877554833	3.68794786783291	3.86283712368202	5.22991109257396	4.74823600535166	2.39559278299799	4.42453363317338	2.80319381427341	4.87648580389162	7.83927766276122
"EPPK1"	7.17647729511817	6.6219081832322	6.34582522440134	3.88277737208755	2.16008773997688	4.59283940502155	6.11233745093344	6.20910660831122	4.09449529605531	5.91767592661486	2.83713099962491	5.5049103094826	3.78057208878922	2.37399324071574	3.90517827836395	5.19013307401746	5.7042187868906	4.11149177797715	2.56533591188273	2.58420847314731	3.77583703477555	2.78701711457153	5.01350053065988	3.6463689685984	6.90358153267403	6.00868230815032	6.72126551570313	3.0708729701553	5.87646912285653	5.70603898152257	3.02795570092494	3.33801526417989	3.93740831287606	7.29607508630888	1.52286777813477	7.80422259730499
"HDC"	6.54904824209109	5.50946474865167	6.84503482834502	5.21976885840806	2.75094125541116	6.30686211023222	7.088881229393	5.40253684240541	6.07123630438001	4.86588417319215	5.03686276005629	4.85576946076484	6.11171498233666	3.79516811728247	5.99125309989917	6.24334840867743	6.33439568728911	6.08036355109245	6.2090264503999	4.0057577702828	7.8167464651944	6.69954240284127	6.12314714084457	6.28736265798663	5.50971605873372	3.40017367809808	5.95454098614114	6.13765312300605	3.37979181259533	4.68543961669552	4.16400455790996	6.18526596260361	3.46588903741127	4.62776044394976	3.14746423914648	8.90918120190116
"C1orf150"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LRRC8E"	3.60664133577073	5.29136103430842	4.81355359377601	2.81181439535744	4.76128237040586	2.66308622406123	4.08042547964035	4.93730197738685	4.93063410360385	2.83399530230197	2.60698340624017	5.31878532406904	3.22547384435993	4.04759483106019	3.04422879451611	2.91971854051971	5.79239284157619	2.36261972743767	4.82843439461198	3.37415815998566	3.76810290406674	4.26448432665263	5.29561455411218	5.33518504265192	5.84378668518469	4.54193326464003	3.13752673002263	3.48594424664078	5.39510273477736	3.54685138448629	5.17259048004878	4.48921179228231	5.32684898856215	3.45153136621125	4.48855800572529	8.09706960022514
"EFNA1"	7.70254711056745	7.52373611231829	8.73257598961876	7.24737981125478	7.99344355921066	7.62599782817091	8.50038690394843	7.50300359563432	7.53967496971049	7.51344764888983	7.23759727811864	9.00111295226695	6.18265251972008	8.21966432919449	7.42510416189175	6.84887362194693	7.90646018684281	7.33966941979064	6.84324685522894	8.64270970790242	9.76148170411528	7.10377956884332	7.17711846913805	7.21563847318009	8.49646574728536	8.31883639558843	6.39200490455161	7.49741825365648	8.78914388063885	6.32542766057352	7.20455114283256	8.03804872367859	6.25011874319532	8.24498105550534	7.12214352536981	4.87503244339506
"SLC6A11"	4.5086377646665	2.97441506805329	4.68910256984329	3.43383861903611	3.77259729145063	4.77948280845577	5.87520521850092	2.50961821991827	4.54883868323	5.495308465322	4.35125637526095	4.35790602986862	4.40324000642341	5.27930881799927	2.92378544262078	2.30672667009178	4.86642912519983	2.96294943321087	5.12756167858816	3.33013093513003	5.42700973313867	5.08807312104296	3.81928696700944	4.34909226997827	5.31408648608458	2.39881377442173	5.2293940718088	5.56802925353252	4.90339748638264	4.39768063081163	6.03903958640333	2.89005665199344	3.08297437597863	5.45882962094807	5.19493140820029	7.89978764451898
"ZFP42"	4.793200696159	4.58320592102837	4.27919162852567	3.71758420798045	4.08140836220888	3.68774858738119	2.75774163991349	4.34079218881946	2.61452708032075	4.87030134194907	4.77521044864969	4.1723176061658	4.95839811081892	1.6422595518406	3.59826783891511	2.54833940410338	5.83172759292291	4.25757448751925	4.77324747539752	5.67592847350586	3.52629826928242	2.21147798928545	5.24872428311724	2.55996734891571	1.60308041269413	3.24675240756525	2.27676596398891	4.97969533809748	2.70306075030729	2.10322734464775	5.8757939157652	1.79616284685623	3.39822809053536	2.17229778741152	5.38741763849617	8.2501684512826
"C1orf170"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC728377"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"BMP2"	6.53044183616733	7.14248356485973	6.85513653121173	6.97039664242641	6.38388200532223	5.74173553266872	7.27097030876064	5.89835760681207	5.75870971149949	10.2057093315435	6.42319471832972	8.62832398997982	7.20758050586234	6.61244291190319	4.43869003542772	5.87674706712871	8.81602376626794	7.5644317311524	5.76003836219936	7.51955212311978	7.77452069037618	6.59611045439778	7.14280481348111	5.93794196356391	5.59912401790728	7.71108198727805	8.68925708511985	5.17733303646058	7.08578026982476	6.18691613254284	4.59827161016309	7.00968094663678	6.10980443829619	6.38510051607921	6.59857407942916	8.28683032512466
"ARHGEF5"	4.88658504191249	6.97616942632475	5.89859134932191	5.93235822254296	5.43572236606012	5.81655619526063	5.49088885722374	7.31148858539882	4.80169043160257	7.85868877538431	6.15524269248739	7.15279046503971	6.68314898804168	6.10678392848314	4.66934504534812	5.74186565934509	6.09102759937671	5.4636402140799	4.1304584022416	4.69118041290642	5.90331041031055	7.0712825975759	5.809226818025	2.55014431891694	6.26894047879448	6.1355657995314	8.37390449196738	9.39682048453016	8.08286910651649	6.20048187318485	5.83641199772925	4.20517889238055	3.23327294280217	6.58555232002629	6.21386022037892	7.47511509383751
"STK32A"	5.24609975297646	3.65688714805541	4.51967288705741	4.8672756924031	4.72072911013922	3.49829767019303	5.41550746420382	4.63530567298826	3.02363808239453	2.77561127591327	5.1977661004874	4.31620121855398	4.61178641538311	2.55864524436186	6.16205064870989	4.73979022497857	4.77579665559009	5.12817347330111	4.14656335167543	5.58727845930083	4.92961061973621	3.07406897075892	5.08162936880088	5.41071188520267	5.49020305542889	4.19445820380724	2.97166259055505	6.58746880381999	3.04829666076782	4.18890042078289	4.18523713889809	4.71451858741714	3.84636994712719	4.1654558597884	5.3690799169667	8.16988081085261
"OR2A7"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LAMA3"	4.46659961693321	4.26610817444861	4.05348440071291	3.62855742296138	5.51772192464054	4.92104494195628	4.55542974680264	4.5749984493203	3.38399671428116	5.28531942180592	4.56613444954851	3.35757817056556	5.26850956669093	6.15509189845806	5.38864389469215	6.11462533987004	3.71575829402899	5.50660396700034	4.99234412604286	4.73639018061737	5.89190680913089	5.19658580767403	5.60480813313505	3.54791180698026	4.56766103937512	4.85871202748461	5.03497312390667	6.8889826869905	4.48771501491183	3.12511351079105	3.00520488161849	5.47301353402126	5.26337203392626	5.70275410590473	5.38282805286408	7.13424304132397
"CPA3"	11.6112290160442	7.62074564037752	8.99235528591866	8.25769296929375	9.26460721340187	10.5848075318709	8.17208253425057	8.87129893545665	6.42668458059832	5.17967660627374	7.36097763950665	8.05417431827331	9.58189457868126	9.70198831405179	5.48547100323931	8.15742779115544	10.1201887683479	11.1495907679284	5.95938847483959	6.80916485997718	10.2870226348314	7.45272132236343	6.56415434326263	8.98682990269999	5.36135030437031	8.76917605319098	5.95558857442629	7.62924956264039	7.24387411164263	8.79668842610099	8.39670420728841	6.84394129343748	7.59418275591962	9.39273450127329	4.18555195776071	7.85092865240507
"TPSAB1"	8.17835164541039	3.91931432436941	7.54247214271277	6.92900629109997	7.19593337078262	3.86444750747055	7.69121090424463	7.37663107845401	7.44673672657224	4.4240537490229	4.42675102370155	6.11092998240417	6.91380671937784	4.46468008707061	6.58749355797864	5.71922404414675	6.30713091554833	4.36303767051078	4.77119232072356	4.20046093114452	6.45038493338963	4.08573219966688	5.28396372531932	4.71985637565484	3.42870512144742	3.97002208887089	3.77455892639133	4.20558400850648	4.96063294935861	4.88678321420282	4.48178351914252	4.11604832054332	6.3441232181006	4.59580635485713	5.30469017459141	6.47027728599186
"CTSG"	8.98268205048494	4.39538319558151	6.56779635400171	4.34009817464876	6.21200467918783	6.05246157674322	4.28514581444111	6.15047629117009	6.96934476476997	8.61666681071572	6.31210991655979	6.44724094259261	7.82102658121319	7.58115223459176	6.86921086346476	6.19608589107504	7.66298408460021	8.08474545066209	6.59775460347306	6.56044344334558	8.1515028018863	6.00500498757406	5.1453792459405	7.21816370164761	6.07079310822286	5.82895664104317	6.20165680838327	7.49478242427737	6.64166971043434	5.98437438067589	6.62545669541095	6.16602836281554	6.65552088240241	6.9600585410377	3.55668921757682	7.78247318155936
