"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"State"	"MaxFC"
"C10orf72"	"C10orf72"	0.578230578865552	-0.136427742164684	-0.156477210234802	-0.111791608413806	-0.597880504297873	0.22938550500013	0.473834466535725	"IS01"	0.578230578865552
"TACC2"	"TACC2"	0.57813062066645	-0.0198476190525511	-0.123809215858823	-0.347387933875346	-0.617611082293293	0.534049255991803	0.531080306054627	"IS01"	0.57813062066645
"TAPBPL"	"TAPBPL"	0.572040306020854	0.293321273538584	0.402131205618679	-0.295288771472372	-0.719391790725522	-0.264752317673832	0.329779825315535	"IS01"	0.572040306020854
"IP6K3"	"IP6K3"	0.556070703043423	0.0204564496734651	-0.22478980971502	-0.514549544338086	-0.184434270878507	0.509372621134828	0.212004445184496	"IS01"	0.556070703043423
"ATRN"	"ATRN"	0.553529793631766	0.38011637203901	-0.322144850842541	0.134597029931145	-0.849939284965535	0.128481564773513	0.543615264188866	"IS01"	0.553529793631766
"LOC100129932"	"LOC100129932"	0.551247851349227	0.261223333880785	-0.460799827207121	0.234749665470101	-0.507043816266498	0.0620802186477124	0.0766109101789717	"IS01"	0.551247851349227
"LOC100288594"	"LOC100288594"	0.550015328130332	-0.0588419482557046	0.411165274719899	-0.0753951679313813	-0.91992083478276	-0.160112113915322	0.471864472199481	"IS01"	0.550015328130332
"RRBP1"	"RRBP1"	0.544612720279401	0.078109026327209	0.326501662187117	-0.135997195036543	-0.88729003253886	-0.0286221050606444	0.449835802058041	"IS01"	0.544612720279401
"SIL1"	"SIL1"	0.539456010469658	0.415033938936455	0.346756864644934	-0.438131252546673	-0.50543284352679	0.0729969556121129	-0.0650600577817688	"IS01"	0.539456010469658
"C18orf56"	"C18orf56"	0.539035150276873	-0.155069526556187	-0.0659942240420317	-0.03334669477984	-0.365160598567759	-0.124114488690853	0.152764175709392	"IS01"	0.539035150276873
"LOC100128130"	"LOC100128130"	0.528455461229873	0.315617357142152	-0.0229973535616725	-0.490344345815155	-0.112114843176359	-0.109697067262238	0.129807243487606	"IS01"	0.528455461229873
"PPIL1"	"PPIL1"	0.524163896434883	-0.0273659874548252	0.520655919485254	-0.301062085112579	-0.79423112295625	-0.0521040218935034	0.398164606808156	"IS01"	0.524163896434883
"TMEM72"	"TMEM72"	0.517861074058763	-0.13519565617683	-0.155027669399966	-0.274492897464595	-0.171160873399124	0.0370179036041082	0.244181844027114	"IS01"	0.517861074058763
"LOC400965"	"LOC400965"	0.501285794971627	-0.454483670970641	0.319408331284395	-0.448268629328095	-0.173504384539227	0.0109183671911541	0.0859577653915616	"IS01"	0.501285794971627
"PLOD1"	"PLOD1"	0.500597816795053	0.149567330539405	0.0912880550519767	-0.0581656044830054	-0.592871819869903	0.0135348126814832	0.110061285855929	"IS01"	0.500597816795053
"ZNF788"	"ZNF788"	0.494690271000943	-0.129225063358515	-0.204153825702943	-0.531201036344848	0.251699334100472	0.0756255687868539	-0.0061169820192117	"IS01"	0.494690271000943
"NUCB2"	"NUCB2"	0.492235862640881	0.276836531533375	-0.123572240981759	-0.530188990109033	0.0228209090568268	0.0358564670190262	0.0610805068175015	"IS01"	0.492235862640881
"GLB1"	"GLB1"	0.470409589979111	0.266499942158458	-0.19085836523047	-0.118513935413154	-0.35262953137111	0.0562392464898163	0.146658709507319	"IS01"	0.470409589979111
"CD38"	"CD38"	0.464851860591616	-0.0164453617703987	-0.265767971172973	-0.308040699976651	-0.00336570600090425	0.38069560565129	-0.144922851701331	"IS01"	0.464851860591616
"BST2"	"BST2"	0.464328466933541	0.00883085564147632	0.430838246328386	-0.700310537665607	-0.252339430202084	0.369503867438813	-0.0634260613483117	"IS01"	0.464328466933541
"TECPR2"	"TECPR2"	0.45407747525384	0.111133102777481	0.215645921028027	0.115872614642238	-0.812279529146728	-0.202728372654075	0.314470395468458	"IS01"	0.45407747525384
"HOXB4"	"HOXB4"	0.449720540287317	0.338259165392253	0.256304924789999	-0.212630943372656	-0.552526558313382	-0.0901117416265859	0.110565051340854	"IS01"	0.449720540287317
"PVALB"	"PVALB"	0.444031213499545	-0.24760552428913	0.0862674056830152	-0.673058647078189	0.169762300153853	0.258600004372399	-0.0527419757660909	"IS01"	0.444031213499545
"LRG1"	"LRG1"	0.443153569994009	-0.0070492863393531	-0.0522884023462714	-0.458515206989389	-0.145078973246042	0.293148695963342	0.173660846798025	"IS01"	0.443153569994009
"GPHN"	"GPHN"	0.442504826350154	0.277438495928201	-0.000810121908298387	-0.329571599892933	-0.323168665411849	0.102447105509963	0.175280304134755	"IS01"	0.442504826350154
"DMRT2"	"DMRT2"	0.438697934796412	0.159647163303103	-0.01924368056971	-0.230272677395816	-0.294887449209683	0.220470891504741	-0.0543413615326424	"IS01"	0.438697934796412
"PROS1"	"PROS1"	0.435918873349227	0.0810376943831997	-0.275916693887322	-0.355064428916031	-0.163499178805547	0.256684267399712	0.35933878813276	"IS01"	0.435918873349227
"LOC100289596"	"LOC100289596"	0.413864678087292	-0.171608340416195	-0.333848032993784	-0.247759477088295	0.000427914777388145	0.195409645225948	0.210659594847817	"IS01"	0.413864678087292
"MRPL12"	"MRPL12"	0.413440740983239	-0.268548049394543	-0.107924699811649	0.175739902530943	-0.452832488526832	-0.0318683202237221	0.208226723857518	"IS01"	0.413440740983239
"COQ6"	"COQ6"	0.410037979228655	0.0410153355793647	-0.0586439304706148	-0.119781770383251	0.017988066983775	-0.166418372395274	-0.298702327442347	"IS01"	0.410037979228655
"OAS2"	"OAS2"	0.406643971954445	0.253429260258951	0.127146747452204	0.07878414370214	-0.600006898987689	-0.0487360817969316	-0.0374095643243583	"IS01"	0.406643971954445
"HOXC10"	"HOXC10"	0.404206362551354	-0.124068592288956	-0.0311416723764945	-0.1512063579496	-0.267009726941705	0.1075880517712	0.124118035869515	"IS01"	0.404206362551354
"DSG2"	"DSG2"	0.401079829918623	0.257155786855175	-0.470750286379744	0.00360970082358753	-0.325446109323865	0.308219369577747	0.206668674346412	"IS01"	0.401079829918623
"MEF2D"	"MEF2D"	0.39281954952728	0.359707388189334	0.287104417436637	0.191774195338473	-1.1059961461528	0.0745544886461591	0.295654932103569	"IS01"	0.39281954952728
"PHB"	"PHB"	0.391046960718912	-0.475505780411173	0.0328341684945343	-0.216594890027147	-0.105016358992218	0.171067345527826	0.0400373194874689	"IS01"	0.391046960718912
"LOC100129036"	"LOC100129036"	0.376677017436415	-0.0821670010146568	-0.20017933173754	-0.390311467449316	0.069760708331116	-0.0213243069764819	0.333362129385974	"IS01"	0.376677017436415
"DNAJA3"	"DNAJA3"	0.369516040489273	-0.225957482145042	0.244927652424528	-0.422750929515509	-0.0968877223464976	0.216076208931178	-0.107978049562931	"IS01"	0.369516040489273
"C3orf75"	"C3orf75"	0.35875865231666	-0.337027830186955	-0.14350080438994	-0.0706482207822235	-0.050389013639464	0.0705314865871506	0.00195487827487609	"IS01"	0.35875865231666
"UFD1L"	"UFD1L"	0.340966551043423	-0.0971527616066776	0.261251357918228	0.258505425804692	-0.85126502313615	-0.11666607272748	0.310131323169131	"IS01"	0.340966551043423
"ATP8B2"	"ATP8B2"	0.339214964250197	-0.0914915568049645	0.268559358688917	0.283762045896305	-0.849835573211568	-0.050185504102486	0.186747830593741	"IS01"	0.339214964250197
"SHOX2"	"SHOX2"	0.338378393274532	0.0823606130801826	0.111934529480082	-0.202873262185462	-0.441664334208423	0.240634862630792	0.171423362663058	"IS01"	0.338378393274532
"ELOVL6"	"ELOVL6"	0.332423839084162	0.252400159441856	-0.348241067148394	0.0239554968736108	-0.106290774440494	-0.158449062806382	0.113575130268485	"IS01"	0.332423839084162
"RPS5"	"RPS5"	0.326958786126645	-0.0663221087431236	-0.0471004007207516	-0.0178738377543651	-0.0475488153694921	-0.416340665727937	0.0674763838738609	"IS01"	0.326958786126645
"COMMD5"	"COMMD5"	0.325113629061265	0.0615921597573107	-0.104921140791173	0.309543024294557	-0.589815592746526	-0.0717618700993174	0.179603999520179	"IS01"	0.325113629061265
"HLA.C"	"HLA.C"	0.312952366186992	-0.235957316477812	0.0736106732329583	-0.122099331985848	-0.15898094182735	0.173003808189877	-0.127932570973227	"IS01"	0.312952366186992
"GOT1"	"GOT1"	0.301296233215469	-0.362031688455443	0.0499336661641692	-0.26694236232294	-0.0181405674815992	0.115971334308533	0.0688144916037608	"IS01"	0.301296233215469
"HIBCH"	"HIBCH"	0.300513370976024	-0.570562969679887	0.0432964961535307	-0.176950740089014	0.0448916939309891	0.105133573265007	-0.0518387812624667	"IS01"	0.300513370976024
