"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"State"	"MaxFC"	"InitialState"
"GCSAML"	"GCSAML"	1.45513635397985	-0.445482450915865	-0.204473437129575	-0.820210159950707	"S01"	1.45513635397985	"IS01"
"ITGAL"	"ITGAL"	1.45458159696074	0.357056144602921	-0.285911133496398	-1.41962043034793	"S01"	1.45458159696074	"IS01"
"CPA3"	"CPA3"	1.45124244881051	-0.289726369748542	0.0361952429664801	-1.09988732198143	"S01"	1.45124244881051	"IS01"
"AGRP"	"AGRP"	1.44406954632506	-0.557927020887883	0.358163319223601	-1.0845745565871	"S01"	1.44406954632506	"IS01"
"C11orf21"	"C11orf21"	1.43941058700464	0.253305465512428	-0.10353308992203	-1.44009109908101	"S01"	1.43941058700464	"IS01"
"SFTPD"	"SFTPD"	1.43921582165807	-0.80717005404938	0.717599392885346	-1.11114336204389	"S01"	1.43921582165807	"IS01"
"ARHGAP30"	"ARHGAP30"	1.4340735143328	0.29983750137736	-0.263019331661787	-1.36941698864778	"S01"	1.4340735143328	"IS01"
"SLC18A2"	"SLC18A2"	1.42852014277656	-0.277653932757001	0.105285623944758	-1.13409003072197	"S01"	1.42852014277656	"IS01"
"HSD17B6"	"HSD17B6"	1.42488726227008	-0.673257231738228	0.429266358680333	-1.01964439212734	"S01"	1.42488726227008	"IS01"
"VEPH1"	"VEPH1"	1.41871074086423	-0.667347631052648	0.487176810352931	-1.05652287957374	"S01"	1.41871074086423	"IS01"
"NTN4"	"NTN4"	1.41766486379805	-0.655691359271689	0.280669489929083	-0.9307824170775	"S01"	1.41766486379805	"IS01"
"C16orf54"	"C16orf54"	1.41082538472688	0.276642513281331	-0.0420864647755789	-1.47318681907468	"S01"	1.41082538472688	"IS01"
"SIGLEC6"	"SIGLEC6"	1.40913069787482	-0.159067177674495	0.015165917328983	-1.15443211750024	"S01"	1.40913069787482	"IS01"
"RETN"	"RETN"	1.40421429827546	-0.589347123448926	0.319776389716988	-0.998021494163257	"S01"	1.40421429827546	"IS01"
"PIGR"	"PIGR"	1.4024851994863	-0.768773655416533	0.711825581866212	-1.10541697029112	"S01"	1.4024851994863	"IS01"
"CEACAM21"	"CEACAM21"	1.39607333706573	0.336788201778843	-0.00596093186009221	-1.53226815545679	"S01"	1.39607333706573	"IS01"
"SFTPA1"	"SFTPA1"	1.39414588874815	-0.81600571542783	0.650393764787759	-1.01950944353266	"S01"	1.39414588874815	"IS01"
"CLEC10A"	"CLEC10A"	1.39287921611668	0.197921490115213	0.0370383056729209	-1.44437174748906	"S01"	1.39287921611668	"IS01"
"COL6A5"	"COL6A5"	1.39248628418313	-0.136036548106596	-0.0822568614342917	-1.09477236684263	"S01"	1.39248628418313	"IS01"
"KCNA3"	"KCNA3"	1.37946883924705	0.0984057377644209	0.141585356819477	-1.41927123320303	"S01"	1.37946883924705	"IS01"
"MEF2C"	"MEF2C"	1.37467814727345	-0.191014564580599	0.0260962035616499	-1.10440213802242	"S01"	1.37467814727345	"IS01"
"CSF3R"	"CSF3R"	1.37171327522518	-0.533154906029536	0.0889322277704588	-0.8642483906806	"S01"	1.37171327522518	"IS01"
"SFTPA2"	"SFTPA2"	1.36379230903903	-0.778990854493956	0.673509119151825	-1.03720915556963	"S01"	1.36379230903903	"IS01"
"SLC34A2"	"SLC34A2"	1.36237904106461	-0.790155378843787	0.964450090839995	-1.21602768441654	"S01"	1.36237904106461	"IS01"
"PID1"	"PID1"	1.35191359358952	-0.558793856790848	0.311041474397244	-0.969912660431796	"S01"	1.35191359358952	"IS01"
"NRGN"	"NRGN"	1.34274807182752	-0.700083516288968	0.656948507178773	-1.07160630885687	"S01"	1.34274807182752	"IS01"
"GSTM5"	"GSTM5"	1.34266282337769	-0.143486274436589	0.0371697323061394	-1.12132221033336	"S01"	1.34266282337769	"IS01"
"SYNDIG1L"	"SYNDIG1L"	1.3420223155568	-0.535147252631782	0.373884854258287	-1.02106928627193	"S01"	1.3420223155568	"IS01"
"HLA.DPA1"	"HLA.DPA1"	1.33871384249049	0.397355833483574	0.308381109200429	-1.7340768010321	"S01"	1.33871384249049	"IS01"
"TPSAB1"	"TPSAB1"	1.33616344008593	-0.306662324919374	0.0297025836453303	-0.977847160583563	"S01"	1.33616344008593	"IS01"
"CTSG"	"CTSG"	1.32957356742183	-0.45776213378962	0.100548953003118	-0.895036129681654	"S01"	1.32957356742183	"IS01"
"HDC"	"HDC"	1.32564334241749	-0.244561887826734	-0.0834878602673555	-0.945254976892443	"S01"	1.32564334241749	"IS01"
