"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"
"LILRA4__pos"	0.640598204704809	2.22044604925031e-16	3.73618994355727	0.91445030799656	9.19241228935969	0.315673101631451
"PLCB2__pos"	2.76953348290386	1.27382640141357	9.09368763252852	2.22044604925031e-16	0.0860589149495324	2.22044604925031e-16
"TRPM4__pos"	1.51274039987776	5.04411553377904	1.69605170633136	1.4566056819785	5.44005869748151	0.103551256203929
"MACROD2__pos"	2.34501684266532	2.32735086980045	2.03026493840405	1.35090373091001	5.32176367033442	1.73566591017056
"PLAC8__pos"	4.86436535548967	2.22044604925031e-16	4.18800121582509	3.13410109079829	2.80733026231204	2.22044604925031e-16
"RPL18AP3__pos"	0.00488256867070889	0.0385531032979881	2.22044604925031e-16	5.20452609686005	0.200745331930991	8.16307154837102
"CD99__pos"	5.10804992145895	2.4000291709603	1.28548936779404	0.233275369983817	2.22044604925031e-16	3.3131251930902
"CD86__pos"	5.35650420309183	2.22044604925031e-16	1.14043700181981	3.23219092492926	1.87953419310025	2.00601423031615
"EIF1AY__pos"	4.05477727014682	2.81460762013636	3.49346055900028	3.69208166202021	1.13636402730853	1.31766846551329
"HLA.DQB2__pos"	5.68967247768759	2.22044604925031e-16	4.10972747560816	1.24630455476731	0.627437225842227	3.36143440393875
"IL2RA__pos"	5.02870620506721	5.01488098531117	1.04705478116358	1.02854294911393	1.90922432846516	4.71103647485515e-13
"XIST__pos"	4.28823360257852	3.35357143762411	3.60716176623836	2.22044604925031e-16	3.43523100427916	1.03250256313587
"PARP9__pos"	6.03756962243874	0.630195736783408	3.02913493053625	1.8035212573049	0.628480128847868	2.22044604925031e-16
"UCHL1__pos"	3.73830280384029	2.44186054487828	0.683060293311474	0.893348602664856	0.884901437925562	7.59845482220644
"MME__pos"	1.9517339481645	0.970813583230371	2.22044604925031e-16	0.111181758189675	1.898032636553	10.947144984506
"TRPM2__pos"	3.96855340473804	5.77278861267597	3.83208848400013	0.0434088536424673	1.58816531361044	2.22044604925031e-16
"FAS__pos"	6.28864239725766	5.84402124689431	0.0866511501749603	2.80353840179592	2.22044604925031e-16	3.12157552865658e-05
"EBI3__pos"	4.19576882904608	8.04011635083468	0.146520959804739	1.46513673392606	2.22044604925031e-16	0.57136909995086
