"ID"	"State"	"InitialState"	"CellType"	"Tissue"
"Cell_506"	"Cell_506"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_507"	"Cell_507"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_514"	"Cell_514"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_524"	"Cell_524"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_526"	"Cell_526"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_542"	"Cell_542"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_55"	"Cell_55"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_554"	"Cell_554"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_56"	"Cell_56"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_587"	"Cell_587"	"S05"	"IS05"	"B.cells"	"Normal"
"Cell_623"	"Cell_623"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_632"	"Cell_632"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_633"	"Cell_633"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_652"	"Cell_652"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_688"	"Cell_688"	"S05"	"IS05"	"B.cells"	"Normal"
"Cell_708"	"Cell_708"	"S05"	"IS05"	"B.cells"	"Normal"
"Cell_710"	"Cell_710"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_716"	"Cell_716"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_718"	"Cell_718"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_723"	"Cell_723"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_74"	"Cell_74"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_762"	"Cell_762"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_764"	"Cell_764"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_784"	"Cell_784"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_785"	"Cell_785"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_787"	"Cell_787"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_791"	"Cell_791"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_797"	"Cell_797"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_799"	"Cell_799"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_801"	"Cell_801"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_808"	"Cell_808"	"S05"	"IS05"	"B.cells"	"Normal"
"Cell_809"	"Cell_809"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_825"	"Cell_825"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_84"	"Cell_84"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_841"	"Cell_841"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_851"	"Cell_851"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_864"	"Cell_864"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_871"	"Cell_871"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_884"	"Cell_884"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_902"	"Cell_902"	"S05"	"IS05"	"B.cells"	"Normal"
"Cell_908"	"Cell_908"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_929"	"Cell_929"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_932"	"Cell_932"	"S05"	"IS05"	"B.cells"	"Normal"
"Cell_934"	"Cell_934"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_973"	"Cell_973"	"S05"	"IS05"	"B.cells"	"Normal"
"Cell_981"	"Cell_981"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_983"	"Cell_983"	"S05"	"IS05"	"B.cells"	"Normal"
"Cell_991"	"Cell_991"	"S05"	"IS05"	"B.cells"	"Normal"
