"ID"	"State"	"InitialState"	"CellType"	"Tissue"
"Cell_448"	"Cell_448"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_45"	"Cell_45"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_450"	"Cell_450"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_462"	"Cell_462"	"S01"	"IS06"	"B.cells"	"Normal"
"Cell_468"	"Cell_468"	"S01"	"IS06"	"B.cells"	"Normal"
"Cell_47"	"Cell_47"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_473"	"Cell_473"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_476"	"Cell_476"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_479"	"Cell_479"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_486"	"Cell_486"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_487"	"Cell_487"	"S01"	"IS06"	"B.cells"	"Normal"
"Cell_488"	"Cell_488"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_489"	"Cell_489"	"S01"	"IS06"	"B.cells"	"Normal"
"Cell_496"	"Cell_496"	"S01"	"IS06"	"B.cells"	"Normal"
"Cell_497"	"Cell_497"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_499"	"Cell_499"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_500"	"Cell_500"	"S01"	"IS06"	"B.cells"	"Normal"
"Cell_502"	"Cell_502"	"S01"	"IS06"	"B.cells"	"Normal"
"Cell_508"	"Cell_508"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_509"	"Cell_509"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_511"	"Cell_511"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_518"	"Cell_518"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_52"	"Cell_52"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_523"	"Cell_523"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_528"	"Cell_528"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_529"	"Cell_529"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_530"	"Cell_530"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_531"	"Cell_531"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_534"	"Cell_534"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_538"	"Cell_538"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_548"	"Cell_548"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_553"	"Cell_553"	"S01"	"IS06"	"B.cells"	"Normal"
"Cell_556"	"Cell_556"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_565"	"Cell_565"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_567"	"Cell_567"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_572"	"Cell_572"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_573"	"Cell_573"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_575"	"Cell_575"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_578"	"Cell_578"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_580"	"Cell_580"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_582"	"Cell_582"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_6"	"Cell_6"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_604"	"Cell_604"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_609"	"Cell_609"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_610"	"Cell_610"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_611"	"Cell_611"	"S01"	"IS06"	"B.cells"	"Normal"
"Cell_614"	"Cell_614"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_618"	"Cell_618"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_62"	"Cell_62"	"S01"	"IS06"	"B.cells"	"Tumor"
