"ID"	"State"
"TCGA.F4.6570.01A.11R.1774.07"	"IS01"
"TCGA.A6.A565.01A.31R.A28H.07"	"IS01"
"TCGA.AA.3712.11A.01R.1723.07"	"IS01"
"TCGA.AA.3534.11A.01R.A32Z.07"	"IS01"
"TCGA.AA.3525.11A.01R.A32Z.07"	"IS01"
"TCGA.A6.2679.11A.01R.A32Z.07"	"IS01"
"TCGA.AA.3517.11A.01R.A32Z.07"	"IS01"
"TCGA.LN.A49P.01A.11R.A24K.31"	"IS01"
"TCGA.L5.A4OS.01A.11R.A28J.31"	"IS01"
"TCGA.R6.A6DQ.01B.11R.A31P.31"	"IS01"
"TCGA.L5.A4OT.01A.11R.A28J.31"	"IS01"
"TCGA.IG.A3YC.01A.11R.A24K.31"	"IS01"
"TCGA.L5.A43C.01A.11R.A24K.31"	"IS01"
"TCGA.LN.A4A9.01A.11R.A28J.31"	"IS01"
"TCGA.L5.A893.01A.11R.A36D.31"	"IS01"
"TCGA.L5.A8NU.01A.11R.A36D.31"	"IS01"
"TCGA.IG.A7DP.01A.31R.A336.31"	"IS01"
"TCGA.R6.A8W5.01B.11R.A37I.31"	"IS01"
"TCGA.2H.A9GK.01A.11R.A37I.31"	"IS01"
"TCGA.JY.A93E.01A.11R.A37I.31"	"IS01"
"TCGA.BB.4217.01A.11R.2081.07"	"IS01"
"TCGA.CV.7410.01A.21R.2081.07"	"IS01"
"TCGA.CN.6013.01A.11R.1686.07"	"IS01"
"TCGA.CV.5431.01A.01R.1514.07"	"IS01"
"TCGA.CR.5249.01A.01R.1514.07"	"IS01"
"TCGA.CR.7388.01A.11R.2016.07"	"IS01"
"TCGA.CR.6482.01A.11R.1873.07"	"IS01"
"TCGA.CV.6942.01A.21R.2016.07"	"IS01"
"TCGA.CR.7394.01A.11R.2016.07"	"IS01"
"TCGA.CR.6481.01A.11R.1873.07"	"IS01"
"TCGA.CR.6478.01A.11R.1873.07"	"IS01"
"TCGA.CR.6484.01A.11R.1873.07"	"IS01"
"TCGA.CR.6487.01A.11R.1873.07"	"IS01"
"TCGA.CR.6470.01A.11R.1873.07"	"IS01"
"TCGA.CR.5248.01A.01R.2016.07"	"IS01"
"TCGA.CR.7399.01A.11R.2016.07"	"IS01"
"TCGA.BA.5556.01A.01R.1514.07"	"IS01"
"TCGA.CN.5369.01A.01R.1436.07"	"IS01"
"TCGA.BB.4225.01A.01R.1436.07"	"IS01"
"TCGA.CN.4733.01A.02R.1873.07"	"IS01"
"TCGA.CV.6433.01A.11R.1686.07"	"IS01"
"TCGA.CR.6467.01A.11R.1873.07"	"IS01"
"TCGA.CV.A460.01A.21R.A24Z.07"	"IS01"
"TCGA.CV.A45W.01A.11R.A24Z.07"	"IS01"
"TCGA.P3.A5Q5.01A.11R.A28V.07"	"IS01"
"TCGA.CV.A6JZ.01A.11R.A31N.07"	"IS01"
"TCGA.H7.A76A.01A.51R.A34R.07"	"IS01"
"TCGA.CN.A6V1.01A.12R.A34R.07"	"IS01"
"TCGA.MT.A67F.01A.11R.A30B.07"	"IS01"
"TCGA.MZ.A5BI.01A.31R.A34R.07"	"IS01"
"TCGA.DQ.7590.01A.11R.2232.07"	"IS01"
"TCGA.DQ.7593.01A.11R.2232.07"	"IS01"
"TCGA.BB.7861.01A.11R.2232.07"	"IS01"
"TCGA.97.A4LX.01A.11R.A24X.07"	"IS01"
"TCGA.97.A4M2.01A.12R.A24X.07"	"IS01"
"TCGA.MP.A4TI.01A.21R.A24X.07"	"IS01"
"TCGA.L4.A4E6.01A.11R.A24H.07"	"IS01"
"TCGA.44.A47G.01A.21R.A24H.07"	"IS01"
"TCGA.69.8453.01A.12R.2326.07"	"IS01"
"TCGA.62.A46U.01A.11R.A24H.07"	"IS01"
"TCGA.86.8671.01A.11R.2403.07"	"IS01"
"TCGA.55.8619.01A.11R.2403.07"	"IS01"
"TCGA.55.8301.01A.11R.2287.07"	"IS01"
"TCGA.44.2657.01A.01R.1107.07"	"IS01"
"TCGA.55.6987.01A.11R.1949.07"	"IS01"
"TCGA.44.2657.11A.01R.1758.07"	"IS01"
"TCGA.55.8089.01A.11R.2241.07"	"IS01"
"TCGA.86.6851.01A.11R.1949.07"	"IS01"
"TCGA.86.8076.01A.31R.2241.07"	"IS01"
"TCGA.55.8205.01A.11R.2241.07"	"IS01"
"TCGA.55.8206.01A.11R.2241.07"	"IS01"
"TCGA.44.6145.01A.11R.1755.07"	"IS01"
"TCGA.55.8208.01A.11R.2241.07"	"IS01"
"TCGA.53.7626.01A.12R.2066.07"	"IS01"
"TCGA.93.7347.01A.11R.2187.07"	"IS01"
"TCGA.69.7978.01A.11R.2187.07"	"IS01"
"TCGA.69.7974.01A.11R.2187.07"	"IS01"
"TCGA.50.5055.01A.01R.1628.07"	"IS01"
"TCGA.75.6205.01A.11R.1755.07"	"IS01"
"TCGA.55.6968.11A.01R.1949.07"	"IS01"
"TCGA.97.7552.01A.11R.2039.07"	"IS01"
"TCGA.97.7553.01A.21R.2039.07"	"IS01"
"TCGA.55.6971.01A.11R.1949.07"	"IS01"
"TCGA.55.7574.01A.11R.2039.07"	"IS01"
"TCGA.38.7271.01A.11R.2039.07"	"IS01"
"TCGA.55.6979.11A.01R.1949.07"	"IS01"
"TCGA.50.5049.01A.01R.1628.07"	"IS01"
"TCGA.75.5122.01A.01R.1755.07"	"IS01"
"TCGA.91.6829.11A.01R.1858.07"	"IS01"
"TCGA.91.6835.01A.11R.1858.07"	"IS01"
"TCGA.50.5941.01A.11R.1755.07"	"IS01"
"TCGA.44.3919.01A.02R.1107.07"	"IS01"
"TCGA.55.6979.01A.11R.1949.07"	"IS01"
"TCGA.MP.A4T4.01A.11R.A262.07"	"IS01"
"TCGA.MP.A4TJ.01A.51R.A262.07"	"IS01"
"TCGA.L9.A743.01A.43R.A39D.07"	"IS01"
"TCGA.43.A475.01A.11R.A24H.07"	"IS01"
"TCGA.56.8625.01A.11R.2403.07"	"IS01"
"TCGA.92.8064.01A.11R.2247.07"	"IS01"
"TCGA.77.8156.01A.11R.2247.07"	"IS01"
"TCGA.34.8454.01A.11R.2326.07"	"IS01"
"TCGA.85.8048.01A.11R.2247.07"	"IS01"
"TCGA.96.A4JL.01A.11R.A24Z.07"	"IS01"
"TCGA.56.8201.01A.11R.2247.07"	"IS01"
"TCGA.77.8133.01A.12R.2247.07"	"IS01"
"TCGA.77.8131.01A.11R.2247.07"	"IS01"
"TCGA.52.7622.01A.11R.2125.07"	"IS01"
"TCGA.98.8023.01A.11R.2247.07"	"IS01"
"TCGA.56.8309.01A.11R.2296.07"	"IS01"
"TCGA.85.7710.11A.01R.2125.07"	"IS01"
"TCGA.85.7699.01A.11R.2125.07"	"IS01"
