"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"IS12"	"State"	"MaxFC"
"CCR6"	"CCR6"	1.63515805932718	0.0871953663542736	0.0373921018545966	-0.147476337944053	-0.244300837184684	-0.329812598401773	-0.322094015913098	0.00529577675822328	0.0493767432202628	-0.323768274117981	0.111539619998716	-0.232044609853747	"IS01"	1.63515805932718
"APBB1IP"	"APBB1IP"	1.63200591677676	0.040324010926028	0.00927765202581903	-0.157033205202839	-0.223640851097996	-0.511881750875245	-0.347532075840762	-0.12879223335314	0.118986110220537	-0.102546255707789	0.411207903099086	-0.341046276945543	"IS01"	1.63200591677676
"CPNE5"	"CPNE5"	1.59925477138603	-0.0173804929151703	-0.123767974120286	-0.141450225577707	-0.0595403038487444	-0.570854675190393	-0.319518137206925	0.0374267715884615	0.144490727713796	0.0378246611982301	0.279255921504651	-0.529431417867819	"IS01"	1.59925477138603
"FYB"	"FYB"	1.59375947119373	0.127242355181678	0.263988211720311	0.0219969934565512	0.347760065533662	-0.676746619193173	-0.624388089390478	-0.320113175663795	0.408650141334771	-0.422088388105795	0.237550761251499	-0.65813276533411	"IS01"	1.59375947119373
"SEPT6"	"SEPT6"	1.58897135977249	-0.0342349752486319	0.0893956959303613	-0.177090616003895	-0.128206612106617	-0.345840337542208	-0.513613946346749	-0.0298295081396301	0.0128842181151828	0.336296723708502	0.117904427311471	-0.469572439884951	"IS01"	1.58897135977249
"ITGA4"	"ITGA4"	1.58656652886463	0.126477408395845	0.476274685232349	-0.0450850998254748	-0.0127602597123206	-0.654167427709126	-0.894014055443168	-0.237266982513787	0.533650192956846	0.0627543444406826	0.286601190343164	-0.653003519633962	"IS01"	1.58656652886463
"HAVCR2"	"HAVCR2"	1.57622577910654	0.106402782909539	0.00359106959475205	0.0693462964583459	-0.00587558371470445	-0.55263586665142	-0.384588327842792	-0.30854824505559	0.650062192548539	-0.348788331319755	0.0534010026095722	-0.63012205808333	"IS01"	1.57622577910654
"LYL1"	"LYL1"	1.55908501608297	0.178483708786814	-0.426258950668826	-0.376654643382505	-0.251730674336611	-0.893362176610623	0.0635143606424678	0.158495037895277	0.291030485852279	-0.219840567135696	0.845926591682358	-0.66426028054333	"IS01"	1.55908501608297
"AIF1"	"AIF1"	1.53300890593767	0.212391313166684	-0.283263836573136	-0.0523722939320374	-0.13152787690532	-0.569561106505544	0.0255616277186693	-0.336589543927749	0.329431409100227	-0.37639857459883	0.382606906709203	-0.538247028763009	"IS01"	1.53300890593767
"FPR3"	"FPR3"	1.5029878017559	0.125291481352123	0.102922409765851	0.0818791481252559	0.177228405423864	-0.565200573505102	-0.576665924558533	-0.399759908706992	0.757363797177568	-0.270648668329047	0.0998090803061598	-0.838311154019634	"IS01"	1.5029878017559
"CSF1R"	"CSF1R"	1.50025159982887	0.203376672322504	-0.013355883558783	-0.0984664791034077	-0.0327072822858153	-0.752129432071779	-0.48032739460976	-0.221320842634153	0.642456070059265	-0.301934994078882	0.579415157364492	-0.633560262140828	"IS01"	1.50025159982887
"GIMAP1.GIMAP5"	"GIMAP1.GIMAP5"	1.49374847448943	0.158324969547366	-0.221678186362834	-0.185976895651199	-0.233799789557822	-0.631499030333854	-0.319672316169508	-0.0735847325693845	0.0959767275839504	-0.281082890427851	0.956069453877124	-0.396259744928824	"IS01"	1.49374847448943
"TNFRSF4"	"TNFRSF4"	1.39930971249678	0.177831584852418	-0.330328785667359	-0.365304454155758	-0.0457250482629204	-0.468366439523245	0.164737854058096	0.0699585731118536	0.35194266407248	-0.0026300593212483	-0.113819470312714	-0.613863510464844	"IS01"	1.39930971249678
"CD300A"	"CD300A"	1.39403809226572	0.0411490039878363	-0.160134470279441	0.0465559576208487	0.0958030358941714	-0.596801766764457	-0.137868621590816	-0.238255188748662	0.4638506362234	-0.245988479317088	0.137284728326926	-0.763328077580635	"IS01"	1.39403809226572
"VCAM1"	"VCAM1"	1.38745042938606	0.0355121779930316	0.0368680508497106	-0.115910259459972	-0.0169602844312842	-0.625616454334618	-0.470556475947731	-0.273492622139461	0.838086751156146	-0.114997673939444	0.264794705947526	-0.672292134995122	"IS01"	1.38745042938606
"RASSF2"	"RASSF2"	1.37492085232378	0.298602123149307	0.142794831113786	-0.221390381496207	-0.240612438864072	-0.739237949012212	-0.66244483243081	-0.0738913174087943	0.414085972979871	-0.0633137269141499	0.904272627128491	-0.499369738978768	"IS01"	1.37492085232378
"PLD4"	"PLD4"	1.37447305870244	0.0812689616841124	-0.119726881788544	-0.099005843826487	-0.369730344941772	-0.639431633806703	-0.113964411240846	0.103410502482373	0.316963914543464	-0.291332649657347	0.346790561189466	-0.212478889391551	"IS01"	1.37447305870244
"SLC7A7"	"SLC7A7"	1.34708246797918	0.118349246768905	-0.0945244656165937	0.0261144426766798	-0.0131612016696379	-0.465208238278416	-0.368872573477837	-0.14828901416297	0.490052884596333	-0.21494417589418	0.16808058896143	-0.688932537033196	"IS01"	1.34708246797918
"LY96"	"LY96"	1.32051247244497	0.00325265796048792	-0.278304974789912	0.181581780171145	-0.0963170681268175	-0.600158908421882	-0.0759141458096338	-0.360328159466849	0.539759738585271	-0.355238246495026	0.378482932039892	-0.729133701201462	"IS01"	1.32051247244497
"RGS1"	"RGS1"	1.28032975033104	-0.141768543841289	0.0754662475170153	0.0648030349619875	-0.0709718162518215	-0.56860105234998	-0.381724832210765	-0.0717346897314265	0.543960972290468	-0.301403502463197	0.176000808765436	-0.634340946021879	"IS01"	1.28032975033104
"CTD.2207O23.3"	"CTD.2207O23.3"	1.26765176168105	-0.0200226304747311	0.0389398539607154	-0.238349735786967	-0.22012603829889	-0.455681116183867	-0.245428338051144	-0.130231443391545	-0.0730403968690756	-0.241367945207812	0.755088877466946	-0.309923075826349	"IS01"	1.26765176168105
"CD14"	"CD14"	1.21919373647712	0.116744119021902	-0.350937658008398	-0.0573827708924498	0.125906442365399	-0.565324540952815	-0.0564655943338275	-0.32819062415477	0.504669481365237	-0.267732196022878	0.378697992555738	-0.577758836486175	"IS01"	1.21919373647712
