"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B03_830732"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C01_830810"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C06_830812"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C07_830734"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_D07_830762"	"MS2010072003"	"MS2010072019"	"MS2010072024"	"MS2010072030"	"MS2010072037"	"MS2010072040"	"MS2010072811"	"MS2010072829"	"MS2010072834"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A12_841926"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B04_841918"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B08_841908"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A01_830792"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A03_830756"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A07_830800"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A11_830708"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B09_830678"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B11_830836"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C09_830750"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C10_830840"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C11_830764"	"MS2010072004"	"MS2010072026"	"MS2010072034"	"MS2010072828"	"MS2010072837"	"MS2010072921"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C03_830686"	"MS2010072001"	"MS2010072036"	"MS2010072831"	"MS2010072835"	"MS2010072902"	"MS2010072917"	"MS2010072925"	"MS2010072930"	"MS2010072932"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A11_841920"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B01_841924"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B03_841912"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C08_830838"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_D08_830828"	"MS2010072038"	"MS2010072827"	"MS2010072907"	"MS2010072908"	"MS2010072912"	"MS2010072937"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B05_841916"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B02_830752"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B07_830666"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C05_830694"	"MS2010072023"	"MS2010072817"	"MS2010072821"	"MS2010072838"	"MS2010072904"	"MS2010072913"	"MS2010072916"
"VPREB3"	9.83246317489015	12.724660319405	11.4871872890522	10.8354519147007	12.2818205691246	12.3337070195852	12.5565289954465	9.44169257171165	10.8670924342796	11.7193621618578	12.3796293342652	13.2994578111011	11.4791768718538	13.5188192683181	11.479517938414	5.73693749920609	8.8197832328204	6.74513154873917	10.8006772403471	6.30668868667943	3.70391336067468	10.4873409395902	6.03823686978966	10.2258054971467	11.7324350136441	9.43153807890151	10.2464435010479	11.1993830063526	5.37075597226073	9.5094638003347	7.32628200770112	6.2315700618699	10.8850563689064	9.1935476076231	11.1644180533347	8.12306393897331	9.50006816301933	12.1398698634494	10.7946456331294	8.83484609265014	8.26746669057099	8.45868759642322	6.83839122887647	9.46866149934629	11.9941833792645	11.2456933454133	2.83957710611264	8.08619242553724	7.92520936428455	10.0278137234539	10.6663656354018	11.8766591993108	12.0577180119865	8.17189063147459	6.69100820258659	5.65714183961022	9.46586527184937	9.56587664711891	6.23833249432464	8.23054867570542	12.0889365362129	5.5903694307966	6.65383884728913	9.98419496571355
"C4orf22"	5.25812761728401	6.69365821230023	7.96383582980555	1.57151525132221	3.47569011211563	2.65579874777435	2.52674864870324	7.73491527773612	7.9962201917126	5.61104618075971	1.64459118508686	8.54959857455183	8.10186822440833	2.93458018252158	1.79014081651332	5.48212924543881	3.84746167050478	0.793998638142043	5.90744075597566	1.0377354288918	0.990921197191615	2.98158576571374	1.26613211073003	3.737635213335	2.03465270788401	1.35851975408226	2.21238871341853	1.74114707498922	2.30495941539435	7.11927858125778	4.98006619366833	5.19965662145367	3.45409347574762	2.76973969795834	1.75069541960011	2.12933088407213	4.50105992399542	5.19733545816495	5.84820703803703	6.36624828360927	5.848211586753	3.1942555973354	5.7269790476227	4.27165539532891	4.77709148627673	4.60715535087408	1.97678515827376	4.95252590282728	2.15833399375628	1.32785275827251	2.04088468722856	2.04821713855209	2.76488488339052	4.15611492647405	1.40891377180609	2.04092890105513	1.91959693288582	4.13623797115997	1.07163028771539	1.19964100348745	1.55963990865494	2.55128634026596	1.47031800160368	2.10491548879789
"EEPD1"	8.35501498881189	5.37449991748491	7.69984697541295	6.61000740252231	6.35473808684116	6.4910619126573	7.66355212105004	6.34898767142879	8.09829297621361	6.93983008091586	9.01976295555801	6.28680891818903	7.40678120435166	7.31254195131512	7.16352197477313	6.69898934241764	7.42118803863698	5.11157595912464	6.1232967734125	6.0553123035344	6.07729931966544	6.47793723564787	5.99518340836675	7.22302520129526	6.42300952567984	6.1451173410254	6.26364405848442	7.74561676020909	7.30107952692412	7.88018105173224	8.43048730195346	6.21531210059212	7.14197858712129	6.56874694962135	8.5898893356072	6.73805511666368	6.83037823681949	7.36648642751232	7.16437853042619	6.80273701362735	8.39552793978971	5.96783119700172	5.65823031395647	5.75295943798008	5.58417306747151	6.71807169459164	5.74611499893342	7.81096204523608	6.11137203646992	5.47675388560705	5.92577724048603	6.35555972024616	7.3811905862472	6.36030386039344	5.61279429910967	5.24159162276001	5.48014974989395	6.24751663250618	5.73059281594512	6.2880573549233	6.68888432646584	6.06380430794522	6.25215831338398	5.52870859321673
"STAG3"	9.39060602482413	10.1959903647867	5.32774306401967	12.6202139523077	6.25721255946225	4.92865795645982	11.4075913198791	5.26530969721955	12.7081072324597	13.0851528188503	11.3850262482377	9.95743297827178	7.53963461372191	2.49522723973659	6.61846095506696	2.19240029628689	6.8995880837316	6.96313132483589	6.71322902384575	4.82612362793529	8.16322557128722	7.09755376863534	6.06450639343259	7.70806868180948	1.49651117481677	8.15617845645746	9.96978852763407	11.4856265438561	6.17891812103481	5.86568935763284	11.2300899448833	5.52113739044475	9.72669893934619	7.09575022760042	6.17300030649307	6.63900961111532	12.5863315439562	10.7982437297915	8.79197609636039	9.81449211490394	8.30970444936563	6.8693763408042	9.79898897497126	9.03207221329001	10.1390405929199	10.2313677135375	5.42757021888377	8.29505557284218	6.16768810862859	6.81939857722125	12.9057063737525	10.5677413893955	7.9114286900531	3.38703750622683	4.48033971526203	6.15226792603756	7.93703402096991	7.11002507243996	7.37672896754648	6.80135142085765	7.0109705477003	5.54935999092814	7.14804640557452	6.39129595571879
"C8orf80"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KCNK12"	8.67310245487437	5.7802526341228	10.5746209755674	6.71210525838085	8.46187076208542	5.07944823755819	6.99318867414016	7.68161038225073	7.15098265064601	7.26908809676907	7.04510735662949	8.03685728788399	6.26839003766237	8.06775692239953	8.34983772909512	5.72253171378703	6.69426926923298	4.6075318576811	6.65702583161806	4.6489292416013	5.30571945253401	5.28018350966755	5.55037551108256	7.51261168932529	3.53100601804016	9.94418306908248	6.95445583914659	8.91259177512641	5.33935893068752	4.44350632288277	6.56301295007993	3.39999266584102	7.18176538519462	5.96302041734719	9.72015770152614	7.31984890102265	6.5830562055273	5.77609182664433	9.14323792293032	7.90455112495219	6.46556575114509	2.98857958337837	6.44919841604027	6.25559694929484	5.5717491780579	7.08613634580704	4.33575346746256	6.37466097818547	6.73749837054668	9.61799820640935	6.64342292512564	6.17622945761955	6.42493842122998	6.25522813024209	2.99815131250124	5.13087622033948	5.37257627500098	1.59270936672402	1.62168939577457	5.93982835759748	8.88083152470364	1.86269555762075	2.97913920633946	4.48698448503599
"ENPP3"	8.573917483291	9.5849129903079	5.43414955589857	7.8300350780676	5.19007054121801	5.99904783514486	9.4269282959188	5.05045158038939	7.132335744233	5.51667494560043	8.49132115945671	9.65276387342922	4.73927576454015	5.37876281737823	6.86320082247373	4.63307314170252	6.98063845103285	4.73734674339788	5.44081472821331	2.39690903592603	8.54178948994847	5.65932175775831	4.87348618374916	4.73315641019528	4.98316444290893	6.29044536883311	4.9814998755023	4.85621796791724	5.04786344699082	5.27287690423933	8.50628516069165	5.27106847062114	8.46526362764626	5.3337050280613	4.52844101275909	4.59873064574254	5.85892523146994	6.28300173199635	6.00316643916593	5.43092979752251	7.81714468471784	5.73378802555932	5.29959573691979	2.34529826847334	8.80752021458185	6.91353918917769	5.87732243878143	4.25310908968318	5.54532993326977	4.58196479021824	3.75713492565395	7.84388162533356	8.10816404033463	5.66639858926117	4.05226505552493	5.18581904072799	4.32366089488878	4.94428695595499	4.2160232466592	5.04510511442975	4.75021456460317	5.34024558471101	5.26922954708599	5.10577594559156
"LOC284889"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MAPK10"	9.36880157315097	6.73078999825317	8.51620268479662	5.51563352346049	5.08694438625978	8.41238292601668	7.18440963563043	8.08211194975854	7.4971346938236	6.25785612800492	7.25700650421648	5.62255518779958	7.44602617710786	5.50844846849927	5.96343066383974	6.13597058963548	6.81444660691368	4.46065540580494	6.75190676618827	4.77605560988095	4.30267071786704	5.98856607070489	5.1787463517732	7.06871364192006	6.17360146692738	3.94014369016715	5.10558513816266	5.51545820109688	5.00652716676902	5.1421279760472	7.58488362645569	3.29117131827758	6.41064611370617	5.37563811351721	5.15030413209179	6.62221572702063	6.57110087424816	7.3297144177604	7.17702435249317	7.0583141864758	8.13509694328163	5.77820019030423	6.69395105791684	5.56014969872604	6.45479049934134	6.40222894491089	5.76061761076607	5.58816796032215	4.17683978368922	4.8820422098861	5.0802295100723	7.40921560402273	7.94963694632822	6.87168324985234	2.12689638444363	4.78248200805808	4.06214006138981	6.25942884239276	3.97255974742377	5.36545963647611	4.77073224143622	4.52981826584227	3.75076486499015	3.24124355508391
"BMP7"	7.42010052604643	5.69430142921405	7.51897057885738	9.39062608379677	8.98193887349722	10.2283107628703	5.61948016543139	6.53324870868584	4.35368629088688	5.61685767344411	4.73192328963063	4.31700730486182	10.0264819819025	5.74692432792295	4.67624957853086	4.60824891110502	3.2532116596559	5.60733359374804	5.49458930269184	5.82388876139425	4.96190159457647	3.98512145059596	4.53816189714911	4.40973979230528	4.93991369374697	4.53656298543112	5.23312755484396	5.93138248590975	5.49837112787311	5.61707066767225	4.32362488346431	5.15992281300601	6.45324471049104	4.81025592776097	5.63578394144877	4.53743305996136	5.67162862756176	6.29925112702353	4.85634977488062	5.78941055872347	8.60268434938438	6.6451216918989	5.54516461248175	4.07123979499098	10.2601992133717	5.90305655417773	5.74746964561063	6.12032360256578	5.08464055740615	4.24500679571443	6.24782649758548	9.72505481066339	6.39415017215125	6.36872992887539	3.80258211039242	4.25850308543542	5.16861770657175	4.82474588280873	2.48129661381985	5.22765173822338	4.42047466787611	5.17263610099255	5.38329239668705	5.07816497344365
