"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B09_830678"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C03_830686"	"MS2010072805"	"MS2010072902"	"MS2010072925"	"MS2010072930"	"MS2010072004"	"MS2010072828"	"MS2010072835"	"MS2010072912"	"MS2010072937"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C09_830750"	"MS2010072024"	"MS2010072037"	"MS2010072040"	"MS2010072834"	"MS2010072932"
"ATP10B"	5.48630900098339	3.3539589285367	5.66622465563634	1.96218618132058	4.63991236532122	8.9807291356414	6.03100874857594	6.14404490799402	8.4241268848698	3.65110459070414	5.18201002103183	5.43172314978926	6.55415151673705	6.21845988378578	5.78540837452111	5.6061063526606	5.79917057724119
"WDR35"	7.09255726358836	6.82309294608423	7.51643220663108	7.39664949123099	7.15194951258943	9.13581149375122	7.29570596740175	6.67336201044877	7.04556566247511	7.05951743838317	3.08018571953129	6.86678747770271	6.21406042726023	6.60628859872147	5.2045886505966	7.58914680381092	7.59916974094362
"CSNK1A1P"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"WDR21B"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ANO2"	3.92365333583916	2.14063585565297	2.11024361251828	5.37636180491677	5.12930064297091	7.04360601237176	3.40589368477765	3.08302473789835	5.91497928250773	2.65532258118585	2.87825486453961	3.59654359783097	4.92352204728743	3.23502252750151	4.31505068262284	3.21243247703057	5.47046057746888
"C12orf64"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC728064"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"INTU"	6.37953095008887	6.66777155899468	5.23127270329953	6.08424847041676	5.52730091259466	9.17193536494142	6.09079622715128	5.55544777640458	5.7455287678505	5.14647233092828	5.93160094963741	4.76018292905679	6.14936207327393	4.2763705848947	1.93474515442702	6.04782139284607	6.84838041196082
"FLJ37396"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CNKSR1"	6.36343579231624	6.26218450021564	3.514720198039	5.3538795850357	5.6251723191356	9.73106418413785	5.98098624732186	6.59138334542979	6.01863776425302	6.28419592040412	6.09221444675217	5.5706948000333	5.59033058936455	3.28743352427021	5.91220998985617	6.42409708227378	7.10057721726091
"PPAPDC2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PPAPDC1B"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR56B4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"RAG1"	4.80882800992299	5.35659942765727	5.36280399659638	6.14260086564795	4.73139013913098	5.34261241330198	3.98830815518088	4.32521332515233	2.10198743386093	3.21062077906401	2.7452624849659	2.07255811924187	3.45171843987168	1.28749163893327	1.50087947702507	1.89683465763595	2.77285220855257
"PRDM5"	5.76315722265299	6.00140264762068	6.75664152039634	5.90217420520201	6.57347321572087	7.2383215347674	6.01537906404451	6.08337413611216	4.92926590152548	5.63626871348213	5.91876300106599	5.14313367307946	5.02829996318885	5.83986823531732	5.68527857872768	5.4861315435797	5.95741881071682
