"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"State"	"MaxFC"
"CD79B"	"CD79B"	1.80911042654653	-0.206422936133503	-0.0444072394997635	0.230768910915768	-1.12721893520586	-0.273705068888861	0.227942259590806	0.430741087842958	-0.00446312684694127	"IS01"	1.80911042654653
"CLEC17A"	"CLEC17A"	1.79409243158694	0.0939562778367562	-0.027215243632158	0.0337736913689304	-0.902736214061289	-0.537541208578295	-0.15231677598478	0.377220632282272	0.0207035178185943	"IS01"	1.79409243158694
"TNFRSF13C"	"TNFRSF13C"	1.68557521732758	0.276195201301768	0.0875052933139491	-0.381508412413133	-0.618397206443815	-0.719998934682017	0.219684253645653	0.232026841204907	0.477321153871648	"IS01"	1.68557521732758
"CD22"	"CD22"	1.67227624778684	0.143055393957878	0.123921329529891	0.23921007606193	-0.781456799456752	-0.505175905597165	-0.162318330134029	0.118958377884092	0.0349404621227986	"IS01"	1.67227624778684
"FCAMR"	"FCAMR"	1.63172551001249	-0.0591503488397839	0.054388221870519	-0.237150420516316	-0.437524317923656	-0.31958883783815	-0.0615990432632545	-0.0734667456881981	-0.126080599756247	"IS01"	1.63172551001249
"TLR10"	"TLR10"	1.57933500719884	0.107978867833976	-0.0141636918523676	0.132513415227921	-1.14821268551008	-0.431881826170777	-0.0781993711264275	0.673451996420927	-0.0881383645445262	"IS01"	1.57933500719884
"STAP1"	"STAP1"	1.50829404150397	-0.136411738574333	-0.0382883505770799	0.189532759360451	-1.06010074199061	-0.269185346972951	0.0375137245823962	0.558780489252014	-0.0569502300893564	"IS01"	1.50829404150397
"CXCL13"	"CXCL13"	1.45318538413588	-0.210863225583737	-0.04269816936569	-0.474237466466755	-0.902232279335665	-0.153092178858256	-0.0466985027701347	0.66539863329515	0.0938794560776298	"IS01"	1.45318538413588
"FCRL4"	"FCRL4"	1.40879067518502	-0.0436375390618426	0.137672501569808	-0.511338184638236	-0.739581193774669	-0.254286497710827	-0.102625976958216	0.514865817538177	-0.0959206067282692	"IS01"	1.40879067518502
"P2RX5"	"P2RX5"	1.40754708803853	-0.121550676354095	0.0467083490500104	-0.471841492173264	-0.492649706923895	-0.354223016558416	0.0975427228930011	0.272472439685274	0.177647087504156	"IS01"	1.40754708803853
"ARHGAP25"	"ARHGAP25"	1.37372569659353	-0.126853151774834	-0.156577225450076	0.389747267622585	-0.862213290841057	-0.399092453228856	-0.141063335388341	0.448592045524661	0.0186773117985231	"IS01"	1.37372569659353
"FAM129C"	"FAM129C"	1.36384352150866	0.614547566517615	0.278730880327334	-0.0405257169927231	-0.508914001333406	-0.898771367871321	-0.0043134735347268	0.133751469033165	0.284152127928761	"IS01"	1.36384352150866
"LYL1"	"LYL1"	1.27429697167503	-0.187927323834595	0.0183259611004822	0.583656811856924	-0.869115135660506	-0.285885152327803	0.26029951461835	0.302094654146636	-0.192932532985825	"IS01"	1.27429697167503
"CNR2"	"CNR2"	1.25246903058598	0.611374511816115	0.304498264472841	0.131600400009308	-0.675801072621629	-0.914637828169285	0.0919586551384997	0.351700126535212	0.130307852840837	"IS01"	1.25246903058598
"RAC2"	"RAC2"	1.21477068751378	-0.260665534028638	-0.0497808258495437	-0.0620743786403606	-0.804094051266134	-0.0372613920136254	-0.0967508405381813	0.489615675926435	-0.376949492552584	"IS01"	1.21477068751378
"SERPINA9"	"SERPINA9"	1.18203069168781	-0.125824004838485	-0.0247554108459877	-0.0103212543541616	-0.370382393735985	-0.148667757607959	-0.198401616042066	-0.0582428348886877	-0.141892865053199	"IS01"	1.18203069168781
"LRMP"	"LRMP"	1.18119883921603	0.227109548410172	-0.0296495258683592	0.487608520155781	-0.727192467139082	-0.543202714720221	-0.174181691491934	0.257032841490142	0.0806722470885836	"IS01"	1.18119883921603
"PVRIG"	"PVRIG"	1.17348560959996	0.131823732373094	-0.0620546063908827	-0.095593438200856	-0.446966737301654	-0.311824936404755	-0.059069617063249	0.0438797228341956	0.0328104567926355	"IS01"	1.17348560959996
"SELL"	"SELL"	1.16778372894384	0.0056489428834972	-0.036259930056245	0.210493733860297	-1.22646762502525	-0.117975608710141	-0.0929137929019364	0.787765619986066	-0.147706560322896	"IS01"	1.16778372894384
"DAZL"	"DAZL"	1.16631484148125	-0.143756394710287	0.0958945776193062	-0.0623034717454465	-0.62558945429	-0.299697658139106	0.119623945865417	0.365683332420252	0.0247737067509737	"IS01"	1.16631484148125
"RGS13"	"RGS13"	1.11918701667646	0.014466123780815	-0.0128326387428775	0.781254538421213	-0.867253918371741	-0.287605273044122	-0.205342914360495	0.223100285622688	0.0102325465530442	"IS01"	1.11918701667646
"GRAPL"	"GRAPL"	1.10850418454549	0.225189245377684	0.162627685896968	0.569367100699299	-0.582523459162093	-0.589116992012528	0.00316735540623274	0.0812436094625847	0.0353105663871473	"IS01"	1.10850418454549
"GPR18"	"GPR18"	1.08562019260772	0.015567230918982	0.0442706044959993	-0.0271479409675036	-1.08186985033972	-0.189068993049444	-0.176054115158473	0.844022388588838	-0.129619177381614	"IS01"	1.08562019260772
"NCR3"	"NCR3"	1.07067416642545	-0.0777363929040935	0.0905850768334247	0.18317354942953	-1.13297905901706	-0.0789763960641467	-0.0243211402956037	0.716187412104009	-0.0105136038160654	"IS01"	1.07067416642545
"TBC1D10C"	"TBC1D10C"	1.04805234484841	0.0625664646163474	0.0723442063681788	0.0779568303590963	-0.776367111497214	-0.164217308664684	-0.0207795783412172	0.355498333506742	-0.144000419013372	"IS01"	1.04805234484841
"SPIC"	"SPIC"	1.03578928261242	-0.0445113077029705	0.257299822052281	-0.176358516961495	-0.567993164813568	-0.306122615900659	-0.256029580355324	0.37772672348205	0.295933516109453	"IS01"	1.03578928261242
"FCMR"	"FCMR"	1.02923422540525	-0.0553648396676079	-0.0720549575405203	-0.106426431093995	-0.299705905212113	-0.0853551954963326	-0.215437899130031	-0.099083132559174	-0.068839401601588	"IS01"	1.02923422540525
"CR1"	"CR1"	1.01822694142928	0.0165682526794524	0.116549272736467	0.625512289041661	-0.882069915395371	-0.32589080987365	-0.181759945242829	0.376099571717365	0.195919234229393	"IS01"	1.01822694142928
"SEPT1"	"SEPT1"	0.983966335470106	-0.0882303256545275	-0.00795754394024258	-0.0411583364119958	-0.286652052785126	-0.109223677966819	0.0422086550053597	-0.135859818453493	0.024063315085877	"IS01"	0.983966335470106
"C12orf42"	"C12orf42"	0.980606663974243	0.181235090586088	0.211438363370336	-0.310329921514253	-0.316087497009141	-0.360190224844603	-0.148902042464915	0.0168568842089511	0.671622248001079	"IS01"	0.980606663974243
"DTHD1"	"DTHD1"	0.965092314769231	0.0555817957742981	-0.00574569723056216	0.415630520820351	-0.635669169105676	-0.354834034000258	-0.309437889182548	0.30658881354457	-0.183097309585443	"IS01"	0.965092314769231
"CCL21"	"CCL21"	0.946832838524746	-0.21122556943226	-0.129429991120093	0.937436976544785	-0.821496347753585	-0.16141993404059	0.0259312905058849	0.240119427905408	-0.240648704330756	"IS01"	0.946832838524746
"SLC12A3"	"SLC12A3"	0.945481789301363	0.11054994716966	0.30435462777115	-0.116113707323768	-0.507683872514844	-0.409796115145481	0.107196650399276	0.26743994452646	0.354955129449466	"IS01"	0.945481789301363
"RASGRP2"	"RASGRP2"	0.94103851623761	0.110254927212089	0.0159110029073722	0.737441846395757	-0.983354703252602	-0.35494929728376	0.374989390130311	0.426751049412673	0.019864218569121	"IS01"	0.94103851623761
"TIMD4"	"TIMD4"	0.935521531186091	-0.102930171321964	0.0306346911809121	0.104494738152189	-0.742878702159321	-0.102214408152546	-0.047671717393725	0.416721342820828	-0.0643789521757927	"IS01"	0.935521531186091
"NLRC3"	"NLRC3"	0.921848385589302	0.0381421205757972	-0.0120395311063267	-0.0634720587721666	-0.390607215711023	-0.146437911463857	-0.0811829843209919	0.0182099964453388	0.0661158451568606	"IS01"	0.921848385589302
"LINGO3"	"LINGO3"	0.90628576767674	0.12024729932829	0.0635628050604653	0.097802963012257	-0.648738084423394	-0.37240311377468	0.104426466312843	0.345536708690911	0.411194033884796	"IS01"	0.90628576767674
"SSTR3"	"SSTR3"	0.905571969402205	0.0248507833577615	0.287475497565805	0.0259256266578899	-0.924392095460091	-0.195524895761514	0.0784992993036359	0.587277997496078	0.432528978344062	"IS01"	0.905571969402205
"GPR15"	"GPR15"	0.892800803215712	0.0744299816411104	-0.00727940528061745	0.287058616703998	-0.652717813544582	-0.315782922574977	-0.334759793526666	0.383318194558886	-0.082374515788615	"IS01"	0.892800803215712
"TTC24"	"TTC24"	0.889849878210681	0.212229607931607	0.147239288903937	-0.201403418457314	-0.749614075272749	-0.34776749133747	-0.159554147802835	0.632639277922259	0.0778693639574154	"IS01"	0.889849878210681
"SIT1"	"SIT1"	0.880288720360854	-0.0775806221129884	0.117269447275076	-0.0243698616292095	-1.10592000987785	0.0695927343343233	0.158646255060792	0.729552415022673	0.0992396452484338	"IS01"	0.880288720360854
"FCRL3"	"FCRL3"	0.854514006671918	0.438278951838916	0.129445978749114	0.0894647189775883	-0.844365802528599	-0.541934105673845	0.0017771394198323	0.648599426401734	0.0934817034874152	"IS01"	0.854514006671918
"CD1C"	"CD1C"	0.78135807587426	-0.13986792408642	-0.217956954398852	0.684917983395717	-0.9977735381563	0.077478933304041	-0.1462220918489	0.4956553547298	-0.420679223195712	"IS01"	0.78135807587426
"HEMGN"	"HEMGN"	0.764657815121309	0.120918150951323	0.155069309742995	0.547984056445073	-0.436243891517482	-0.445146157353318	-0.251431274607346	0.0905887078386761	0.145197674595508	"IS01"	0.764657815121309
"IGLL1"	"IGLL1"	0.756411266607835	0.0936144782442795	0.129344899421636	-0.164374023768557	-0.523190147951437	-0.253692730649302	0.316238538937201	0.315850275759776	0.217765142665683	"IS01"	0.756411266607835
"ITK"	"ITK"	0.730996802585787	-0.290230940689859	-0.000733050185558804	-0.0141058794406599	0.0112754497371663	-0.478257003442422	-0.0756532216177353	0.157128271415287	-0.0937853170296261	"IS01"	0.730996802585787
"WNT1"	"WNT1"	0.692802475100094	0.355691330705934	0.195838978590903	0.0540350412666952	-0.529330651646854	-0.473330957412529	-0.141320996818654	0.337887679240544	0.368245072580486	"IS01"	0.692802475100094
"LILRA4"	"LILRA4"	0.6593344413675	-0.0444203253520606	0.072713214511189	0.0995088916268557	-0.838844991761448	0.042389271714257	-0.0841055966055988	0.555621630453772	-0.0882356773208093	"IS01"	0.6593344413675
"AICDA"	"AICDA"	0.658438803771071	0.526653569499253	0.357963106648367	0.145534348753632	-0.297196453573112	-0.677038968156403	0.0144800674168014	0.0809627701929389	0.269871665806982	"IS01"	0.658438803771071
"PMCH"	"PMCH"	0.635088291860441	-0.124232823374698	0.0621717670036289	-0.433051798059542	-0.395510512646492	0.00964656296244836	-0.105509336641394	0.322287311742698	0.271090531128087	"IS01"	0.635088291860441
"CORO1A"	"CORO1A"	0.633294624385265	-0.0593457729080499	0.235951552703167	-0.0887123914894644	-0.815512432506851	0.0267544245516561	0.194948820892475	0.572090457367572	0.1074808317365	"IS01"	0.633294624385265
"CD1B"	"CD1B"	0.605912789711621	-0.158978562740099	-0.000558728317374834	0.0305184716160557	-0.645371981395314	-0.0232511492535218	-0.130718348261176	0.535106173359482	-0.0897706625963721	"IS01"	0.605912789711621
"IL12RB1"	"IL12RB1"	0.604390292548263	-0.164550093932935	0.0300182941507821	0.0393249477839158	-0.393202674499219	-0.289312207217484	-0.162666624203312	0.460500047547419	-0.00613766292544504	"IS01"	0.604390292548263
"BTK"	"BTK"	0.591940430592005	0.000385565534470769	0.0230553686202904	0.110497915848597	-0.560806984410651	-0.0686425202282012	0.0194355445764599	0.304941674171675	-0.00371489114632626	"IS01"	0.591940430592005
"IL21"	"IL21"	0.5656072243769	-0.0149539608798171	-0.105867464994729	-0.236354851086022	-0.423902218788834	-0.193177682523654	-0.0676801136010791	0.476583423179869	0.0783289539056719	"IS01"	0.5656072243769
"PIK3R6"	"PIK3R6"	0.543365703404148	-0.100547119533333	-0.00530928256244662	0.0512211269211198	-0.280251280581168	-0.375740378160755	0.0655186684163678	0.379423689257675	-0.0778815355369803	"IS01"	0.543365703404148
"PYHIN1"	"PYHIN1"	0.53187041543263	-0.288329430334005	-0.00273544232485797	-0.0844996133747995	0.181709865980472	-0.385829875104111	-0.0918325906506753	0.020463346643988	-0.0429438013064262	"IS01"	0.53187041543263
"GAPT"	"GAPT"	0.51840481464804	0.114662720175562	-0.0439947614512515	0.34083570088226	-0.793100697909036	0.0118013690453946	-0.210523716628946	0.44156866327451	-0.125220719239666	"IS01"	0.51840481464804
"GNG8"	"GNG8"	0.513977885244203	-0.0677562304034261	0.232288568475115	0.0806631132420136	-0.607585380505232	-0.0222837502291292	0.222316694735862	0.33187013582687	0.255230246619748	"IS01"	0.513977885244203
"CTD.2545M3.6"	"CTD.2545M3.6"	0.510679926485304	-0.136231552001744	-0.0310366959586194	-0.185551126478831	-0.238549084159236	-0.0949729414329262	0.374037419721578	0.126917691489748	0.310882168015014	"IS01"	0.510679926485304
"CLEC4C"	"CLEC4C"	0.506268662867761	0.115270962828611	0.163718273128309	-0.0328804112477484	-0.185679357874387	-0.188584736629629	-0.184356560917431	0.00944088325920722	0.0684951236592512	"IS01"	0.506268662867761
"GP1BA"	"GP1BA"	0.505958486051555	0.203214946858157	-0.0539566170201084	0.149212673663982	-0.294349766100308	-0.225530494932941	-0.288750474672746	0.0764261675797079	0.0901548342128311	"IS01"	0.505958486051555
"CELA1"	"CELA1"	0.5004405634494	0.0449719107743183	0.490323282352338	-0.0714410835996039	-0.28100557323556	-0.0879756042431321	-0.0946518643205451	0.0444436314150356	0.0412274148440996	"IS01"	0.5004405634494
"LY9"	"LY9"	0.488582216125539	0.17615740832038	0.0446531705168892	0.133400558768283	-0.779050789525744	0.0283599688493432	-0.0915842063862919	0.47139632941895	-0.153092189237686	"IS01"	0.488582216125539
"PPP1R16B"	"PPP1R16B"	0.477462720350733	-0.329667845754779	-0.0749861046020541	0.272935742952923	0.239102451604278	-0.283468667063222	-0.116677403442898	-0.258924092240123	-0.027432191687165	"IS01"	0.477462720350733
"CTLA4"	"CTLA4"	0.46378189239002	-0.203434399890175	0.020735716745256	-0.141640845066562	0.0874330992496142	-0.363737752850972	-0.0955800240654304	0.116005243074585	0.10740217953485	"IS01"	0.46378189239002
"CD28"	"CD28"	0.462310424257998	-0.16992003315758	-0.11437737990429	-0.0968531902743976	0.233419302386446	-0.330489604570936	-0.0533906241569824	-0.0771074918426189	-0.239809726121513	"IS01"	0.462310424257998
"KLRB1"	"KLRB1"	0.461982846619723	-0.336513557133122	-0.0372715506738562	0.142190621577713	0.155728073014982	-0.356283748336638	-0.055691921612214	-0.0143303559522749	-0.0486861321083782	"IS01"	0.461982846619723
"NCF1"	"NCF1"	0.460867508770721	0.0302820177493355	0.111123918068467	-0.0318273185480008	-0.423326763463238	-0.0359430801001842	0.141542051554868	0.191519845838811	0.153830126625482	"IS01"	0.460867508770721
"CD2"	"CD2"	0.437783124070427	-0.308539462698032	-0.0851769040464989	-0.0616239558370249	0.153664485335027	-0.383513868114874	-0.0462519421966889	0.135588700199568	-0.130060747215962	"IS01"	0.437783124070427
"PIK3R5"	"PIK3R5"	0.425485204678842	-0.121215678289932	-0.076202896307079	0.178966296431538	-0.17363506885983	-0.25195524563302	0.0028072703100047	0.209698231210203	-0.321191699526999	"IS01"	0.425485204678842
"IL16"	"IL16"	0.421575536930631	0.170388116240497	0.101617957142615	0.301291509292712	-0.678213970868485	-0.029998994223188	-0.117211315513526	0.339964678062038	-0.0247468317242687	"IS01"	0.421575536930631
"DCANP1"	"DCANP1"	0.419140163321944	0.0473452058995312	-0.0808705351884169	0.191341714350948	-0.401353396504149	-0.143846440918655	0.0454461480804299	0.248177594073175	-0.0981789809018851	"IS01"	0.419140163321944
"ARHGAP15"	"ARHGAP15"	0.407315642332215	-0.162621463037264	-0.0982916731491693	0.0751050164755369	-0.00424127750493281	-0.31679710445498	-0.0785937821046913	0.0945933751609284	0.160016903203629	"IS01"	0.407315642332215
"RASAL3"	"RASAL3"	0.402037502405062	-0.165075723778384	-0.222680218945449	-0.0865710083363373	0.140464695622947	-0.455385257703934	-0.0414990174545195	0.162494629824268	0.0461472970404301	"IS01"	0.402037502405062
"TIGIT"	"TIGIT"	0.376591668643043	-0.18548344755217	-0.130424393321543	-0.243032051796171	0.242666190404367	-0.335997124160514	-0.0156799211003351	0.0348469827693157	-0.0956276972050717	"IS01"	0.376591668643043
"XCR1"	"XCR1"	0.35414399302687	0.206589960874005	0.030726160314843	0.0682446703507306	-0.272497220959006	-0.081023457933049	-0.0927339003448926	0.0344562729534734	-0.0557138957991434	"IS01"	0.35414399302687
"HMHB1"	"HMHB1"	0.339915937911167	-0.114356821011796	0.287237900421014	0.0461040840878315	-0.28166436796392	-0.069342427911013	-0.0700053666676204	0.17360671303717	0.212549821504366	"IS01"	0.339915937911167
"SIRPG"	"SIRPG"	0.333374643581941	-0.237038592316968	0.000130001519618539	-0.264162637507672	0.231008215056827	-0.43831649800845	-0.000243811107593742	0.180015791407865	0.0257417599626454	"IS01"	0.333374643581941
"AKAP2"	"AKAP2"	0.302252683242066	-0.0224705346324099	0.0924969351369756	-0.619841791370787	0.0986403580985988	0.00143977817029292	0.146070248831892	-0.0234032252890224	-0.0551500033919025	"IS01"	0.302252683242066
"ITGA4"	"ITGA4"	0.275980931767358	-0.245503208330789	0.0535117601597991	0.0214802013683115	0.162585683239295	-0.226505426925011	0.270443676940056	-0.0435233157648704	-0.262950333186718	"IS01"	0.275980931767358
"KLHL6"	"KLHL6"	0.267527876019209	-0.206645710808794	-0.00962533553846976	0.0150977953996224	0.186221192732607	-0.212458416560589	-0.0635109399649951	-0.0925451044345005	0.0698388846484196	"IS01"	0.267527876019209
"GNGT2"	"GNGT2"	0.256648781619803	-0.19881432354083	0.036591175478815	0.0508605917209683	0.0442792147984677	-0.195168033761045	-0.271588974408911	0.0927608275559534	-0.0384606247029571	"IS01"	0.256648781619803
"ARHGAP30"	"ARHGAP30"	0.255494861752393	-0.24651686338037	-0.114870046124423	0.104886861727031	0.188120184335832	-0.222820373832904	-0.0477758712856763	-0.0386172832804127	-0.251998423471927	"IS01"	0.255494861752393
"IL18RAP"	"IL18RAP"	0.235084730272151	-0.168353622084744	-0.00997348613862183	-0.165653614827342	0.127083340895636	-0.201803780742969	0.0431107942410278	0.0732624695774421	-0.106944060541666	"IS01"	0.235084730272151
"LY86"	"LY86"	0.231286334515117	-0.213208055759177	-0.113455705653763	-0.0904270067850694	0.0937501335238544	-0.239957982242141	-0.00135933856055895	0.164768311554712	-0.112078191453471	"IS01"	0.231286334515117
"LAIR1"	"LAIR1"	0.215697970860113	0.0820260238776614	0.0312071251442035	-0.0890034419062474	-0.320155577353534	0.0749546384287403	0.154073101788845	0.152390307623821	-0.000675383330035084	"IS01"	0.215697970860113
"RGL4"	"RGL4"	0.205925371432665	0.135862848051652	0.0184428924976367	0.119455781765625	-0.237506402131986	0.12585912108937	-0.123259635110191	-0.0938816305854724	0.0191856026716805	"IS01"	0.205925371432665
"CCR2"	"CCR2"	0.200273640188345	0.131043506293785	-0.00445405702829547	0.0283071492053429	-0.44794788724442	0.163489062418509	-0.0747795569263027	0.179332983328971	0.0495698902010494	"IS01"	0.200273640188345
"TNFRSF4"	"TNFRSF4"	0.191467521648708	-0.0387127451855209	0.163626516397436	-0.0650698443099314	-0.14028869385435	0.0234570451422687	0.053118887938043	0.0244801433156143	0.174105252028686	"IS01"	0.191467521648708
"PEX1"	"PEX1"	-0.0581641337796162	0.783135959628579	-0.0626886264045741	-0.155041081427758	0.016112378302015	-0.358289757808467	-0.0724498174927673	-0.0334557313376049	0.0843588370596216	"IS02"	0.783135959628579
"FAM153C"	"FAM153C"	-0.0103300486155073	0.770939447216188	0.333848957062573	-0.0391344907882923	-0.0667190742896884	-0.336524671309127	0.0963936219435538	-0.140700520878266	0.252916646278767	"IS02"	0.770939447216188
"IKBKB"	"IKBKB"	0.000791483040740509	0.755447514583297	0.0859301276666184	-0.20066329299303	-0.011667678305994	-0.380690156463692	0.0896841579132876	0.00996304441213122	-0.130073875533259	"IS02"	0.755447514583297
"SHOX"	"SHOX"	0.0479427003842861	0.677528829370442	0.502146651030593	0.0660730530565856	-0.0749375634638628	-0.455564547772095	0.362347572616752	-0.11596476751269	0.252871924169208	"IS02"	0.677528829370442
"ZNF675"	"ZNF675"	-0.0260229190607934	0.676483855464373	-0.0402075454810943	-0.194492444497109	-0.0677272981822933	-0.243642075556222	-0.111221308855098	-0.0358841997498161	0.524746696624597	"IS02"	0.676483855464373
"ZNF44"	"ZNF44"	0.0543677034707545	0.649333877021084	0.0252042723927483	-0.0371310974822591	-0.0799624974420937	-0.260770023548212	0.00992978619675159	-0.0849495849047377	0.0831297270391067	"IS02"	0.649333877021084
"TUBD1"	"TUBD1"	-0.0283330043059399	0.596220681021929	0.187888714354453	-0.122242962811767	-0.0667959419655881	-0.304604427905827	0.0757654059601097	0.0197012957634306	0.220421219615393	"IS02"	0.596220681021929
"C2CD5"	"C2CD5"	0.00260270199481287	0.595414139680472	0.232648390298807	0.074065003371339	-0.061118338452082	-0.294118655442477	-0.0872575449209497	-0.103485866922325	0.235094154953582	"IS02"	0.595414139680472
"LZTR1"	"LZTR1"	-0.0211309018459148	0.580100296199364	0.111433123649922	0.0874078995749547	-0.094217065226213	-0.460415737641282	0.324178683823183	0.0577922512073441	0.332710547179496	"IS02"	0.580100296199364
"MLANA"	"MLANA"	0.029514401157696	0.547386529845378	0.0890540800826412	0.061172074254472	-0.089507847138237	-0.323518619477756	-0.241692755516365	0.0389147447470027	0.113039743091282	"IS02"	0.547386529845378
"STAG3"	"STAG3"	0.525067253220035	0.532813353204618	0.0547105993662251	0.136691805846975	-0.379499677546985	-0.662396973924682	0.0948908156506872	0.259470747715279	0.494841602406864	"IS02"	0.532813353204618
"DEFB108B"	"DEFB108B"	0.0229810120092114	0.525772718160693	0.26480560623186	0.182140899548765	-0.0880533124647516	-0.269776049594638	-0.139577737187464	-0.129197124684082	0.321718719426961	"IS02"	0.525772718160693
"TAS2R42"	"TAS2R42"	-0.0119885916935545	0.508113319200652	0.504165949109386	-0.0735628977642104	-0.00996596401643301	-0.298379156093698	-0.123688564436591	-0.0619774511941451	0.265908174372067	"IS02"	0.508113319200652
"EPB42"	"EPB42"	0.0980268864378767	0.482354609210451	0.365789200671027	0.481332765186226	-0.0881807544708011	-0.444511483882215	-0.0646924897897689	-0.120338627099912	0.0121579115066608	"IS02"	0.482354609210451
"MMP21"	"MMP21"	0.133711667529817	0.481803988104136	0.22428000535478	0.450638744203591	-0.206023211723606	-0.362913799298955	-0.0350219859489488	-0.0771172887897256	0.246679282710831	"IS02"	0.481803988104136
"PYROXD1"	"PYROXD1"	0.00785499151834813	0.464308044184945	0.0569622395261181	-0.0341502046904263	-0.0355800903721836	-0.15840028842454	-0.123395874884796	-0.0656630392294301	-0.0116685428463662	"IS02"	0.464308044184945
"KDM8"	"KDM8"	0.0702337278688211	0.438047373259363	0.0270400262018171	-0.0179409593426569	-0.100780830753265	-0.144269256881029	-0.0765830454948954	-0.0676866328608202	0.214536991892056	"IS02"	0.438047373259363
"BORCS8.MEF2B"	"BORCS8.MEF2B"	0.211703483985528	0.401696663862223	-0.090024754447628	-0.00658860454459955	-0.155654886379946	-0.266810720301065	-0.0480474307188725	0.0602857455390185	0.15156736005048	"IS02"	0.401696663862223
"SPDYE4"	"SPDYE4"	0.257359177438538	0.382242944677691	0.2248823759156	0.229346555485578	-0.209527685285439	-0.34678668023185	-0.000592375552541229	0.024527823153123	0.0663789466352043	"IS02"	0.382242944677691
"PASK"	"PASK"	0.167572686784906	0.371056284963838	0.217518802991712	-0.425456855687461	-0.0626986825256328	-0.436579645228513	0.0403354969673944	0.281912242691474	0.362437424622534	"IS02"	0.371056284963838
"NEIL2"	"NEIL2"	-0.109337698053712	0.36192016019859	0.148055253078167	-0.0188151635437048	0.0265097657933712	-0.120574163840031	-0.141567656158721	-0.0567953959498445	-0.00304390741022067	"IS02"	0.36192016019859
"MAGEB10"	"MAGEB10"	-0.0767336141994191	0.341112876476936	0.331537819853106	-0.105150303666398	-0.0570999741264232	-0.100428878738554	0.116846490396095	-0.023465803294929	0.15690555489263	"IS02"	0.341112876476936
"RGPD1"	"RGPD1"	0.192363768274005	0.338749528525561	0.28713075720911	-0.183208213836581	-0.0961419998269564	-0.212581546862214	0.200397597810308	-0.0308731989543016	0.270904179465852	"IS02"	0.338749528525561
"FAM133B"	"FAM133B"	-0.0786846933752713	0.332626139910605	0.0881388622315232	-0.0438495271643385	0.00922811492787718	-0.204200868940737	-0.0181937706546596	0.00555969905302894	0.266113534402849	"IS02"	0.332626139910605
"CNTNAP1"	"CNTNAP1"	0.114832223462943	0.311108485679255	-0.00159673673635886	0.232420068705641	-0.171673686297931	-0.215498783952096	0.0205742933796074	-0.000792773451123205	0.205634558627543	"IS02"	0.311108485679255
"NSMCE4A"	"NSMCE4A"	-0.0771599268586643	0.304899119310844	0.237390936920198	-0.012526007316623	0.0182089795904812	-0.132253050608594	0.174162633522296	-0.09423441216606	0.0659322819379999	"IS02"	0.304899119310844
