"V1"	"TCGA.FD.A5C0.01A.11R.A28M.07"
"KRT72"	"KRT72"	-0.527166255462726
"CD72"	"CD72"	-1.21478847549639
"GNGT2"	"GNGT2"	-2.80360616329031
"ABCD2"	"ABCD2"	1.4631813757861
"CNR2"	"CNR2"	0.279011904806699
"SCN11A"	"SCN11A"	-0.147621264233894
"GSX2"	"GSX2"	-0.328581881769475
"CELA1"	"CELA1"	-0.578257283607139
"ITGAX"	"ITGAX"	0.606740893197048
"NIPSNAP3B"	"NIPSNAP3B"	-0.507960444273691
"PDE6H"	"PDE6H"	-0.0736330061645164
"MUSK"	"MUSK"	0.456687408585839
"PMCH"	"PMCH"	-0.335646884292405
"CD53"	"CD53"	-0.527361493698827
"CD19"	"CD19"	-0.0544754987978355
"SHOX"	"SHOX"	-0.475565510826935
"CHRDL2"	"CHRDL2"	0.704285117901311
"SLC12A3"	"SLC12A3"	-0.114055707342965
"LILRA4"	"LILRA4"	0.816090092105387
"RP5.972B16.2"	"RP5.972B16.2"	-0.210334578294767
"C12orf42"	"C12orf42"	-0.104890324324441
"ITGA4"	"ITGA4"	-0.606906717421455
"MAP3K7CL"	"MAP3K7CL"	-0.226103439718235
"FCRLA"	"FCRLA"	-0.474321948098147
"MPZ"	"MPZ"	-0.542550862877064
"OR6S1"	"OR6S1"	-0.0483933918495827
"NOL4"	"NOL4"	-0.0924091989174357
"CLECL1"	"CLECL1"	0.76987294437569
"TEKT3"	"TEKT3"	-0.384552235475624
"CD247"	"CD247"	2.07639961001814
"GPR182"	"GPR182"	-0.305095135574201
"CFP"	"CFP"	-0.555335682541563
"HDAC9"	"HDAC9"	-0.0269702747524115
"TNFRSF13C"	"TNFRSF13C"	0.0631032828204054
"LCAT"	"LCAT"	-0.184394262716558
"TBC1D26"	"TBC1D26"	-0.681873420307905
"SOX8"	"SOX8"	-0.244159735263948
"CCR2"	"CCR2"	-0.00774908594019906
"VCY"	"VCY"	-0.170486706481701
"TBC1D10C"	"TBC1D10C"	-0.180116743763286
"OR4C46"	"OR4C46"	0
"NPHS1"	"NPHS1"	-0.45263157579118
"KLRB1"	"KLRB1"	-3.43554092023359
"NEIL2"	"NEIL2"	-0.956634438693377
"LILRB1"	"LILRB1"	-0.490343289345345
"IL21"	"IL21"	-0.472263953364339
"KCNS2"	"KCNS2"	1.57263494967553
"SLC24A4"	"SLC24A4"	-0.256930994784373
"MMP21"	"MMP21"	-0.303532999087648
"TIMD4"	"TIMD4"	-0.0883122181958213
"RGPD1"	"RGPD1"	-0.425140211248163
"NR4A3"	"NR4A3"	0.645478459074239
"NLRP4"	"NLRP4"	-0.134595272341107
"LZTR1"	"LZTR1"	-0.673624916200935
"BORCS8.MEF2B"	"BORCS8.MEF2B"	0.69664106525611
"OR10H3"	"OR10H3"	-0.0483933918495827
"NCR1"	"NCR1"	-0.330971596681622
"CD79B"	"CD79B"	-0.329319273406172
"FCMR"	"FCMR"	-0.857136712940779
"STAT4"	"STAT4"	-0.184697414957171
"CXCR3"	"CXCR3"	0.734206288381986
"DAZL"	"DAZL"	-0.200874481484303
"TNFRSF4"	"TNFRSF4"	0.482470397609262
