"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"State"	"MaxFC"	"InitialState"
"FAM129C"	"FAM129C"	1.36384352150866	0.614547566517615	0.278730880327334	-0.0405257169927231	-0.508914001333406	-0.898771367871321	-0.0043134735347268	0.133751469033165	0.284152127928761	"S01"	1.36384352150866	"IS01"
"LYL1"	"LYL1"	1.27429697167503	-0.187927323834595	0.0183259611004822	0.583656811856924	-0.869115135660506	-0.285885152327803	0.26029951461835	0.302094654146636	-0.192932532985825	"S01"	1.27429697167503	"IS01"
"CNR2"	"CNR2"	1.25246903058598	0.611374511816115	0.304498264472841	0.131600400009308	-0.675801072621629	-0.914637828169285	0.0919586551384997	0.351700126535212	0.130307852840837	"S01"	1.25246903058598	"IS01"
"RAC2"	"RAC2"	1.21477068751378	-0.260665534028638	-0.0497808258495437	-0.0620743786403606	-0.804094051266134	-0.0372613920136254	-0.0967508405381813	0.489615675926435	-0.376949492552584	"S01"	1.21477068751378	"IS01"
"SERPINA9"	"SERPINA9"	1.18203069168781	-0.125824004838485	-0.0247554108459877	-0.0103212543541616	-0.370382393735985	-0.148667757607959	-0.198401616042066	-0.0582428348886877	-0.141892865053199	"S01"	1.18203069168781	"IS01"
"LRMP"	"LRMP"	1.18119883921603	0.227109548410172	-0.0296495258683592	0.487608520155781	-0.727192467139082	-0.543202714720221	-0.174181691491934	0.257032841490142	0.0806722470885836	"S01"	1.18119883921603	"IS01"
"PVRIG"	"PVRIG"	1.17348560959996	0.131823732373094	-0.0620546063908827	-0.095593438200856	-0.446966737301654	-0.311824936404755	-0.059069617063249	0.0438797228341956	0.0328104567926355	"S01"	1.17348560959996	"IS01"
"SELL"	"SELL"	1.16778372894384	0.0056489428834972	-0.036259930056245	0.210493733860297	-1.22646762502525	-0.117975608710141	-0.0929137929019364	0.787765619986066	-0.147706560322896	"S01"	1.16778372894384	"IS01"
"DAZL"	"DAZL"	1.16631484148125	-0.143756394710287	0.0958945776193062	-0.0623034717454465	-0.62558945429	-0.299697658139106	0.119623945865417	0.365683332420252	0.0247737067509737	"S01"	1.16631484148125	"IS01"
"RGS13"	"RGS13"	1.11918701667646	0.014466123780815	-0.0128326387428775	0.781254538421213	-0.867253918371741	-0.287605273044122	-0.205342914360495	0.223100285622688	0.0102325465530442	"S01"	1.11918701667646	"IS01"
"GRAPL"	"GRAPL"	1.10850418454549	0.225189245377684	0.162627685896968	0.569367100699299	-0.582523459162093	-0.589116992012528	0.00316735540623274	0.0812436094625847	0.0353105663871473	"S01"	1.10850418454549	"IS01"
"GPR18"	"GPR18"	1.08562019260772	0.015567230918982	0.0442706044959993	-0.0271479409675036	-1.08186985033972	-0.189068993049444	-0.176054115158473	0.844022388588838	-0.129619177381614	"S01"	1.08562019260772	"IS01"
"NCR3"	"NCR3"	1.07067416642545	-0.0777363929040935	0.0905850768334247	0.18317354942953	-1.13297905901706	-0.0789763960641467	-0.0243211402956037	0.716187412104009	-0.0105136038160654	"S01"	1.07067416642545	"IS01"
"TBC1D10C"	"TBC1D10C"	1.04805234484841	0.0625664646163474	0.0723442063681788	0.0779568303590963	-0.776367111497214	-0.164217308664684	-0.0207795783412172	0.355498333506742	-0.144000419013372	"S01"	1.04805234484841	"IS01"
"SPIC"	"SPIC"	1.03578928261242	-0.0445113077029705	0.257299822052281	-0.176358516961495	-0.567993164813568	-0.306122615900659	-0.256029580355324	0.37772672348205	0.295933516109453	"S01"	1.03578928261242	"IS01"
"FCMR"	"FCMR"	1.02923422540525	-0.0553648396676079	-0.0720549575405203	-0.106426431093995	-0.299705905212113	-0.0853551954963326	-0.215437899130031	-0.099083132559174	-0.068839401601588	"S01"	1.02923422540525	"IS01"
"CR1"	"CR1"	1.01822694142928	0.0165682526794524	0.116549272736467	0.625512289041661	-0.882069915395371	-0.32589080987365	-0.181759945242829	0.376099571717365	0.195919234229393	"S01"	1.01822694142928	"IS01"
"SEPT1"	"SEPT1"	0.983966335470106	-0.0882303256545275	-0.00795754394024258	-0.0411583364119958	-0.286652052785126	-0.109223677966819	0.0422086550053597	-0.135859818453493	0.024063315085877	"S01"	0.983966335470106	"IS01"
"C12orf42"	"C12orf42"	0.980606663974243	0.181235090586088	0.211438363370336	-0.310329921514253	-0.316087497009141	-0.360190224844603	-0.148902042464915	0.0168568842089511	0.671622248001079	"S01"	0.980606663974243	"IS01"
"DTHD1"	"DTHD1"	0.965092314769231	0.0555817957742981	-0.00574569723056216	0.415630520820351	-0.635669169105676	-0.354834034000258	-0.309437889182548	0.30658881354457	-0.183097309585443	"S01"	0.965092314769231	"IS01"
"CCL21"	"CCL21"	0.946832838524746	-0.21122556943226	-0.129429991120093	0.937436976544785	-0.821496347753585	-0.16141993404059	0.0259312905058849	0.240119427905408	-0.240648704330756	"S01"	0.946832838524746	"IS01"
"SLC12A3"	"SLC12A3"	0.945481789301363	0.11054994716966	0.30435462777115	-0.116113707323768	-0.507683872514844	-0.409796115145481	0.107196650399276	0.26743994452646	0.354955129449466	"S01"	0.945481789301363	"IS01"
"RASGRP2"	"RASGRP2"	0.94103851623761	0.110254927212089	0.0159110029073722	0.737441846395757	-0.983354703252602	-0.35494929728376	0.374989390130311	0.426751049412673	0.019864218569121	"S01"	0.94103851623761	"IS01"
