"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"IS12"	"IS13"	"IS14"	"State"	"MaxFC"	"InitialState"
"LAX1"	"LAX1"	0.0277846394369728	-0.0261608477118412	-0.182181869303291	-0.125516415796235	-0.0727908211790937	0.115805647657895	1.90918052519933	-0.0988128944398719	0.596984748976054	-0.364007169319154	-0.883246394556836	0.0413370592928178	-0.161846952043897	0.0714351841422346	"S01"	1.90918052519933	"IS07"
"LY9"	"LY9"	0.0448368680033385	-0.0466271517754877	-0.194287842808169	-0.307199105493504	-0.204266156579858	0.0928825655484941	1.89671759347463	-0.0792358287914614	0.803299539368797	-0.32509353128199	-0.845302224145108	0.00700529984361421	-0.240470027986334	-0.0514142801127699	"S01"	1.89671759347463	"IS07"
"FCRL4"	"FCRL4"	0.0588144108216663	0.0451082931656126	-0.14084900443439	-0.20441788839347	-0.115490121907454	0.045916826439456	1.86578793551249	-0.451608580339873	0.304305666225292	-0.243298734437941	-0.619628078643614	-0.0167370729154615	-0.222716966837228	-4.873526129425e-05	"S01"	1.86578793551249	"IS07"
"MZB1"	"MZB1"	0.144462885110258	-0.00702939022887347	-0.18089587322242	-0.167197352348483	-0.165151232866916	0.256985412524851	1.86265680076396	-0.29945854238339	0.246049254842017	0.0214936060821947	-0.909675535460168	-0.0995001374835705	-0.154931153188763	-0.0825732915251018	"S01"	1.86265680076396	"IS07"
"RP11.330H6.5"	"RP11.330H6.5"	0.00924394207595016	0.0120641423258888	-0.222989015445632	-0.0934343266374493	0.171705989161215	0.101810149564819	1.83391178928072	-0.232140122658485	0.294188157011605	-0.36334919834794	-0.644599837858329	0.0167164848573188	-0.161406749701984	-0.0273251331137048	"S01"	1.83391178928072	"IS07"
"CPNE5"	"CPNE5"	0.269303298435073	-0.0321699708313693	-0.163332728671946	-0.000540486813136888	0.103709253870666	0.17227070359117	1.7512993885277	-0.165175934729753	0.237585355787958	-0.415633148024045	-0.868605222748871	0.368324966678642	-0.160829964571152	0.0651284859592735	"S01"	1.7512993885277	"IS07"
"PIM2"	"PIM2"	-0.0285746241118636	0.0338708323220953	-0.193494183691784	-0.0205834577668987	0.0850211847448142	0.107786926298264	1.74380116622585	-0.276651650446798	0.542920356143451	-0.236041801856305	-0.888053975911035	0.01194649901197	-0.0998930156187639	0.0797751797716292	"S01"	1.74380116622585	"IS07"
"STAP1"	"STAP1"	-0.0734240288579338	-0.10555800163151	-0.126306870138071	-0.19450400472161	-0.116562173949674	-0.0939038245967867	1.7059644659432	-0.0728468745031421	0.345117595734837	-0.251815715373588	-0.56747931373624	-0.00879473925303509	-0.245368332822328	-0.098045378891388	"S01"	1.7059644659432	"IS07"
"POU2F2"	"POU2F2"	-0.130464036318836	-0.0673804163112749	-0.208665847591326	-0.112004577772488	0.122590874453673	-0.0143538291792806	1.68563494097605	-0.065525152736924	0.542444605507629	-0.438972151625284	-0.736543972919142	0.334763143581569	-0.162567628745012	-0.100838581073878	"S01"	1.68563494097605	"IS07"
"KCNA3"	"KCNA3"	0.112793517037734	-0.127516435239475	-0.225922818603627	-0.328395222591703	-0.0653645876856829	0.175434965154618	1.68047363861252	0.47626524618353	0.800107967662054	-0.494288130139795	-0.905939512722517	0.177014437903475	-0.118320469390688	-0.0893671127523118	"S01"	1.68047363861252	"IS07"
