"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B04_841918"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A01_830792"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A07_830800"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A11_830708"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B07_830666"	"MS2010072001"	"MS2010072023"	"MS2010072034"	"MS2010072042"	"MS2010072805"	"MS2010072821"	"MS2010072824"	"MS2010072828"	"MS2010072838"	"MS2010072904"	"MS2010072921"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A11_841920"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A12_841926"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B01_841924"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B08_841908"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B09_830678"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B11_830836"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C03_830686"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C08_830838"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C09_830750"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C10_830840"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_D08_830828"	"MS2010072004"	"MS2010072024"	"MS2010072026"	"MS2010072038"	"MS2010072813"	"MS2010072831"	"MS2010072835"	"MS2010072837"	"MS2010072930"	"MS2010072932"
"MEFV"	2.51048985292298	8.20480177369392	2.16168948314577	6.57775374915302	5.91855668348668	4.41963006709207	5.05017835252349	6.2479766674281	5.0757857220697	2.84382119644591	2.84059773083793	6.31307648506627	4.13196476299513	2.62502050572449	4.23318918597645	6.58649195678672	7.04896969708862	5.12452782702534	2.07494949978426	2.59946859416267	5.91628186336587	5.26195022800164	3.94749392826983	1.97338502285608	2.50421433673443	2.40117438968219	5.80006453038582	2.54229564396138	3.68173686701495	2.51398548839323	2.80377383748877	1.80654283716605	4.12680170518585	2.06479145854229	5.88881483220776	7.38792838415112	3.71785809052737
"CD14"	12.654192995916	13.5799058210572	14.0842299567897	13.0022108975637	12.5455953452085	12.7389292422752	12.4485668359387	13.5514576339931	13.3058962002677	12.0927854699053	12.2397544091154	12.6191324456389	12.8880314823574	12.4195997662245	12.7428878391905	13.3946309662254	10.0383495108525	11.719836637177	11.1649302090765	12.1554381171409	11.3125595095658	11.2653555326194	10.9777151794619	10.1118845654683	11.931396990819	9.95580075754272	12.4800923961241	11.5738320274151	11.8121737329724	12.711796121264	13.1122866368144	12.1104222605753	11.9909323944962	10.4291538517212	11.9845595525716	10.6283506787225	11.9441902535073
"IFIT3"	10.9249256188442	12.4624183763036	11.6740731827453	12.1577403736803	11.0154681503138	10.0749875926484	11.415512961955	11.2738740583777	10.3101332943745	8.51545540287254	11.1677716937265	10.7483203357471	10.209431039684	9.87263528678191	11.4098886679634	12.3650357034625	9.05786845246604	10.5474887240681	11.0137208201419	10.2452778602368	9.58645836416556	11.5015774406025	9.2643497876742	9.86397686487915	10.3544711197798	9.12153363634219	9.71366269001468	10.7093895842189	9.1987372543568	11.3015941262201	9.7054111598869	7.90432110945383	9.64303701868439	10.3385918878083	10.4240147068867	10.450892293621	8.79645557256011
"CCRL2"	9.75118568674485	11.5889204313679	11.1089368939467	10.6802300072355	9.02256880178914	10.0174935254125	8.89908738902676	10.8051143029041	9.10379532946771	9.13574030536404	9.05687953760227	10.1086314263234	10.1355070841174	9.20451479305519	10.5415972894457	11.6834760163928	8.09341231592805	8.32801480991499	8.45417315649997	8.07536598449561	8.32349935852888	9.43141782347836	8.9032680344017	9.06398202843005	9.73294068620695	8.49204161312971	9.31331683587674	8.87769645594666	8.48328997140304	9.26117353852107	9.59257103349381	9.18487326511515	8.03433262948187	7.53310119120248	7.91137568025231	8.96390577973434	8.64096521171166
"SCG3"	2.78886185325104	5.96344249259556	6.82116746171719	5.67471395794899	0.839897538882439	5.47262114224673	2.03158007279435	6.22654622315051	4.6547642843574	4.00383996352433	2.62306841984217	4.09067830569336	2.49904571387598	5.22541079805196	6.2071419044434	5.71161819135889	1.90101558189741	4.54924425779569	1.48453961885256	1.23452036225817	1.76233083674047	3.14933188834433	5.90439768168259	5.72569332063267	3.65856264030829	0.888999202821132	3.70455980952626	4.19238969649082	5.42065765721395	1.86774636616492	1.55965553722209	5.08460340010569	2.43275246671144	2.74301895606743	2.78531370777057	9.25935181318959	5.1301204072902
"C3AR1"	11.7680133753996	13.4422584199185	12.8147682574496	12.3203442899304	11.7852737064468	10.7666174357097	11.6618720185909	12.2302413924608	11.449512993925	10.6458443972896	12.0554267220402	11.223002459271	11.1071143826858	11.3718151666612	12.4802171169645	13.1648492725052	9.46371227588337	10.8022326727996	11.4220247306021	10.3148635983347	9.21993806998596	11.7281504988472	9.48179642584091	9.0645775908502	11.5819684461053	10.8607407056538	10.7345612212609	10.508554382303	9.17791669313308	11.1980724842294	10.4026016177414	11.6116234717526	10.1332513690348	9.44724413057853	10.64538536338	8.50169121764829	10.7733500086299
"SIGLEC7"	8.00775439903195	8.40358772247572	8.3504032068575	7.43094152831828	7.07280788532157	8.32401438134522	7.602457779247	8.8987038309004	7.62163237389768	8.08847542513001	7.76698351950762	8.21364569968373	8.23115645168787	7.73371640741736	8.36598039011266	8.83686742494458	7.12391751613453	7.98058379839849	6.91271332083766	6.93649169432053	7.13670128894851	8.13906384951533	6.8840003487886	6.27248009686599	6.69503124412903	8.3523662307966	7.68308061544961	7.66896944433238	6.72133165117601	8.11815667472521	8.03532416484462	8.57865750111809	8.0787586936665	6.4287603529632	7.38752201762635	9.33351637004126	8.01165915166761
"APOBEC3A"	7.9332405689353	12.8150907932223	11.0563083364089	11.0089886974421	12.0350971080292	8.93827261318401	8.95524841547184	10.3694259513022	7.44468501438877	5.94056604320817	10.1312443623141	9.8031838858767	8.39914021106372	7.80909884255064	8.23520539016434	12.3575082598335	5.66603675342814	3.91499068221746	7.04616172098149	9.13561757282046	6.05436399712533	9.6475771090509	7.57754763197996	9.94368034621825	8.62198665891612	9.66803367811315	9.11218026773161	9.92412557678085	6.33034289998843	7.99215355563178	7.88527851053191	7.6488459086783	8.19228963331968	8.94302079215715	8.15169280140459	10.8159253591357	6.13874178560187
"CLEC4D"	7.4144655093092	9.56820370134134	8.33745095486215	8.02563845958261	7.574343683928	6.37869352610369	8.15071292092276	8.3543373066294	7.11702064678736	6.05975016437665	7.4112886382316	8.28763141318737	7.58081145414268	7.0394416833646	7.91148333801214	9.44094006487553	5.10535000568492	6.74850338358892	7.40379092627883	6.73480339187276	6.55501695855426	8.24183361251076	6.91747461981512	6.9836289417327	7.30019212648804	6.58527677050611	8.41522445176527	7.19026131442475	6.55729252492065	7.29990666629586	9.99470210913368	5.82786529762825	6.07825041298123	6.22997233743281	5.44057305070081	8.8345316938302	6.72887262939213
"CD300E"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
