"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"State"	"MaxFC"	"InitialState"
"PLIN5"	"PLIN5"	-0.170778795251431	-0.150007478162086	-0.207596320708481	-0.212751573101761	-0.00553741413946138	-0.183984798189572	-0.210472824979345	2.19965091081248	"S01"	2.19965091081248	"IS08"
"EFNA5"	"EFNA5"	-0.172618595424167	-0.201396759754168	0.299906970272618	-0.197652745630156	-0.168034402027465	-0.14889064442933	-0.206281078907463	2.18843199480488	"S01"	2.18843199480488	"IS08"
"TSPAN5"	"TSPAN5"	-0.450176115269576	-0.380774153117778	-0.29790181623028	0.260891913579193	0.367873082101853	-0.093288925786641	-0.314434977203184	2.15743852109825	"S01"	2.15743852109825	"IS08"
"EDNRB"	"EDNRB"	-0.329432019836272	-0.276401666625363	-0.243429910067473	0.0683559933122108	0.152253616880569	-0.209348313312299	-0.201579120759415	2.15026860213094	"S01"	2.15026860213094	"IS08"
"MYZAP"	"MYZAP"	-0.237919589533906	-0.221674677568164	-0.21232857640842	0.119654579000551	-0.230583069402809	-0.22076039713222	-0.129782893176316	2.1277443251787	"S01"	2.1277443251787	"IS08"
"WFS1"	"WFS1"	-0.320519751811876	-0.0935541305286002	-0.217859940539004	0.166766451052783	-0.0517272864793832	-0.228275899185474	-0.301542786052614	2.12160930739558	"S01"	2.12160930739558	"IS08"
"OMG"	"OMG"	-0.149161668080668	-0.136130592896224	-0.140670668034246	-0.156906089829059	-0.152764526372032	-0.146256867847881	-0.163755668528145	2.03963252850299	"S01"	2.03963252850299	"IS08"
"PPFIBP1"	"PPFIBP1"	-0.771500978161001	0.0857657534635903	-0.144866515459623	0.265584743849122	0.561592734296669	-0.0802403970032236	-0.470789051288409	2.01971024820188	"S01"	2.01971024820188	"IS08"
"GPR182"	"GPR182"	-0.162595942917137	-0.14719616931804	-0.12951218508747	-0.144459757185094	-0.140646716837071	-0.134655268249788	-0.150766003658817	2.00534996264469	"S01"	2.00534996264469	"IS08"
"REEP1"	"REEP1"	-0.182174226257812	-0.155805993237684	-0.16067743966471	-0.0912201430649825	-0.174491337192445	-0.0179791527147099	-0.187045685624238	2.00400864390006	"S01"	2.00400864390006	"IS08"
"STON2"	"STON2"	-0.166770719190175	-0.084669160898676	-0.116024038818368	-0.189998938305135	-0.123145947670314	-0.0758590960362308	-0.203520939035849	1.9909353782476	"S01"	1.9909353782476	"IS08"
