"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"IS12"
"IDO1__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	172.916528808361	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"KLRD1__pos"	13.3895734540034	2.22044604925031e-16	30.8458581329851	4.82025498600236	53.3840769870086	133.808167201027	2.22044604925031e-16	6.00004321239944	9.00647346991457e-05	2.22044604925031e-16	2.22044604925031e-16	0.0951147715903504
"KCNJ10__pos"	55.325774462119	2.22044604925031e-16	11.8455194117209	100.986346789918	93.059221140776	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	15.5293734337376	2.22044604925031e-16	2.22044604925031e-16	1.9584705985726e-12
"RTTN__pos"	9.65065333978735	2.22044604925031e-16	2.22044604925031e-16	6.53296913981022	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	263.789115787737	17.2877973441677	2.22044604925031e-16	2.22044604925031e-16	6.05997222066123
"IFNG__pos"	11.5453285630749	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	211.466759924811	8.57732933373004	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"CXCL10__pos"	2.22044604925031e-16	2.22044604925031e-16	6.30534960419402	2.22044604925031e-16	179.477651764429	2.22044604925031e-16	2.22044604925031e-16	3.79431507548619	2.22044604925031e-16	2.09430961722378	2.22044604925031e-16	2.22044604925031e-16
"LILRA4__pos"	105.003002966451	23.0835966091504	51.9251440361401	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.24827124372493
"PLEK__pos"	62.7538805647554	2.22044604925031e-16	131.954895871716	2.22044604925031e-16	15.8576585344078	2.22044604925031e-16	2.22044604925031e-16	1.62724230412624e-09	2.22044604925031e-16	17.4319263124373	2.22044604925031e-16	2.22044604925031e-16
"FAM26F__pos"	17.7057856859584	47.1941577584698	64.6837112897983	2.22044604925031e-16	72.8743563100283	0.00256537434384377	2.22044604925031e-16	36.6780223540446	2.22044604925031e-16	4.59821135585141e-05	2.22044604925031e-16	2.22044604925031e-16
"LAG3__pos"	19.4755241339892	29.3239806689272	2.45568538130329e-15	19.3924423044518	149.894799934332	6.32647481858519	2.22044604925031e-16	2.22044604925031e-16	3.3947614546614	2.22044604925031e-16	3.57686933555629e-13	5.66642265426891
