"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"IS12"	"State"	"MaxFC"	"InitialState"
"EOMES"	"EOMES"	1.60526174830491	-0.00417868506533135	0.338315550982477	-0.0115800759818391	0.999359416851175	0.890147512638881	-1.07716524969075	0.00361917465511949	-0.0675654715026245	-0.19103738217371	0.0323142328906041	-0.174598171736314	"S01"	1.60526174830491	"IS01"
"SIRPG"	"SIRPG"	1.59479910519012	0.268586931935694	0.175284582552482	-0.172402243858385	1.17948825462467	0.612729159963793	-1.1294424245504	-0.0590742885260996	-0.0898396463673949	-0.221778483961996	-0.203454532996046	-0.164043996598992	"S01"	1.59479910519012	"IS01"
"TRAT1"	"TRAT1"	1.57151349006885	0.00868112210505589	0.279214601511024	0.0102649017770496	0.639338714501194	0.641948725133712	-0.931097196490224	-0.0609305895971482	-0.0989642007220239	-0.102290013483169	0.0928372112478324	-0.188856741136912	"S01"	1.57151349006885	"IS01"
"PDCD1"	"PDCD1"	1.45905431900023	0.267731078010619	0.210949709393323	0.165408922581787	1.30999661800987	0.631783015861004	-1.21947040702806	0.0640267161278604	-0.0236291936162068	-0.172533979940412	-0.0637589795370192	-0.202737898912945	"S01"	1.45905431900023	"IS01"
"UBASH3A"	"UBASH3A"	1.41704703252676	0.293613490883726	0.170478312828763	-0.141983782879992	0.732541538989137	0.547428833596915	-1.00714360817122	-0.100169182637305	-0.0300184667980331	-0.106866405837383	0.0178877826605409	-0.175184122162461	"S01"	1.41704703252676	"IS01"
"LILRA4"	"LILRA4"	1.39671369633566	0.113542703296671	0.594054536001749	-0.131401917595626	0.20609463469745	0.127424578411287	-0.640182508916931	-0.104298424265098	-0.114107207392748	-0.252592526842191	0.0743360210651972	-0.158836242809295	"S01"	1.39671369633566	"IS01"
"KLRK1"	"KLRK1"	1.38473338160933	0.17495927858845	0.220108575896941	-0.0543476678689015	1.01653531191299	1.26777330626081	-1.24169002359973	-0.0410494640352717	0.165193276525341	-0.117914593698216	0.236076393606826	-0.219326936443032	"S01"	1.38473338160933	"IS01"
"SLAMF6"	"SLAMF6"	1.38285265604436	-0.176267162007173	0.0582994903104611	-0.0726812646708437	0.404557038694522	0.307722827831208	-0.698032755872249	-0.0583053287209793	-0.0151843330295226	0.19128324462118	-0.00719986720955077	-0.0852865579215343	"S01"	1.38285265604436	"IS01"
"P2RY10"	"P2RY10"	1.37256125802464	-0.127803568441222	0.0595024545139004	-0.170740698102679	0.153795794101344	0.0775671117125667	-0.541810693000673	-0.116064576193001	-0.132083294195891	0.218689544027786	-0.1684946538581	-0.19131477135596	"S01"	1.37256125802464	"IS01"
"TIGIT"	"TIGIT"	1.35498607150971	0.174991974165014	0.310231850883686	-0.101103886827583	0.776908747315098	0.440339730007637	-0.992976862110989	0.0750120613675877	-0.00253538119695164	-0.0402524343607834	-0.0122323867704944	-0.081330229816111	"S01"	1.35498607150971	"IS01"
"CD8A"	"CD8A"	1.32732862746758	0.288412908652744	0.260722869307155	-0.0295423531365946	1.25693963319293	1.11724109327637	-1.39933513111657	0.0695218839746873	-0.0186637140613943	0.0517623832667838	0.145769555227832	-0.201209210981048	"S01"	1.32732862746758	"IS01"
"SH2D1A"	"SH2D1A"	1.29677937617575	0.0305312898094621	0.27294794821444	0.0284147791919735	0.555311845431706	0.459648932093847	-0.892443331287463	0.096354463272293	-0.157308471873505	0.154488390746112	0.0738638949999731	-0.285544545636037	"S01"	1.29677937617575	"IS01"
"XCR1"	"XCR1"	1.28905279886525	-0.146139407718308	0.152382997479328	-0.184588082800996	0.12093501767812	0.259430699917821	-0.481762725516065	-0.136670889452119	0.0826951691052219	-0.224333886706167	0.610450956924233	-0.155000747140048	"S01"	1.28905279886525	"IS01"
"DCANP1"	"DCANP1"	1.26430298866584	0.349839982978964	0.0193246123156665	-0.140307457062428	0.00489502633147815	0.0916114779253306	-0.548817807310433	-0.21615479001722	-0.101539912243974	-0.283846733972928	0.241562728474499	-0.222625360563271	"S01"	1.26430298866584	"IS01"
