"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"State"	"MaxFC"	"InitialState"
"LOC100286938"	"LOC100286938"	-0.369804153993195	0.096014595872001	-0.281268263459118	2.95140204878666	-0.288389954734708	-0.367475895965935	-0.229761307951	"S01"	2.95140204878666	"IS04"
"HOXB1"	"HOXB1"	-0.339128384654091	0.8414155886419	-0.420392543757406	2.93712914476585	-0.32591039098327	-0.386386404816994	-0.355672150942911	"S01"	2.93712914476585	"IS04"
"LOC440518"	"LOC440518"	-0.22776284139489	0.333698045993292	-0.378097501754465	2.87353560555466	-0.380180164313447	-0.339966982865415	-0.250433602593903	"S01"	2.87353560555466	"IS04"
"LOC100287933"	"LOC100287933"	-0.276453964941531	0.215476013634667	-0.320026219460762	2.86536585678009	-0.311969232208407	-0.401628991738423	-0.208130964228077	"S01"	2.86536585678009	"IS04"
"LOC100287947"	"LOC100287947"	-0.32892744563835	0.551469246599463	-0.42846146001885	2.8622825233221	-0.262719570747631	-0.297486370317097	-0.333736274458219	"S01"	2.8622825233221	"IS04"
"DKFZP434H168"	"DKFZP434H168"	-0.218265814913565	0.159268069254304	-0.393753519149681	2.75180802279407	-0.344794479487601	-0.163239704806603	-0.332341422215357	"S01"	2.75180802279407	"IS04"
"LYZL4"	"LYZL4"	-0.220716364690798	-0.153833268227618	-0.236433680803379	2.7258747432304	-0.259262784992055	-0.297887440338955	-0.29501909510914	"S01"	2.7258747432304	"IS04"
"LOC100288977"	"LOC100288977"	-0.118722139624527	-0.0359716315906006	-0.352084435917164	2.64317608200566	-0.270974275265362	-0.308821545999396	-0.210272023599087	"S01"	2.64317608200566	"IS04"
"MMD2"	"MMD2"	-0.0161050909146282	0.186155041285327	-0.394830231096943	2.6108572240176	-0.364603290435407	-0.290581960851462	-0.277220539140646	"S01"	2.6108572240176	"IS04"
"LOC644280"	"LOC644280"	-0.238781777785918	0.929212055131587	-0.469878482048135	2.59365317518925	-0.340319047674208	-0.38602062657357	-0.219301397242313	"S01"	2.59365317518925	"IS04"
"IL28A"	"IL28A"	-0.180564901039066	0.714905472823555	-0.471992042293375	2.57054337344626	-0.162405267733938	-0.370669481840927	-0.31745401352803	"S01"	2.57054337344626	"IS04"
"GDF5OS"	"GDF5OS"	-0.178970613125632	0.53132275926028	-0.376980366406501	2.5407447008582	-0.377658559501365	-0.377793379841948	-0.165587563686117	"S01"	2.5407447008582	"IS04"
"PRDM9"	"PRDM9"	-0.20880511055234	0.266403286153961	-0.328398973911225	2.52310957751551	-0.331709072168854	-0.252361542212676	-0.262689854034027	"S01"	2.52310957751551	"IS04"
"TRIML1"	"TRIML1"	-0.331437610822119	0.968819952086221	-0.391275507397188	2.4890842234003	-0.328896931623025	-0.390067704467249	-0.214532973853898	"S01"	2.4890842234003	"IS04"
"F9"	"F9"	-0.199749380227505	-0.202099291002335	-0.386736768351003	2.43086217770689	-0.294293003550177	-0.243947343075584	0.0479433868818998	"S01"	2.43086217770689	"IS04"
"LOC284067"	"LOC284067"	-0.28853064681388	0.388455377305379	-0.292524333773729	2.40160390820971	-0.157279859684562	-0.311073095545171	-0.304976469272092	"S01"	2.40160390820971	"IS04"
"GALR1"	"GALR1"	-0.245561622699986	0.232065623571582	-0.672499604505008	2.38403213872021	-0.127860675612719	-0.207951241279353	0.135026767515621	"S01"	2.38403213872021	"IS04"
"WDR40B"	"WDR40B"	0.0948344121958427	-0.204869922990307	-0.676772993417719	2.36130276667357	-0.226811720410764	-0.130362830288294	0.0414481252174549	"S01"	2.36130276667357	"IS04"
"C11orf36"	"C11orf36"	-0.27720144755204	0.262380293809298	-0.138290162760645	2.29021687900439	-0.200676524810498	-0.338146011958353	-0.346087191794265	"S01"	2.29021687900439	"IS04"
"LYZL1"	"LYZL1"	-0.228320085831835	0.81130586789099	-0.205027006034566	2.17899974553116	-0.322448767907496	-0.379333750215269	-0.348413014924997	"S01"	2.17899974553116	"IS04"
"PRMT8"	"PRMT8"	-0.305967842597194	1.19932674726407	-0.379056215956036	2.12688693835614	-0.361722458638671	-0.389948103155308	-0.142045900273544	"S01"	2.12688693835614	"IS04"
"LOC348021"	"LOC348021"	-0.0144163646624059	-0.214855742936234	-0.242040255025499	2.10997724173918	-0.318088876130818	-0.105459648765409	-0.29703297449932	"S01"	2.10997724173918	"IS04"
