"NK.cells_S03"	"Monocytes.and.Macrophages_S06"	"Dendritic.cells_S08"	"Mast.cells_S05"	"PMNs_S03"	"Fibroblasts_S03"	"Endothelial.cells_S02"	"Epithelial.cells_S03"	"Monocytes.and.Macrophages_S07"	"Dendritic.cells_S07"	"Fibroblasts_S08"	"Epithelial.cells_S01"	"CD8.T.cells_S02"	"Monocytes.and.Macrophages_S04"	"Dendritic.cells_S02"	"Mast.cells_S06"	"Dendritic.cells_S04"	"Fibroblasts_S01"	"Endothelial.cells_S05"	"B.cells_S02"	"PCs_S03"	"NK.cells_S05"	"Fibroblasts_S06"	"B.cells_S03"	"CD4.T.cells_S04"	"Monocytes.and.Macrophages_S05"	"Dendritic.cells_S05"	"Mast.cells_S01"	"PMNs_S02"	"Fibroblasts_S02"	"Endothelial.cells_S01"	"Epithelial.cells_S02"	"PCs_S06"	"CD4.T.cells_S06"	"Monocytes.and.Macrophages_S08"	"Fibroblasts_S04"	"B.cells_S04"	"CD4.T.cells_S07"	"Monocytes.and.Macrophages_S09"	"Mast.cells_S03"	"Fibroblasts_S05"	"Endothelial.cells_S04"	"Epithelial.cells_S06"	"B.cells_S05"	"PCs_S02"	"CD8.T.cells_S03"	"CD4.T.cells_S01"	"NK.cells_S01"	"Monocytes.and.Macrophages_S03"	"Dendritic.cells_S03"	"Epithelial.cells_S04"	"B.cells_S01"	"PCs_S01"	"CD8.T.cells_S01"	"CD4.T.cells_S02"	"Monocytes.and.Macrophages_S01"	"Dendritic.cells_S01"	"Mast.cells_S04"
"PCs_S03"	0	0	0	0	0	0	0	0	0.0424528301886792	0	0	0	0	0	0	0	0.0426356589147287	0	0	0.188405797101449	1	0.159217877094972	0.280323450134771	0	0	0.032967032967033	0	0	0	0	0	0	0	0.0522388059701493	0.0462686567164179	0	0	0	0.0527472527472527	0.08984375	0	0.114314115308151	0.12962962962963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"NK.cells_S05"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0355987055016181	0	0	0.124629080118694	0.159217877094972	1	0.223255813953488	0	0	0	0	0	0	0	0	0	0	0.0494880546075085	0.0651558073654391	0	0.0709134615384615	0.0499075785582255	0.0838445807770961	0.108262108262108	0.0543615676359039	0.137864077669903	0.119341563786008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Fibroblasts_S06"	0	0	0	0	0	0	0	0	0.0533333333333333	0	0	0	0	0	0	0	0.0354223433242507	0	0.0526315789473684	0.176943699731903	0.280323450134771	0.223255813953488	1	0	0	0	0	0	0	0	0	0	0	0.0546875	0.0518134715025907	0	0.053156146179402	0	0.104868913857678	0.144589552238806	0	0.198443579766537	0.219978746014878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"B.cells_S03"	0.177722152690864	0.0530679933665008	0	0	0	0.0513157894736842	0.0466216216216216	0.0770642201834862	0	0	0	0	0.0660377358490566	0.076797385620915	0.0387596899224806	0.0645161290322581	0.0344827586206897	0.0297619047619048	0	0	0	0	0	1	0.262658227848101	0.248571428571429	0.2710027100271	0.27536231884058	0.162442396313364	0.298405466970387	0.26	0.201492537313433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CD4.T.cells_S04"	0.12962962962963	0	0	0	0	0	0	0	0	0	0	0	0.0428571428571429	0	0	0	0.0340425531914894	0	0	0	0	0	0	0.262658227848101	1	0.346153846153846	0.354609929078014	0.26	0.149625935162095	0.30188679245283	0.259842519685039	0.221491228070175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Monocytes.and.Macrophages_S05"	0.158441558441558	0	0	0	0	0	0	0.0484622553588071	0	0	0	0	0	0	0	0	0.03690036900369	0.027681660899654	0.0361757105943152	0	0.032967032967033	0	0	0.248571428571429	0.346153846153846	1	0.395348837209302	0.323204419889503	0.182266009852217	0.339331619537275	0.272727272727273	0.211812627291242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dendritic.cells_S05"	0.183098591549296	0	0	0	0	0	0	0.0527752502274795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2710027100271	0.354609929078014	0.395348837209302	1	0.348284960422164	0.198067632850242	0.365432098765432	0.325301204819277	0.264112903225806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Mast.cells_S01"	0.180072028811525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.047887323943662	0.045822102425876	0.0535331905781585	0	0	0	0	0.27536231884058	0.26	0.323204419889503	0.348284960422164	1	0.219257540603248	0.485436893203884	0.460431654676259	0.294339622641509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0517799352750809	0	0.0510585305105853	0	0	0	0
"PMNs_S02"	0.211920529801325	0	0	0	0	0	0	0	0	0	0	0	0.045016077170418	0	0	0.0599078341013825	0.02647412755716	0.0296208530805687	0	0	0	0	0	0.162442396313364	0.149625935162095	0.182266009852217	0.198067632850242	0.219257540603248	1	0.235028248587571	0.234428086070215	0.269858541893362	0	0	0	0	0.0828897338403042	0.0804710500490677	0	0	0.0988745980707395	0	0	0	0	0	0	0	0	0	0	0.115708812260536	0.0926229508196721	0.118143459915612	0.124200913242009	0.10752688172043	0.0873087308730873	0.122026093630084
"Fibroblasts_S02"	0.227544910179641	0	0	0	0	0	0	0.0642978003384095	0	0	0	0	0.0387596899224806	0	0	0	0	0	0	0	0	0	0	0.298405466970387	0.30188679245283	0.339331619537275	0.365432098765432	0.485436893203884	0.235028248587571	1	0.44988864142539	0.350649350649351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.071654373024236	0	0.0778588807785888	0.0804911323328786	0.0660522273425499	0.0563186813186813	0
"Endothelial.cells_S01"	0.219570405727924	0	0	0	0	0	0	0.0590717299578059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26	0.259842519685039	0.272727272727273	0.325301204819277	0.460431654676259	0.234428086070215	0.44988864142539	1	0.303956834532374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.058455114822547	0	0.0549581839904421	0.0619111709286676	0.0453857791225416	0	0
"Epithelial.cells_S02"	0.191973969631236	0	0	0	0	0	0	0	0	0	0	0	0.0427350427350427	0	0.0351201478743068	0	0.0252100840336134	0.0306748466257669	0	0	0	0	0	0.201492537313433	0.221491228070175	0.211812627291242	0.264112903225806	0.294339622641509	0.269858541893362	0.350649350649351	0.303956834532374	1	0	0	0	0	0	0.0544412607449857	0	0	0	0	0	0	0	0	0	0	0	0	0	0.123583934088568	0.0900900900900901	0.117578579743888	0.150066401062417	0.129411764705882	0.09765625	0.10251256281407
"PCs_S06"	0	0	0	0.05759682224429	0	0	0.0615183246073298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.115015974440895	0.17771509167842	0.129453681710214	0.0907054871220605	0	0	0.0974539069359087	0	0.0999123575810692	0.1163012392755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CD4.T.cells_S06"	0	0	0	0.0802292263610315	0.0667390124796527	0	0.103989535644212	0.0709624796084829	0	0	0	0	0	0.05	0	0	0	0	0	0.037328094302554	0.0522388059701493	0.0494880546075085	0.0546875	0	0	0	0	0	0	0	0	0	0.115015974440895	1	0.229195088676671	0.30719794344473	0.172491544532131	0	0	0.168738898756661	0	0.122344944774851	0.130712979890311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Monocytes.and.Macrophages_S08"	0	0	0	0.0819112627986348	0	0	0.109422492401216	0	0	0	0	0	0	0	0	0	0	0	0	0.0358255451713396	0.0462686567164179	0.0651558073654391	0.0518134715025907	0	0	0	0	0	0	0	0	0	0.17771509167842	0.229195088676671	1	0.257080610021787	0.136100386100386	0	0	0.158692185007974	0	0.144427001569859	0.203152364273205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Fibroblasts_S04"	0	0	0	0.0863422291993721	0.099603567888999	0	0.156045265038714	0	0	0	0	0	0	0.0659229208924949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.129453681710214	0.30719794344473	0.257080610021787	1	0.170135746606335	0.0601092896174863	0	0.236406619385343	0	0.166790214974055	0.150579150579151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"B.cells_S04"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0709134615384615	0.053156146179402	0	0	0	0	0	0.0828897338403042	0	0	0	0.0907054871220605	0.172491544532131	0.136100386100386	0.170135746606335	1	0.187799043062201	0.161800486618005	0.246671887235709	0.210576923076923	0.265451664025357	0.167438271604938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CD4.T.cells_S07"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0499075785582255	0	0	0	0	0	0	0.0804710500490677	0	0	0.0544412607449857	0	0	0	0.0601092896174863	0.187799043062201	1	0.213051823416507	0.154686078252957	0.207741935483871	0.180722891566265	0.0947562097516099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Monocytes.and.Macrophages_S09"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0623501199040767	0.0527472527472527	0.0838445807770961	0.104868913857678	0	0	0	0	0	0	0	0	0	0	0	0	0	0.161800486618005	0.213051823416507	1	0.149393090569561	0.213513513513514	0.195357833655706	0.100286532951289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Mast.cells_S03"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0671936758893281	0.08984375	0.108262108262108	0.144589552238806	0	0	0	0	0	0	0	0	0	0.0974539069359087	0.168738898756661	0.158692185007974	0.236406619385343	0.246671887235709	0.154686078252957	0.149393090569561	1	0.196414653156664	0.47248427672956	0.319321533923304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Fibroblasts_S05"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0543615676359039	0	0	0	0	0	0	0.0988745980707395	0	0	0	0	0	0	0	0.210576923076923	0.207741935483871	0.213513513513514	0.196414653156664	1	0.255093724531377	0.10806697108067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Endothelial.cells_S04"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0828343313373253	0.114314115308151	0.137864077669903	0.198443579766537	0	0	0	0	0	0	0	0	0	0.0999123575810692	0.122344944774851	0.144427001569859	0.166790214974055	0.265451664025357	0.180722891566265	0.195357833655706	0.47248427672956	0.255093724531377	1	0.340807174887892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Epithelial.cells_S06"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0916030534351145	0.12962962962963	0.119341563786008	0.219978746014878	0	0	0	0	0	0	0	0	0	0.1163012392755	0.130712979890311	0.203152364273205	0.150579150579151	0.167438271604938	0.0947562097516099	0.100286532951289	0.319321533923304	0.10806697108067	0.340807174887892	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"B.cells_S05"	0.114571092831962	0.0728253540121376	0.0709219858156028	0.163679808841099	0.277191372189078	0.128617363344051	0.22314453125	0.150107991360691	0	0	0	0.0919471153846154	0.070722433460076	0.125435540069686	0.0642633228840125	0.101600556715379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.186828919112384	0.201561391057488	0.205776173285199	0.238566131025958	0.236768802228412	0.134441087613293	0.189054726368159	0	0.0901234567901235	0	0	0	0	0.138138138138138
"PCs_S02"	0	0	0	0	0.189866045428072	0	0.106583072100313	0	0	0	0	0	0.117056856187291	0.121794871794872	0.127737226277372	0.130026809651475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.186828919112384	1	0.197236180904523	0.302521008403361	0.244094488188976	0.285359801488834	0.186915887850467	0.262931034482759	0.0890995260663507	0	0.105320304017372	0.0832356389214537	0.0658064516129032	0.0855421686746988	0.191950464396285
"CD8.T.cells_S03"	0	0	0	0	0.164145658263305	0	0.0810810810810811	0	0.0679886685552408	0.0470756062767475	0.106427818756586	0	0	0	0	0.0988735919899875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.201561391057488	0.197236180904523	1	0.34965034965035	0.278543307086614	0.396349413298566	0.289644012944984	0.303455723542117	0.0666666666666667	0.0904419321685509	0	0	0	0	0.0987996306555863
"CD4.T.cells_S01"	0	0	0	0	0.20035046728972	0	0.076969696969697	0	0	0	0.078781512605042	0	0	0.0610047846889952	0.0344827586206897	0.0975609756097561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.205776173285199	0.302521008403361	0.34965034965035	1	0.357446808510638	0.478138222849083	0.339100346020761	0.36878612716763	0.114203454894434	0.140659340659341	0.079664570230608	0	0	0.113414634146341	0.194472876151484
"NK.cells_S01"	0	0	0	0	0.258693361433087	0	0	0	0	0	0	0	0	0	0	0.0789473684210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.238566131025958	0.244094488188976	0.278543307086614	0.357446808510638	1	0.361576354679803	0.209606986899563	0.414725069897484	0.22140522875817	0.222816399286988	0.200704225352113	0.174838112858464	0.16039603960396	0.221351616062684	0.291738382099828
"Monocytes.and.Macrophages_S03"	0	0	0	0	0.212002243409983	0	0.0922273781902552	0	0	0	0	0	0	0	0	0.0630530973451327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.236768802228412	0.285359801488834	0.396349413298566	0.478138222849083	0.361576354679803	1	0.317365269461078	0.387096774193548	0.116299559471366	0.141716566866267	0.0965250965250965	0	0	0.112445414847162	0.200943396226415
"Dendritic.cells_S03"	0	0	0	0	0.115248226950355	0	0	0	0.0464684014869888	0	0.0644361833952912	0	0	0	0	0.0700934579439252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.134441087613293	0.186915887850467	0.289644012944984	0.339100346020761	0.209606986899563	0.317365269461078	1	0.245098039215686	0.0575079872204473	0.0780669144981413	0	0	0	0	0.0835140997830803
"Epithelial.cells_S04"	0	0	0	0	0.245661605206074	0	0	0	0.0599128540305011	0	0.0818414322250639	0	0.0525114155251142	0.071157495256167	0.0480769230769231	0.0904572564612326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.189054726368159	0.262931034482759	0.303455723542117	0.36878612716763	0.414725069897484	0.387096774193548	0.245098039215686	1	0.197098976109215	0.206409048067861	0.171270718232044	0.129434324065197	0.122661122661123	0.204379562043796	0.256913470115968
"B.cells_S01"	0.120258272800646	0	0	0	0.178849144634526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0517799352750809	0.115708812260536	0.071654373024236	0.058455114822547	0.123583934088568	0	0	0	0	0	0	0	0	0	0	0	0	0.0890995260663507	0.0666666666666667	0.114203454894434	0.22140522875817	0.116299559471366	0.0575079872204473	0.197098976109215	1	0.412359550561798	0.479857819905213	0.438356164383562	0.394459102902375	0.447570332480818	0.353515625
