"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"IS12"	"IS13"	"IS14"	"State"	"MaxFC"	"InitialState"
"GFI1"	"GFI1"	0.0699064243662902	-0.0484347116067947	-0.728717944903541	-0.119611302705268	1.40719439827944	1.21889496723175	-0.105969829904714	-0.0519537337021967	0.0751981419660158	0.204996797272388	-0.142107681120864	-0.16587850983129	-0.483614050601585	0.099165570002302	"S01"	1.40719439827944	"IS05"
"CD86"	"CD86"	-0.109442036969159	0.011693686594934	-0.70190305210328	0.169718600026254	1.36692169673502	0.81464995190615	-0.2658828629069	-0.382261944009498	-0.284690200871658	0.759672097335686	-0.374556821852913	-0.0726362789528427	-0.235613179065723	0.142504412816681	"S01"	1.36692169673502	"IS05"
"IL2RA"	"IL2RA"	0.00128798517192471	0.0934744622905279	-0.913177492486376	-0.238184905318625	1.36120322347251	0.908324082426228	-0.190320215982811	-0.122687768310386	-0.204643984550609	0.940701617099279	-0.279857961339901	0.1178448610646	-0.376084670845824	0.412262211577726	"S01"	1.36120322347251	"IS05"
"CD80"	"CD80"	0.0802752427982098	0.01460452183099	-0.794481634349357	-0.114101450159239	1.26958101992853	0.691404692399118	-0.209076789984553	-0.238548855753006	-0.0712032104051129	0.892746280748983	-0.232147412647011	0.0617063937673669	-0.343236615919342	0.185904461282047	"S01"	1.26958101992853	"IS05"
"JAK2"	"JAK2"	0.45190466172512	-0.1404435337015	-0.676962821291402	0.772036011638212	1.1747402071282	0.721706823812163	-0.364134539312139	-0.34324225444864	0.150800037020723	0.273262133498109	0.182690769398719	-0.118438010827522	-0.944059309129955	0.607717053369299	"S01"	1.1747402071282	"IS05"
"LYZ"	"LYZ"	-0.116867378271309	-0.0455199205489055	-0.701772821746295	0.284944423773	1.17338798709331	0.808687348107625	-0.121340472004196	-0.242373547795189	-0.156759242700671	0.236411760723613	0.538233409962484	-0.0639620275273919	-0.312101536574736	-0.0242166851768831	"S01"	1.17338798709331	"IS05"
"CCR7"	"CCR7"	-0.189235547105519	-0.10447919217386	-0.716210714685784	-0.124058996964004	0.604739607448405	2.26521848978782	-0.204014004388257	-0.138899681303537	-0.118538995673145	0.0490284717556229	-0.111866245985718	-0.235898194914737	-0.241871459895983	0.193423111756468	"S02"	2.26521848978782	"IS06"
"CCL19"	"CCL19"	-0.32577867365031	-0.0751675065996417	-0.804940966546262	0.13661527612065	0.481704275248702	2.16610139745277	-0.246244134435946	-0.157531684470881	-0.122904545129365	0.0803904275258836	-0.203196063111955	-0.283637121322671	0.00961881876751251	0.506908891370303	"S02"	2.16610139745277	"IS06"
"LY9"	"LY9"	-0.219865153605802	-0.0295816777389629	-0.934562945630588	0.0779946466080519	1.20534856779968	2.09667001381398	-0.115292735243464	-0.163085790235104	-0.00845327906799026	0.0309645520747123	-0.0846738559771483	-0.270747310210144	-0.272641141899562	0.0226929370326349	"S02"	2.09667001381398	"IS06"
"ZNF831"	"ZNF831"	-0.06911758836947	-0.0358497112855845	-1.05384168189778	0.416730226108795	1.27918030046457	2.09127166281228	-0.159482199248301	-0.224888165357692	0.0382150593392602	0.179613731979767	-0.0948697104580013	-0.269385840292527	-0.498367040617218	0.101991493313681	"S02"	2.09127166281228	"IS06"
