"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"IS12"	"IS13"	"IS14"
"PAPPA__pos"	26.0170055793316	2.82817124873027	2.22044604925031e-16	36.0347964857399	2.22044604925031e-16	2.22044604925031e-16	0.940771568445503	2.22044604925031e-16	36.2390630356931	204.401228934992	10.8580726837238	27.443934199921	2.22044604925031e-16	10.3543079116661
"VNN2__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	26.8765470061666	105.954055457957	69.3075555961752	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	18.3900484015901	96.8209078462446	5.29598409693953	2.22044604925031e-16	2.22044604925031e-16
"LTB__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	14.3337830971954	184.615484480032	2.81567856913082e-07	5.17571459342392	2.22044604925031e-16	7.10609512027586	2.22044604925031e-16	2.22044604925031e-16	28.2904205151466	37.0855241890207
"JAK2__pos"	70.8546747931999	2.22044604925031e-16	2.22044604925031e-16	73.7388215936501	148.479758301359	0.0132608532028332	2.22044604925031e-16	2.22044604925031e-16	2.43583341173898	3.6136480238515	8.51723689421707	2.22044604925031e-16	2.22044604925031e-16	0.383430747450134
"C8G__pos"	2.22044604925031e-16	0.0278511475617472	2.22044604925031e-16	2.22044604925031e-16	16.936774498319	2.22044604925031e-16	55.1612122310523	199.523445877843	1.97149316016057e-07	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	8.05278491650852	74.7795073532746
"ITPKA__pos"	30.2806160938954	2.22044604925031e-16	4.22138119725772	2.22044604925031e-16	1.10790617810759	2.03525452520783	59.9297303664376	157.578221304195	2.22044604925031e-16	29.147033279989	47.9180979937881	23.499611692696	0.270935078740931	18.6429297465149
"BEND3__pos"	187.714400982212	5.11947291717419	2.22044604925031e-16	2.22044604925031e-16	0.0186374198887037	2.22044604925031e-16	2.35016910547144e-09	83.586418474284	2.22044604925031e-16	8.44887435398229	6.72588241329565	18.7578111278926	2.22044604925031e-16	0.926957045428063
"FAM208B__pos"	228.643975267652	3.77878546434528	2.22044604925031e-16	2.22044604925031e-16	13.5457817853103	1.74543931615598e-08	2.22044604925031e-16	24.0424795799533	19.6965719167315	24.0415548908186	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"CREB3L3__pos"	2.22044604925031e-16	2.16526242754804	2.22044604925031e-16	2.22044604925031e-16	9.55136323582188	17.1606455156269	220.374320923159	2.22044604925031e-16	2.22044604925031e-16	1.61635140338319	22.354345908897	0.000450533912482183	2.22044604925031e-16	2.22044604925031e-16
"CCL25__pos"	2.22044604925031e-16	3.09653763822473e-16	2.22044604925031e-16	2.22044604925031e-16	102.685977480626	2.22044604925031e-16	118.050255620717	63.2365144522323	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	3.36435199962264	18.2966853551044
"NCR1__pos"	1.97818196772685	11.9107656834408	2.22044604925031e-16	48.1610396526796	205.726650170035	10.6419848511826	1.60760983526187	7.45259381395133	15.7960386107743	2.22044604925031e-16	9.52417752958425	2.22044604925031e-16	2.22044604925031e-16	9.74426629789103
"KIAA1755__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	32.1411978529011	2.22044604925031e-16	40.3724247079328	2.22044604925031e-16	2.22044604925031e-16	3.48310762401875	220.873184883639	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	79.838742639652
"PRR26__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	76.7496230217548	2.22044604925031e-16	2.22044604925031e-16	52.0215205505268	2.22044604925031e-16	11.5853258881966	2.22044604925031e-16	167.355229135724	2.22044604925031e-16	2.22044604925031e-16	72.7548566958171
"MSRA__pos"	29.0921881417528	2.22044604925031e-16	12.8559131058547	112.034116447126	22.4238901111774	5.02555397587998	24.0472841105313	0.000188653880795829	2.22044604925031e-16	11.3517243095501	70.1316334869211	9.96226211044679	27.0717071062553	31.6310284437768
"MTMR9__pos"	157.909722490798	4.88054194259369e-08	2.22044604925031e-16	66.1203851487443	2.22044604925031e-16	3.25564252294234	2.22044604925031e-16	2.22044604925031e-16	19.2303308581031	61.7380884952907	6.13500138104505e-05	18.0114861630023	2.22044604925031e-16	4.99869756731808
"TMC2__pos"	8.96891232273867	25.7188621449375	2.22044604925031e-16	56.6499751742306	2.22044604925031e-16	0.137871227319034	25.5276667452078	2.22044604925031e-16	217.999921807634	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"PTGER1__pos"	2.22044604925031e-16	0.0570301370366048	2.22044604925031e-16	37.3458259902431	2.22044604925031e-16	10.2927980285234	2.22044604925031e-16	190.236417129271	2.22044604925031e-16	52.3924664508319	2.22044604925031e-16	2.22044604925031e-16	17.3303799262339	2.22044604925031e-16
"GLYCTK__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	26.6716757601592	8.41268304754257	14.3045624056267	127.800509122168	85.5763483444054	7.26924325319195	2.22044604925031e-16	95.4506898245107	2.22044604925031e-16	11.557340661675	2.22044604925031e-16
"NR2F6__pos"	2.22044604925031e-16	2.22044604925031e-16	0.0101663783929376	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	302.526540006781	2.22044604925031e-16	2.22044604925031e-16	37.2015777339541	2.22044604925031e-16	12.4775988679033	2.22044604925031e-16
"PINX1__pos"	79.0415391490637	3.43814954389787	13.7949251864266	15.8653440477734	18.9113365589654	0.274113313548864	2.20444644772962e-13	45.349206229047	1.05024832202269	12.6688496257459	2.22044604925031e-16	52.8409187542855	8.86364513871752	44.696582892325
"ERI1__pos"	134.862002391748	5.5367029653448	2.22044604925031e-16	2.12241798301787	29.6295188854215	2.22044604925031e-16	2.22044604925031e-16	28.4683516991374	2.1578361004337	36.2187556773206	16.4235081009051	41.0516987192608	2.22044604925031e-16	8.88962836705266
"TAGAP__pos"	5.5640441500529	2.22044604925031e-16	2.22044604925031e-16	47.5143989570038	105.933232876783	114.764326617346	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	47.1908101268529	0.232406875731847	3.45687260375094e-10	2.22044604925031e-16	2.22044604925031e-16
"IL7R__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	44.9609396498541	9.72618274909001	139.670570415204	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	105.523160706056	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"MED15__pos"	44.7401321197621	2.22044604925031e-16	2.36518822643328e-08	2.22044604925031e-16	19.1615252307878	4.26363991944759	2.22044604925031e-16	147.334306893548	13.0475953280989	97.0305530834964	6.85518454202725e-15	7.62212791937453	2.22044604925031e-16	1.54653831283978e-06
"SPATA6L__pos"	5.35727927662548	2.22044604925031e-16	23.9948493403066	20.7519435672009	11.9548419361906	2.22044604925031e-16	2.22044604925031e-16	31.1213627445322	116.12994275327	2.22044604925031e-16	106.670463836001	4.09254831366349	16.7525317784108	2.22044604925031e-16
"ZNF831__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	12.3538291119141	60.1359117799654	220.947652469789	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"CTD.2370N5.3__pos"	36.1692163856927	2.22044604925031e-16	2.22044604925031e-16	30.1750775453956	44.7780455632064	82.7456759741967	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	116.494158413936	8.06946385778476	4.48244720564735	2.22044604925031e-16	2.22044604925031e-16
"IL2RB__pos"	3.36194973907919	2.22044604925031e-16	2.22044604925031e-16	1.95415638797357	218.201477165821	53.1880302918224	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	22.109140496151	4.66223220442116e-09	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"CTLA4__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	197.33485335521	72.7444351966916	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	44.2034172023189	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"CD2__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	185.004958853412	120.587730064139	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"KRIT1__pos"	232.950525351201	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	36.5118000803371	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"CCDC65__pos"	33.0847747704198	2.22044604925031e-16	3.98805015063793	33.2522539592436	0.553710263530897	17.6074200481311	2.22044604925031e-16	23.2003376344007	163.387892756553	6.2250630207391	27.9647625720674	2.22044604925031e-16	2.22044604925031e-16	13.6355138618321
"OTC__pos"	2.22044604925031e-16	3.43983712599139e-06	2.22044604925031e-16	210.484149928789	2.22044604925031e-16	2.22044604925031e-16	137.694802600206	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	7.76629067820945e-05	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"PKP4__pos"	179.833200319749	2.22044604925031e-16	1.1604096124523e-09	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	55.7364643780421	34.27881522285	2.22044604925031e-16	23.3527012117634	2.22044604925031e-16	2.22044604925031e-16	4.72535420936538
"CTH__pos"	113.590185808586	1.35691923138017	5.68637171256417	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	29.5154506478637	2.05616048429425	16.3437508262259	2.22044604925031e-16	48.8173504961933	29.3072378052207	2.22044604925031e-16	2.22044604925031e-16
"PIPOX__pos"	3.97019798851244	2.22044604925031e-16	2.22044604925031e-16	2.46218556826466e-10	7.12316339834023	2.22044604925031e-16	283.827092547155	2.22044604925031e-16	0.563356632811745	6.7817091477664	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	22.8929057793446
