"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"State"	"MaxFC"	"InitialState"
"PTCRA"	"PTCRA"	0.821940273141676	1.76712986944795	-0.18150592677204	-0.987062472708746	0.128652600869574	-0.677417116332499	-1.2229588731263	-0.344560362365962	0.785009744805778	-0.199051989750647	"S01"	1.76712986944795	"IS02"
"CD300C"	"CD300C"	0.844831365775291	1.76373208512954	-0.467939536600875	-0.95273068238614	-0.499708593994436	-0.117675164787081	-1.14557947797921	-0.504252741410174	1.14262657968871	-0.119110893884212	"S01"	1.76373208512954	"IS02"
"TRPV2"	"TRPV2"	1.07716379612922	1.75436377718223	-0.515185043769373	-0.878538450534078	-0.287443371255124	-0.0991777767863	-1.19719418951622	-0.613319253220436	0.789534514589392	-0.110721911380576	"S01"	1.75436377718223	"IS02"
"NCF2"	"NCF2"	0.619798800875985	1.73803783283495	-0.258688129154291	-0.905351411639971	-0.500331802474588	0.271652378564029	-1.17253349272682	-0.517409562763561	0.957455086525742	-0.0567210804122521	"S01"	1.73803783283495	"IS02"
"PPARG"	"PPARG"	0.0258968555793601	1.73472569353681	0.0104312507975636	-0.530366612095024	-0.528241258459098	-0.646309507411332	-0.508477153937148	-0.449830565292565	0.267149188914187	-0.0962067001165048	"S01"	1.73472569353681	"IS02"
"SLC11A1"	"SLC11A1"	0.477870030709754	1.73333549175874	-0.515880795959078	-0.442922077285375	0.000811978397455471	0.466376859564782	-1.02436985919048	-0.811730307400376	0.387816763782639	-0.289468729589763	"S01"	1.73333549175874	"IS02"
"CD33"	"CD33"	0.622750175565619	1.71770028278544	-0.597261286393211	-1.04233418393137	-0.441328469730921	-0.270984121710991	-1.2215129443459	-0.224925243543125	1.15319412733193	0.376986517762032	"S01"	1.71770028278544	"IS02"
"TYROBP"	"TYROBP"	0.901600301978494	1.70991333324097	-0.477760649690368	-1.03148754455286	-0.543951174069452	-0.320014997125912	-1.18429091152188	0.00552241160107629	1.18035834898501	-0.294018030402236	"S01"	1.70991333324097	"IS02"
"FGR"	"FGR"	1.17609576518683	1.68621420776713	-0.532727026686729	-0.741544940668742	-0.262801197678709	-0.227566595014706	-1.20938459555649	-0.711104035652557	0.745235141304996	-0.105202643151712	"S01"	1.68621420776713	"IS02"
"GMFG"	"GMFG"	0.823562248386364	1.67738212435029	-0.927907879490583	-0.968945724109637	-0.540360206132043	-0.397478058912828	-1.12015662531072	0.0854638996742919	0.915462528928058	0.306618396267086	"S01"	1.67738212435029	"IS02"
"AMICA1"	"AMICA1"	0.788967480151949	1.6749793520081	-0.586395098009376	-1.01862521507543	-0.058923996647973	-0.314667297458042	-1.36388374432412	-0.472575613705091	0.763550546600663	0.764611220567883	"S01"	1.6749793520081	"IS02"
"LST1"	"LST1"	0.465283672403898	1.66248619619792	-0.858727573996579	-0.917221376640009	-0.65303099103953	-0.227436565675746	-0.995575962383386	0.000821209671279086	1.15691401839932	0.25881330533583	"S01"	1.66248619619792	"IS02"
"SLC7A7"	"SLC7A7"	0.95128563073577	1.66147922562571	-0.53005159698292	-0.920541202553039	-0.767688581139918	-0.623134996105006	-0.653253983313824	-0.762727023917457	1.00072503830841	0.0112744436789497	"S01"	1.66147922562571	"IS02"
"C10orf128"	"C10orf128"	0.667380067771918	1.6545315322836	-0.435140312657036	-1.09453442511614	-0.609328300446359	-0.544777225108327	-1.15744753496173	-0.100368763612723	0.85263457879064	0.723776018306637	"S01"	1.6545315322836	"IS02"
"VSIG4"	"VSIG4"	0.567593285825118	1.6519896423538	-0.370583743289301	-1.23216556010169	-0.295562793346121	-0.0931835476230236	-1.21380536219604	0.079486030937433	1.21969617459573	0.0152553995375795	"S01"	1.6519896423538	"IS02"
