"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"IS12"	"IS13"
"BYSL__pos"	80.3072775640359	2.22044604925031e-16	2.22044604925031e-16	93.4079800575521	5.47078783373358	2.22044604925031e-16	24.5598853567638	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	0.762477755264556	2.22044604925031e-16	5.74981440538565e-11
"VMO1__pos"	8.55979953473158	2.22044604925031e-16	6.97365285915976	2.22044604925031e-16	19.0041683938638	2.22044604925031e-16	57.2840123567159	30.0089703728753	18.1969979390243	2.22044604925031e-16	46.6726394368164	0.560852168281583	2.22044604925031e-16
"LHFP__pos"	2.22044604925031e-16	12.0216990704729	73.463646191936	2.22044604925031e-16	2.22044604925031e-16	124.837731962057	2.22044604925031e-16	2.22044604925031e-16	1.34836198557258	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"SLC11A1__pos"	16.0009665910373	2.22044604925031e-16	1.64473588497872	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	4.6082004113612	48.6746675428474	10.201224331257	2.22044604925031e-16	118.513843880083	2.22044604925031e-16	2.22044604925031e-16
"UTP18__pos"	11.7593391833542	1.1537074276756	2.22044604925031e-16	105.514407721099	12.415698136148	2.22044604925031e-16	23.9935777960671	2.22044604925031e-16	1.62964979500683	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	14.6556076248591
"HLA.DPA1__pos"	2.22044604925031e-16	49.298642633875	5.15249416450142	2.22044604925031e-16	91.3978355121075	5.07089232855586	2.22044604925031e-16	41.3457906605499	2.22044604925031e-16	2.22044604925031e-16	2.26312863900732	3.43578286936048	1.16276861165958
"URI1__pos"	34.7311603034976	5.4553476016717	2.22044604925031e-16	128.440106814194	2.22044604925031e-16	1.03046801930152	2.22044604925031e-16	2.22044604925031e-16	9.17627735357311	0.563838176575692	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"SPN__pos"	2.22044604925031e-16	88.4770257468194	2.22044604925031e-16	2.22044604925031e-16	45.8320126991093	2.78704975867848	1.8740129060845e-15	54.1743742211265	7.37494604725874	2.22044604925031e-16	4.2162278885017	2.22044604925031e-16	2.22044604925031e-16
"IL13RA2__pos"	48.050152440851	4.43725975569991	33.9285256410553	33.1674343201122	2.22044604925031e-16	36.5217181175573	12.3164078300686	2.22044604925031e-16	23.3827549249377	0.00425811569354305	21.0834508092125	11.0036203561813	2.22044604925031e-16
"RETN__pos"	21.8152055578153	2.22044604925031e-16	23.0520360846919	2.22044604925031e-16	2.22044604925031e-16	0.363930104286578	33.6344888717925	61.6607515715609	2.22044604925031e-16	2.22044604925031e-16	56.4174718791093	2.22044604925031e-16	2.22044604925031e-16
