"V1"	"TCGA.FD.A5C0.01A.11R.A28M.07"
"CAPN3"	"CAPN3"	-0.548812852778192
"HEATR5A"	"HEATR5A"	0.245517912339003
"CCL1"	"CCL1"	-0.334017797606178
"EMCN"	"EMCN"	-0.141406987915183
"PGM1"	"PGM1"	1.95259570062268
"OS9"	"OS9"	0.0269029999740631
"AVIL"	"AVIL"	-0.420841823196229
"TP53I13"	"TP53I13"	-0.561799565844822
"TBC1D26"	"TBC1D26"	-0.430621135697238
"APLN"	"APLN"	-0.574510388556725
"FDX1"	"FDX1"	0.909680596661899
"CYTIP"	"CYTIP"	0.068895422464139
"AF165138.7"	"AF165138.7"	-0.387332637825085
"FAM26E"	"FAM26E"	-0.239881912055044
"GNGT2"	"GNGT2"	-0.540633071257581
"ATG5"	"ATG5"	0.192062570333355
"MED29"	"MED29"	1.68889478616008
"LCNL1"	"LCNL1"	-0.199402532938272
"DMGDH"	"DMGDH"	-0.205600920286729
"GIMAP1"	"GIMAP1"	-0.535233922105772
"PAK1"	"PAK1"	-0.441917670100104
"PCOLCE2"	"PCOLCE2"	-0.28192482358026
"P3H1"	"P3H1"	0.129548239409366
"VRK2"	"VRK2"	0.365868517969057
"ARHGAP15"	"ARHGAP15"	0.157782649064
"SLIT2"	"SLIT2"	-0.189686044763326
"PTPN22"	"PTPN22"	0.183738530860443
"PFKM"	"PFKM"	-0.247169233977194
"NRGN"	"NRGN"	-0.261429802949758
"NCF1"	"NCF1"	-0.251253801943554
"HLA.DQB2"	"HLA.DQB2"	-0.295213618843308
"IL12RB1"	"IL12RB1"	-0.478449384366612
"C2orf80"	"C2orf80"	-0.187923692631694
"SELPLG"	"SELPLG"	0.371430678892399
"ADGRE1"	"ADGRE1"	-0.303498169876495
"MED20"	"MED20"	0.794792795313855
"KCNE1"	"KCNE1"	-0.869194554932472
"FLI1"	"FLI1"	-0.736795074664448
"BIN2"	"BIN2"	-0.270075584034378
"EBI3"	"EBI3"	-0.357497305661886
"COL6A6"	"COL6A6"	0.492521513134482
"PTRH2"	"PTRH2"	-0.643742125728885
"RUNX2"	"RUNX2"	0.570454480185682
"MAP3K7CL"	"MAP3K7CL"	-0.143228937915596
"TNFRSF8"	"TNFRSF8"	-0.463674751761208
"SLAMF7"	"SLAMF7"	-0.452777718036426
"CEACAM21"	"CEACAM21"	-0.349575845790857
"LILRB1"	"LILRB1"	-0.582367950154583
"CD1B"	"CD1B"	0.388889918857062
"SCARB1"	"SCARB1"	-0.0175506694668304
"C3"	"C3"	-0.274798837618776
"TEKT3"	"TEKT3"	-0.0594827737715781
"AIF1"	"AIF1"	-0.381638052486231
"PQBP1"	"PQBP1"	0.351700639949323
"MARCH10"	"MARCH10"	-0.500619462853659
"PALMD"	"PALMD"	-0.631815721948133
"CH25H"	"CH25H"	0.313455291987737
"DTD2"	"DTD2"	-0.281475276001323
"SNX20"	"SNX20"	-0.237513759516749
"HIGD1B"	"HIGD1B"	-0.0507623831793678
"CCR1"	"CCR1"	0.607464899988963
"FKBP10"	"FKBP10"	-0.439444053923175
"CHI3L2"	"CHI3L2"	-0.223517205618413
"SCTR"	"SCTR"	-0.121862794781175
"CLLU1OS"	"CLLU1OS"	0.155999253720126
"C17orf104"	"C17orf104"	-0.628272400957727
"COL6A1"	"COL6A1"	0.159197957037029
"LDB2"	"LDB2"	-0.520000609105732
"METTL1"	"METTL1"	-0.617361703816695
"AGRP"	"AGRP"	2.10600680856841
"NCF4"	"NCF4"	1.73645885197814
"HPGDS"	"HPGDS"	0.47801793865109
"RCN3"	"RCN3"	-0.385149152340711
"RNASE6"	"RNASE6"	-0.299984297295898
"CD93"	"CD93"	-0.519452465011321
"MMP14"	"MMP14"	0.149481889992643
"NDUFC2"	"NDUFC2"	-0.313709757438314
"CFAP57"	"CFAP57"	-0.124876900837697
"LILRA4"	"LILRA4"	0.59662933632103
"CR1"	"CR1"	-0.0775372271463802
"SIRPB1"	"SIRPB1"	-0.442302939235949
"ABC7.42404400C24.1"	"ABC7.42404400C24.1"	-0.50880136104317
"CHI3L1"	"CHI3L1"	-0.160734986595605
"RGCC"	"RGCC"	-0.579725303040045
"OR2S2"	"OR2S2"	0
"ARHGAP25"	"ARHGAP25"	-0.52654506036014
"CMKLR1"	"CMKLR1"	-0.680039356429166
"PRAM1"	"PRAM1"	-0.362310565732606
"NTSR2"	"NTSR2"	-0.226523451035341
"HHIPL2"	"HHIPL2"	-0.498035895919668
"ADGRL4"	"ADGRL4"	-0.432672407085316
"TRIP13"	"TRIP13"	-0.467169039798906
"SSTR4"	"SSTR4"	-0.0969593471901291
"GLIPR1"	"GLIPR1"	-0.42900034734739
"CCL8"	"CCL8"	-0.425937964853633
"IL16"	"IL16"	-0.0647810810043271
"MEIKIN"	"MEIKIN"	0.47002238409507
"TNFSF12.TNFSF13"	"TNFSF12.TNFSF13"	-0.402766544407462
"TIFAB"	"TIFAB"	-0.249546988804177
"FNDC1"	"FNDC1"	-0.335842701898141
"HAVCR2"	"HAVCR2"	-0.579794859226363
"RSPH9"	"RSPH9"	-0.831082585378741
"GNG2"	"GNG2"	0.162847909694408
"GPR182"	"GPR182"	-0.199942717448786
"NYAP2"	"NYAP2"	-0.561792959840098
"MRPL21"	"MRPL21"	-0.533195885276117
"AEBP1"	"AEBP1"	-0.306749956766843
"RDH5"	"RDH5"	-0.165246499602384
"PIK3CG"	"PIK3CG"	0.949165681343288
"IFI30"	"IFI30"	-0.315939238449102
"LILRB2"	"LILRB2"	-0.402614770097558
"HEATR6"	"HEATR6"	-0.367915128705606
"GPAT4"	"GPAT4"	-0.877889938024312
"CD300A"	"CD300A"	-0.0440118362981259
"IFNA10"	"IFNA10"	-0.0483933918495827
"SPTA1"	"SPTA1"	-0.225084183967055
"EVI2A"	"EVI2A"	0.520759024186255
"SEMA4C"	"SEMA4C"	0.443522057830568
"ZFPM2"	"ZFPM2"	-0.0492447186539067
"BIRC7"	"BIRC7"	-0.203916801195317
"CLEC4D"	"CLEC4D"	0.504416057514804
"ENPP2"	"ENPP2"	-0.322493145452617
"TNFSF13B"	"TNFSF13B"	-0.897879836930175
"LILRB5"	"LILRB5"	0.267467921137305
"C11orf21"	"C11orf21"	-0.622126216621086
"RGS18"	"RGS18"	-0.699040420187861
"AP3M2"	"AP3M2"	-0.585637790096031
"SIGLEC10"	"SIGLEC10"	-0.697284430824414
"ZNF675"	"ZNF675"	0.220428068210724
"SPP1"	"SPP1"	-0.171192251065048
"TNFRSF9"	"TNFRSF9"	-0.559974049546636
"LILRA6"	"LILRA6"	-0.286569067906708
"TBC1D28"	"TBC1D28"	-0.05487542509423
"S1PR1"	"S1PR1"	-0.233032198249736
"BGN"	"BGN"	-0.45864906645944
"SLC6A1"	"SLC6A1"	-0.253059962523962
"CD80"	"CD80"	-0.501855252525922
"SIGLEC14"	"SIGLEC14"	-0.328893034794176
"GLDN"	"GLDN"	-0.451054455865901
"C4orf47"	"C4orf47"	-0.706823547535491
"HCST"	"HCST"	-0.269277122506654
"DNAJC5B"	"DNAJC5B"	-0.471517897082956
"FCRL6"	"FCRL6"	-0.641226808083712
"CEACAM4"	"CEACAM4"	-0.427969881105516
"FGD2"	"FGD2"	-0.433373900753786
"CAT"	"CAT"	-0.119197821037156
"CLEC4A"	"CLEC4A"	0.374596798340928
"ABCA3"	"ABCA3"	-0.0377667603087623
"CD4"	"CD4"	-0.0634417938166122
"C8orf46"	"C8orf46"	-0.406342591633699
"CD300LB"	"CD300LB"	0.396829809735217
"RNASE2"	"RNASE2"	0.152220723179374
"DLC1"	"DLC1"	-0.31156837679712
"ABCA6"	"ABCA6"	-0.506911258628079
"STXBP1"	"STXBP1"	-0.365526767623945
"SIGLEC9"	"SIGLEC9"	-0.0528613677198683
"GIMAP8"	"GIMAP8"	-0.954489480807168
"PXDNL"	"PXDNL"	-0.122694778591273
"TREML1"	"TREML1"	-0.298175340671364
"LAIR2"	"LAIR2"	-0.441557948763851
"PTPN7"	"PTPN7"	0.0247019353071662
"LAIR1"	"LAIR1"	-0.193315447442039
"MMP9"	"MMP9"	-0.13079725454498
"KATNBL1"	"KATNBL1"	-0.880970209351416
"CD33"	"CD33"	-0.497805699266413
"ARHGEF15"	"ARHGEF15"	-0.503631040997689
"CLEC12A"	"CLEC12A"	-0.506870908305875
"SEMA3G"	"SEMA3G"	-0.0854089967272788
"SLAMF8"	"SLAMF8"	-0.530080154585674
"HLA.DRB5"	"HLA.DRB5"	-0.360156522229439
"GIMAP7"	"GIMAP7"	-0.660501678593465
"GUSB"	"GUSB"	0.279440961046201
"CD86"	"CD86"	-0.678888876644303
"MS4A6E"	"MS4A6E"	0.280393923988417
"PIK3R5"	"PIK3R5"	-0.551801137202407
"SLC25A21"	"SLC25A21"	0.225576901637617
"GPC6"	"GPC6"	0.126156995290744
"NLRC4"	"NLRC4"	-0.43552174217526
"OR6K3"	"OR6K3"	0
"CACNB1"	"CACNB1"	-0.489385203974852
"CCL2"	"CCL2"	-0.40667607072184
"LILRA5"	"LILRA5"	-0.0809646960980474
"PDE4DIP"	"PDE4DIP"	1.51181671472674
"TFPI2"	"TFPI2"	-0.194182469762066
"TNFAIP8L2"	"TNFAIP8L2"	-0.677039815768012
"CPM"	"CPM"	-0.360385903288085
"TSPAN31"	"TSPAN31"	-0.124637348149236
"TEK"	"TEK"	-0.508114063887325
"C1orf162"	"C1orf162"	-0.0792034526053041
"S100Z"	"S100Z"	-0.135231225029593
"LRRC43"	"LRRC43"	-1.01064763322487
"WISP1"	"WISP1"	0.27735657526709
"TRPV2"	"TRPV2"	-0.85181930243817
"SIRPD"	"SIRPD"	1.28979887586343
"CD300C"	"CD300C"	-0.389788997086003
"FPR3"	"FPR3"	-0.222726174603792
"FCER1G"	"FCER1G"	0.305069566073649
"KLHL6"	"KLHL6"	0.163803346753744
"PLEK"	"PLEK"	-0.152862344320922
"C18orf63"	"C18orf63"	0
"HMOX1"	"HMOX1"	-0.355292216971844
"IL10RA"	"IL10RA"	-0.26634352229943
"CYTH4"	"CYTH4"	-0.831398880719449
"OLR1"	"OLR1"	-0.34962293331576
"LST1"	"LST1"	-0.230190590770355
"CLEC6A"	"CLEC6A"	-0.446367762755605
"GPR84"	"GPR84"	-0.444856550975186
"CCR5"	"CCR5"	-0.364658417910596
"GYPE"	"GYPE"	-0.466633891079751
"XKR3"	"XKR3"	-0.0483933918495827
"CXorf36"	"CXorf36"	-0.276499099506546
"TFEC"	"TFEC"	-0.506494449003835
"ERGIC2"	"ERGIC2"	-0.183992957943544
"VSTM1"	"VSTM1"	0.301735255473938
"TBX21"	"TBX21"	-0.727267825816775
"RIBC1"	"RIBC1"	0.64962451066603
"PTCRA"	"PTCRA"	0.461176953969692
"CDH11"	"CDH11"	0.420817892709123
"NME2"	"NME2"	-0.994461438299836
"USP35"	"USP35"	-0.532111051228022
"AQP9"	"AQP9"	-0.261524343207579
"CCDC80"	"CCDC80"	-0.327211223894445
"GPR65"	"GPR65"	-0.19809133434966
"CACNA2D4"	"CACNA2D4"	-0.140302761575072
"CREB3"	"CREB3"	0.00507637586265208
"SLC29A1"	"SLC29A1"	5.05402553231452
"PILRA"	"PILRA"	-0.0325547368778888
"LRRC25"	"LRRC25"	0.00636915771142455
"CNRIP1"	"CNRIP1"	0.298636717450116
"CLEC4G"	"CLEC4G"	-0.023159068591793
"SASH3"	"SASH3"	-0.598228204162697
