"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"State"	"MaxFC"
"TNFRSF9"	"TNFRSF9"	0.875165731979874	-0.492154927096512	-0.844544880252815	0.507274525657368	0.0667710044777101	0.0439419570888543	"IS01"	0.875165731979874
"APLP2"	"APLP2"	0.874384260464219	-0.297448178990736	-0.200064348697289	0.545877393898361	-0.816673677526205	-0.147538934531886	"IS01"	0.874384260464219
"SERINC5"	"SERINC5"	0.87220897024232	-0.542968077426575	-0.562632137274635	0.354746042043711	-0.718166610513966	0.574163614393809	"IS01"	0.87220897024232
"SUMF1"	"SUMF1"	0.863850179481653	-0.303478439991586	-0.64265867236877	0.59367534363059	0.0473077168145521	-0.399728971935147	"IS01"	0.863850179481653
"GPRC5B"	"GPRC5B"	0.860279901971499	-0.0283248173936992	-0.610391950482883	0.319025028852184	-0.753949200267762	0.281425926665777	"IS01"	0.860279901971499
"AMZ1"	"AMZ1"	0.846772367657459	-0.0884338002797324	-0.372540631123248	0.463015767016534	-0.569065409613885	-0.224872428513989	"IS01"	0.846772367657459
"LOC100289646"	"LOC100289646"	0.840518287357277	0.109695988655052	-0.966768168357206	0.688039828875138	-0.176663556196861	-0.251639077565768	"IS01"	0.840518287357277
"LDOC1L"	"LDOC1L"	0.83529530682097	-0.310459452353644	-0.767848173660805	0.714831716595085	-0.882593362059046	0.437781644559693	"IS01"	0.83529530682097
"PYGB"	"PYGB"	0.834731898349432	-0.393460185477288	-0.533524968238969	0.614711189427089	-1.18732277234113	0.592157105737133	"IS01"	0.834731898349432
"LOC100129191"	"LOC100129191"	0.825032310305341	-0.264391895540444	-0.589040683891828	0.487624981753568	-0.479216598364563	0.087032430437241	"IS01"	0.825032310305341
"PTGIR"	"PTGIR"	0.80824837406933	0.638626479604465	-0.936230569564819	0.774030129924878	-0.878276278146041	-0.186736522585751	"IS01"	0.80824837406933
"ERO1L"	"ERO1L"	0.807992570438267	-1.23450103823071	-0.330870622919929	0.679320842770948	-0.233557464076591	0.210674776144925	"IS01"	0.807992570438267
"LOC400950"	"LOC400950"	0.805258241522156	0.143762549005554	-0.690230947967312	0.463815027971226	0.143613033663038	-0.615203289792122	"IS01"	0.805258241522156
"ITPKC"	"ITPKC"	0.793540265057592	0.213692187952983	-0.591241629480941	0.755483654854479	-1.01564892948582	-0.0855781732499049	"IS01"	0.793540265057592
"ADFP"	"ADFP"	0.776272643392892	-0.394994075580985	-0.607534583827868	0.553335349863017	-0.0311928170208275	-0.181815269777037	"IS01"	0.776272643392892
"NOTCH2"	"NOTCH2"	0.776189924641925	-0.494169030126746	-0.52892773188134	0.741004235348124	-1.13766642067266	0.556721976689987	"IS01"	0.776189924641925
"C1orf93"	"C1orf93"	0.773573988255	0.564468824478269	-0.674349253213695	0.740449394395462	-1.18845711855577	-0.10116878858742	"IS01"	0.773573988255
"ATP10D"	"ATP10D"	0.765515946502839	-0.644655803615119	-0.335866614239634	0.346300028779964	-0.487286445678158	0.307189592886031	"IS01"	0.765515946502839
"SIGLEC15"	"SIGLEC15"	0.761193984969322	0.022821878885664	-0.291832525287185	-0.028100546794585	-0.238885074296328	-0.131563501553152	"IS01"	0.761193984969322
"LGALS1"	"LGALS1"	0.761064969979364	0.298357655455646	-0.710315995877182	0.0823378545949256	0.435648029589231	-0.55371572153437	"IS01"	0.761064969979364
"CCDC81"	"CCDC81"	0.75638212015829	0.556947345155605	-0.496751705053169	0.0908737324529978	-0.515448236273994	-0.215334334947957	"IS01"	0.75638212015829
"SLC28A3"	"SLC28A3"	0.743126587109594	-0.463702574585842	-0.65366782580499	0.70355507306653	-0.101034057490538	-0.130943464806929	"IS01"	0.743126587109594
"SPR"	"SPR"	0.743047596644996	0.093099864446057	-0.511014885662973	0.61092930169558	-0.405259272193981	-0.405526764546355	"IS01"	0.743047596644996
"TNFRSF6B"	"TNFRSF6B"	0.741207237491801	0.491805493847216	-0.792855807000354	0.426450044033719	-0.288304614691527	-0.327670935731375	"IS01"	0.741207237491801
"UPP1"	"UPP1"	0.737068561779383	0.00609572321078452	-0.768381563764526	0.541876101431633	0.47953185663892	-0.710646335844276	"IS01"	0.737068561779383
"ARHGAP21"	"ARHGAP21"	0.736240098565088	-0.214901176602804	-0.525908455170945	0.730265107133923	-1.34629287792878	0.545018346762859	"IS01"	0.736240098565088
"CYP27B1"	"CYP27B1"	0.730141289704958	0.00286474952500371	-0.602390979426017	0.698145311707108	-0.27440309370972	-0.410420358154949	"IS01"	0.730141289704958
"TJP2"	"TJP2"	0.727219457333868	-0.477929548174323	-0.325088033299059	0.565166956126502	-0.917823674005663	0.340321462093944	"IS01"	0.727219457333868
"CREB5"	"CREB5"	0.719890674082223	-0.414137382398135	-0.28454490577138	0.58871674601589	-0.477998587793812	-0.144480400426044	"IS01"	0.719890674082223
"AKAP12"	"AKAP12"	0.719259837286861	-0.101907512242749	-0.369533759707753	0.206778176650748	-0.779462153651035	0.322270534799971	"IS01"	0.719259837286861
"ENTHD1"	"ENTHD1"	0.717306001168644	-0.0553265349015141	-0.57988157236531	0.121031108625548	0.461654307404346	-0.433074549792479	"IS01"	0.717306001168644
"CMBL"	"CMBL"	0.714544452643063	-0.585971718355151	-0.155612222192044	0.178610748431118	0.142122374690833	-0.26743239228064	"IS01"	0.714544452643063
"SLC18A1"	"SLC18A1"	0.704160837921781	0.41888189030192	-0.461683278568206	0.00393198519949631	-0.0910981072483182	-0.367575948939435	"IS01"	0.704160837921781
"ITSN1"	"ITSN1"	0.703095444616381	-0.374629182410239	-0.389665338251414	0.570770179272295	-1.12021308137848	0.515284035634253	"IS01"	0.703095444616381
"TTC30A"	"TTC30A"	0.69279384896128	-0.946477979210024	0.242843856064375	-0.420892684299241	0.167150785373447	0.155583531435769	"IS01"	0.69279384896128
