"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"State"	"MaxFC"
"AGR3"	"AGR3"	0.965397288925406	-0.0744080371337745	-0.153874242380412	0.258160000052599	-0.446165026563301	-0.0170954272565224	-0.10927060064416	-0.375698682997666	"IS01"	0.965397288925406
"HID1"	"HID1"	0.958840318767938	-0.0106192526905849	0.560091994237552	-0.386184025619622	-0.667450564021845	-0.0233554131108728	-0.168807801393821	-0.321714223706777	"IS01"	0.958840318767938
"MUC1"	"MUC1"	0.954752952522054	0.352844225369824	-0.68098613569611	-0.182833299962962	-0.137666466179779	-0.269530523270655	0.0588325367718819	0.134130125599429	"IS01"	0.954752952522054
"AC234582.1"	"AC234582.1"	0.94542414983134	-0.298956343968592	-0.40933045747429	-0.0891058575082112	-0.0164176624800177	-0.277718474440066	0.161473839460215	0.179067848449229	"IS01"	0.94542414983134
"EPS8L3"	"EPS8L3"	0.940071589770943	-0.000364541941169744	-0.0466978171768712	-0.225969336074245	-0.149132895128926	-0.057019147409537	-0.171634709365752	-0.183514776533167	"IS01"	0.940071589770943
"CEACAM6"	"CEACAM6"	0.937417350540486	-0.29776595005325	-0.323125395287012	-0.22106349727696	0.228588539620801	-0.193666611173051	0.0574372030069816	0.0135527689576437	"IS01"	0.937417350540486
"IYD"	"IYD"	0.914529979266429	-0.31027125669857	0.248568480277471	-0.00716495980918831	-0.309233455462867	-0.0425089176062581	-0.209130395279108	-0.24252419287665	"IS01"	0.914529979266429
"GOLM1"	"GOLM1"	0.914461145379416	-0.531057567773258	0.325095766864935	-0.344793509738284	-0.434981083534014	-0.300029244848903	0.349746245879183	0.0256683600094928	"IS01"	0.914461145379416
"CEACAM5"	"CEACAM5"	0.9114211652186	-0.306308425973497	-0.000705379457814923	-0.356896888069197	0.118565211824329	-0.0521676017857932	-0.115523651291212	-0.0713087381449341	"IS01"	0.9114211652186
"GMDS"	"GMDS"	0.908261331738476	-0.179584968955931	0.0149652773801485	-0.578650184704921	-0.0742131655490996	-0.0351363196139476	-0.141186403071256	0.197577791178505	"IS01"	0.908261331738476
"VSIG2"	"VSIG2"	0.900554732231879	0.00126751725289387	-0.313306317367423	0.728921038099835	-0.192565978399823	-0.2483305702668	-0.216874484588424	-0.477501532224298	"IS01"	0.900554732231879
"SELENBP1"	"SELENBP1"	0.899534886899591	-0.103397353378805	-0.0490619926585685	0.642262948362517	-0.393131700448627	-0.171820562516059	-0.382608943908864	-0.305421726688132	"IS01"	0.899534886899591
