"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"
"MMP7__pos"	24.4742819095005	14.2775117616573	2.22044604925031e-16	12.4525372836553	28.2727635759707	2.22044604925031e-16	48.4486870564591	44.0455787347653
"HLA.DMA__pos"	21.2889229219707	14.693662445769	2.22044604925031e-16	28.0876299024036	2.22044604925031e-16	2.22044604925031e-16	2.10742334737936	98.8909851275811
"SH3BGRL__pos"	24.5630832564006	2.22044604925031e-16	23.68776561256	49.6411551604892	2.22044604925031e-16	2.22044604925031e-16	38.2592770181229	10.5460323740103
"CYR61__pos"	0.532722650324965	5.69811746560264	1.64041862150619	75.161688726915	1.5845625447618	2.22044604925031e-16	67.5692132341522	2.30543135698333
"TMEM176B__pos"	27.361377867975	18.8575477850129	5.82022744613276	18.3330594432839	2.22044604925031e-16	2.22044604925031e-16	30.5025349101298	64.1566608615134
"SFTPB__pos"	25.5686203850583	7.57942143537908	1.03132425057185	24.8136628935107	7.72976870421168	2.22044604925031e-16	5.85514761056506	7.18293918677952
"MXRA8__pos"	2.22044604925031e-16	25.0709509619585	5.14266821278839	21.9045858736518	2.22044604925031e-16	2.22044604925031e-16	110.493634667397	2.22044604925031e-16
"IGFBP6__pos"	2.22044604925031e-16	26.7453640362433	2.22044604925031e-16	53.5405387460867	27.7755766289453	2.22044604925031e-16	52.8446219590855	2.22044604925031e-16
"HLA.DMB__pos"	25.8588187213667	9.51850312314019	2.77479733090738e-05	26.9475362255686	2.22044604925031e-16	2.22044604925031e-16	5.01994376676072	102.801872072814
"GPX3__pos"	3.97893231364326	10.2221835026981	2.78246552398536	102.348879429561	27.4189832182537	2.22044604925031e-16	7.42358884513585	2.17306760956812
"SLC34A2__pos"	54.3081008025812	3.25154128766215	2.22044604925031e-16	28.7890764202686	14.1652803154482	2.22044604925031e-16	13.4675391680309	22.2872250251884
"ANXA6__pos"	1.07611149120575	10.3830421254634	28.8509684921936	54.9608799863463	2.22044604925031e-16	2.22044604925031e-16	41.3709842981894	14.4188166570623
"TNC__pos"	4.08618249721688e-07	2.22044604925031e-16	3.86134670349422	13.9433985929394	21.1837609375911	2.22044604925031e-16	110.381298857907	11.0211540024264
"ARHGDIB__pos"	30.6637888077396	11.1864981553909	2.22044604925031e-16	23.1160699668561	2.22044604925031e-16	2.22044604925031e-16	27.3108485010276	54.3557781785917
"AZGP1__pos"	65.8730494625607	28.2437348087297	10.0763494778635	12.832113616303	0.285350911495968	6.6287901446208	7.72280421151068e-09	2.22044604925031e-16
"CTSB__pos"	6.39543802536527	1.46195285431572	8.46858369859603	1.02490859033718	12.3442352687396	1.07744425977006	61.9514468985773	49.2485348522778
"TUBA1A__pos"	2.22044604925031e-16	8.52261018785749	29.3614098598814	37.5611863989475	2.28154190704228	2.22044604925031e-16	63.4371543810031	2.25506022980414
"TMEM176A__pos"	28.0499514476306	22.5615299224861	7.80461632672069	16.8154237288328	2.22044604925031e-16	2.22044604925031e-16	32.5895390792168	53.2413074189852
"CXCL14__pos"	20.2551852426051	23.1197874832897	18.2827498774427	14.9120951304948	24.5647945327618	2.28133273920544	52.6954951095571	2.22044604925031e-16
"KLK2__pos"	13.5902683475502	4.6999790017599	38.5241989808531	9.20141280570875	1.94263862305688	2.34324245754496	5.07846688704449	2.22044604925031e-16
"RGS5__pos"	25.6831199822632	2.22044604925031e-16	33.975608650321	68.5719887830578	2.22044604925031e-16	2.22044604925031e-16	29.3631641991421	2.22044604925031e-16
"TGFBI__pos"	2.22044604925031e-16	13.5143871698919	2.22044604925031e-16	2.22044604925031e-16	8.58191388663182	2.38241371083262	109.13306991649	16.4308921909141
"CHI3L1__pos"	3.70542533014496	19.9881641999898	2.22044604925031e-16	19.2119909677333	16.7066976287604	2.22044604925031e-16	43.080263516687	62.6095060634512
"MFAP2__pos"	2.22044604925031e-16	25.7514997072435	21.127467288657	2.22044604925031e-16	7.34621306098074	2.22044604925031e-16	94.9229398395947	2.22044604925031e-16
"SLC39A6__pos"	22.4418687668922	2.22044604925031e-16	58.9203582181745	2.22044604925031e-16	9.21023911329085	0.745204527615615	52.3257510717094	1.00452693496991
"SDC2__pos"	2.22044604925031e-16	2.22044604925031e-16	42.2154012911162	43.4344889931437	1.69667303515491	2.22044604925031e-16	63.7388457257589	3.538903587736
"TYMP__pos"	0.686049284828684	17.0534695949689	2.22044604925031e-16	2.22044604925031e-16	18.328585948344	2.22044604925031e-16	20.1790325507181	104.677488653094
"EVL__pos"	9.08346964999303	13.3813483815287	36.0633386094338	27.7074299502159	2.22044604925031e-16	2.22044604925031e-16	27.0139317017562	35.5965294200514
"KLK3__pos"	15.8038626479833	6.39495416520185	13.4308300725434	11.89724779757	2.22044604925031e-16	0.043422763456078	2.91009464942056	2.22044604925031e-16
