"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"
"SPHAR__pos"	77.1119138552796	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"AQP9__pos"	2.22044604925031e-16	52.7700108891824	4.41540858394596	17.5810792970607	2.22044604925031e-16	14.3625457039663	2.22044604925031e-16	2.22044604925031e-16	128.84129244902	2.22044604925031e-16
"LIMS3L__pos"	2.22044604925031e-16	21.036551617309	4.12898815184028	2.22044604925031e-16	6.58616230873275	130.629374917848	3.43582681616894	3.97214173290813	33.4427736589004	2.97992403418784
"TNFRSF8__pos"	24.8361090396044	20.4451078861807	1.48511996724992	60.2491018057719	16.8998805335227	62.6761025094489	2.22044604925031e-16	2.64120694703408	17.8810369904531	9.14552980547974
"CYP2C9__pos"	2.22044604925031e-16	2.22044604925031e-16	26.8278740207435	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.11148082956224	2.22044604925031e-16	144.581634589653
"LRRN4__pos"	2.22044604925031e-16	50.9377971205566	7.04720624832593	2.22044604925031e-16	60.3423440476223	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	92.5665938223672	2.22044604925031e-16
"USP2__pos"	2.22044604925031e-16	90.1649351517786	0.436134505702931	2.22044604925031e-16	105.362950478145	13.8946651491025	5.30928135737334	2.22044604925031e-16	27.2107452959063	2.6247458962864
"KRT86__pos"	3.26144627418606	2.22044604925031e-16	2.22044604925031e-16	6.3257504534456	16.1938064314187	2.22044604925031e-16	2.22044604925031e-16	2.60361517768388	95.9996437578725	8.19480862745808e-05
"SLCO1B1__pos"	2.22044604925031e-16	2.22044604925031e-16	25.4811659410578	2.48177019811639e-09	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	0.0163722617653673	3.51963027255187	71.2169747091447
"SERPINC1__pos"	16.7998209337836	19.1278538642591	83.1889078650973	4.96139434740261	3.42314327535497	16.6408257287748	27.1097799452415	14.4510116804569	20.5630602856699	63.7905850994517
"APOH__pos"	2.22044604925031e-16	4.53128008609447	116.097615186373	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"ITIH2__pos"	7.36499461040392e-13	53.6325361615541	104.76424496388	4.2276489353844	2.22044604925031e-16	18.6384746870376	1.21551937373416e-14	2.22044604925031e-16	2.22044604925031e-16	89.7354291189576
"RRAD__pos"	15.7175487338708	62.347686965815	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	16.620755399933	2.22044604925031e-16	2.22044604925031e-16	64.209898808066	2.22044604925031e-16
"ADH1A__pos"	2.22044604925031e-16	96.9116165320025	29.9171679588264	2.22044604925031e-16	2.22044604925031e-16	47.536590048837	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	86.1004213546994
"DDI1__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	173.525595639586	2.22044604925031e-16	2.22044604925031e-16
"CFHR2__pos"	2.22044604925031e-16	2.22044604925031e-16	83.8942992115174	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"ACOT12__pos"	3.22242146379658e-16	2.22044604925031e-16	31.2871597482909	4.36058653952452e-05	1.94986449149852	8.90235194101938	2.22044604925031e-16	22.5204577919456	2.22044604925031e-16	106.083616833032
"ADGRE1__pos"	2.24933341950068	61.9623164994423	1.90270957642087e-06	67.0424239734002	2.22044604925031e-16	7.73268774414907	2.22044604925031e-16	1.87756855661228	55.9499448162243	2.22044604925031e-16
"PON1__pos"	11.1048052572452	2.82475833398513	134.9200648241	3.47605064222652e-13	27.3969196745203	2.22044604925031e-16	3.69533269876657	0.948192591640737	2.22044604925031e-16	9.97244021935024e-09
"SERPINB12__pos"	2.22044604925031e-16	0.151566208036342	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	99.2657216765421	6.29550063872208
"CFHR5__pos"	2.22044604925031e-16	2.22044604925031e-16	162.690742742232	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	38.9542900471545	2.22044604925031e-16	13.3061135014165
"C1QL1__pos"	2.22044604925031e-16	2.22044604925031e-16	0.205263131029356	2.22044604925031e-16	184.188632412418	0.79678838421347	2.22044604925031e-16	0.00758314284040607	10.5296416282263	2.22044604925031e-16
"CTD.2287O16.3__pos"	2.22044604925031e-16	28.1877347199123	2.22044604925031e-16	15.1851265439333	2.22044604925031e-16	0.0332363029537066	2.22044604925031e-16	6.62108823403792	85.9207031511891	43.1692898002221
"HBG1__pos"	2.22044604925031e-16	192.483376169236	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	4.89434013833557	2.22044604925031e-16	2.22044604925031e-16
"SERPINA7__pos"	2.22044604925031e-16	2.22044604925031e-16	136.1618269589	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	0.137058820426717	2.22044604925031e-16	2.22044604925031e-16
"ALPP__pos"	5.08495571262145e-06	3.37239139072569	2.22044604925031e-16	2.22044604925031e-16	2.3248899133813	2.22044604925031e-16	2.22044604925031e-16	0.67776576973972	106.568954113343	2.22044604925031e-16
"CCDC64__pos"	2.22044604925031e-16	2.22044604925031e-16	1.30704784005998	7.84319838836909	71.8841871873381	2.22044604925031e-16	7.53963520249465	2.22044604925031e-16	2.22044604925031e-16	128.058246023407
"NCR1__pos"	2.22044604925031e-16	19.3371135665269	0.0643521381433551	159.550521264862	9.39966449215348	6.10886456982222	2.22044604925031e-16	9.33377397170147	2.22044604925031e-16	4.61703448259142
"FCGR1A__pos"	13.2111315084973	12.2755235871849	0.307563028841462	86.6088945718437	2.50005750059786	26.6418072703772	24.5155097885758	5.88818069667	18.7899787272358	2.22044604925031e-16
