"V1"	"TCGA.FD.A5C0.01A.11R.A28M.07"
"GYPB"	"GYPB"	-0.535177671452954
"ZNF683"	"ZNF683"	-0.560010049816535
"SLC17A1"	"SLC17A1"	-0.242076980597516
"RTP3"	"RTP3"	-0.371656968910161
"C10orf105"	"C10orf105"	-0.188366121638803
"HBD"	"HBD"	0.107241488409827
"CPXM1"	"CPXM1"	-0.0148795932077568
"CD14"	"CD14"	-0.349909826378584
"SH2D3C"	"SH2D3C"	-0.653866699037138
"STX11"	"STX11"	-0.460930203338973
"HP"	"HP"	-0.109332398831146
"IFNK"	"IFNK"	-0.418045611964268
"IL26"	"IL26"	0.809903580085919
"HPR"	"HPR"	0.212255937295555
"AMBP"	"AMBP"	-0.170522326715687
"SMTNL2"	"SMTNL2"	-0.244442167859328
"OR52A1"	"OR52A1"	-0.0963824377787015
"CCL8"	"CCL8"	-0.118627278268356
"DNAAF1"	"DNAAF1"	-0.879003204368544
"TMEM100"	"TMEM100"	0.137670513714001
"C8B"	"C8B"	-0.234060787792656
"HAS1"	"HAS1"	-0.0837278591137498
"SLC25A47"	"SLC25A47"	-0.176800784546073
"OR4N2"	"OR4N2"	-0.327461703785232
"KIR2DL3"	"KIR2DL3"	-0.755362324684015
"RXFP2"	"RXFP2"	-0.258157621066061
"PRAMEF25"	"PRAMEF25"	-0.100528491619127
"TEX40"	"TEX40"	-0.529916788905521
"KIR2DL4"	"KIR2DL4"	-0.324780942288776
"MEDAG"	"MEDAG"	0.749279199020882
"AFM"	"AFM"	-0.0709034477946218
"KIR3DL2"	"KIR3DL2"	-0.801750193454518
"ELFN1"	"ELFN1"	-0.46719205182727
"PAEP"	"PAEP"	-0.155826303365357
"OLAH"	"OLAH"	0.0444498697042457
"CD247"	"CD247"	-0.780375172566723
"INHBC"	"INHBC"	-0.320279511353227
