"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"State"	"MaxFC"
"SLC39A8"	"SLC39A8"	-0.397284487723826	0.918057918184989	-0.13311713302015	0.033067549620117	0.0116317785955007	0.00271274304880706	-0.176418859879798	-0.0546950406183409	0.287881706040808	-0.113530771329578	"IS02"	0.918057918184989
"HBG1"	"HBG1"	-0.107785639320206	0.905521061473857	-0.0318658337421852	-0.0605905863908922	-0.0939627476938216	0.0282359748633731	-0.139201386833432	0.185344329156329	-0.09989627804777	-0.0218447309640194	"IS02"	0.905521061473857
"OTUD1"	"OTUD1"	-0.600494818453568	0.86129335435102	-0.184680419948117	-0.0414881500964812	0.046099599638083	0.428399243429438	-0.409138412077386	-0.15584001718814	0.337825486404464	0.1919332066858	"IS02"	0.86129335435102
"GYPB"	"GYPB"	-0.030910563765165	0.853527129688231	-0.120108657382198	-0.0505259304198328	0.0870995819362625	0.155286764200135	-0.352331807533621	0.618429544521	-0.171668477220123	0.236637746406988	"IS02"	0.853527129688231
"RASGRP4"	"RASGRP4"	-0.191557754713005	0.853118407442897	-0.109751007505645	0.094149490692179	-0.0769641526597688	0.71014502128767	-0.515972866064568	0.00307506710478595	0.0405068964786453	-0.0964313477611654	"IS02"	0.853118407442897
"USP2"	"USP2"	-0.145255716595938	0.821079354906832	0.0970948010890367	-0.295166777210352	0.658282646174282	0.346533651195514	-0.355711676213328	-0.0789489134251114	0.114659073414897	0.0238106952149625	"IS02"	0.821079354906832
"RXFP1"	"RXFP1"	-0.277215447842434	0.803386940311497	-0.0369513486061065	-0.0110257448139837	0.150665692107069	0.195869246079051	-0.487371871478504	0.382058796057227	0.282944914216372	0.283498843429432	"IS02"	0.803386940311497
"RGN"	"RGN"	0.21453626821407	0.782605432159875	0.396454374180568	-0.241982118169294	0.460781343856023	0.268455767362645	-0.3149571822797	-0.0153007575011771	-0.271884968211283	0.0363769327271229	"IS02"	0.782605432159875
"CFP"	"CFP"	0.193238024404245	0.75738115959193	-0.0589393191691771	0.451303468326196	-0.0900139470689526	0.463561495292402	-0.592759881548804	-0.0400567931245784	-0.210440967855371	0.0154795876856345	"IS02"	0.75738115959193
"HBD"	"HBD"	-0.0944161777823141	0.749245869895328	0.177845893820719	0.284887906544101	0.167003148034929	0.262419138362544	-0.386664099975587	0.0508063859987292	-0.175249845884054	-0.130873588243137	"IS02"	0.749245869895328
"C10orf105"	"C10orf105"	-0.141408491820712	0.739904684470684	-0.103486302544258	0.387773988272783	0.0534117658882976	0.615403131840612	-0.689975230197226	-0.0164985009331103	-0.242705311228919	0.355104114451753	"IS02"	0.739904684470684
"RRAD"	"RRAD"	0.0521323857523681	0.730947565933119	-0.21827783432582	-0.0593439778672919	-0.0504562600700812	0.266976405144323	-0.323381745500956	-0.153826823670879	0.415582826125844	-0.136801510285049	"IS02"	0.730947565933119
"UPK3B"	"UPK3B"	0.219476245113263	0.713467872966786	-0.0675336142739706	-0.105205255415989	0.10064855173547	-0.15757309915157	-0.209103146953356	0.0953854880351161	0.172045067350206	0.110210263985663	"IS02"	0.713467872966786
"FAM179A"	"FAM179A"	0.264547460029502	0.69695722035777	-0.150045143382048	0.549914656451358	0.142717061197612	0.0267449885569348	-0.640447689330168	0.323539683618317	-0.0729784692349519	0.299114497750643	"IS02"	0.69695722035777
"ADGRE1"	"ADGRE1"	-0.125347831899778	0.679890300974398	-0.0755205867195455	0.473807951992879	-0.132221613943757	0.122483068788851	-0.461359927070454	0.110944059593581	0.335266123307057	-0.165695977730318	"IS02"	0.679890300974398
"AHSP"	"AHSP"	0.20889456318288	0.678089175534682	-0.0389777230201978	-0.0322128830839137	0.0774713834696093	0.126919514809668	-0.19275195212328	0.106196569248169	-0.139592728133237	-0.11229231258469	"IS02"	0.678089175534682
"PGM1"	"PGM1"	-0.441926824148311	0.597717438668731	-0.0134523341800593	0.00546390076874569	0.181067081893947	0.295952385181661	-0.339739065534322	-0.202028043442362	0.516473400245995	-0.082192638825603	"IS02"	0.597717438668731
"TRPV2"	"TRPV2"	0.192840661895979	0.594286419082734	-0.0615920778058135	0.240647164862909	-0.0776733516678826	0.00873799753154642	-0.204444155224573	0.0013670608066808	-0.0331029890581031	-0.202021262591469	"IS02"	0.594286419082734
"LRRN4"	"LRRN4"	-0.0484860196687881	0.569227736973048	0.0699330180870968	-0.0871097201665473	0.503253960499813	0.0442203600787193	-0.308897121976585	-0.0757267555278358	0.566517189793693	-0.1915527138027	"IS02"	0.569227736973048
"DOCK11"	"DOCK11"	-0.0933322101860013	0.56791774396424	-0.136211121395919	0.270840648450753	0.175582276816946	0.551436328938858	-0.478520512131088	0.157349395819231	-0.0672938016325209	-0.142548930906484	"IS02"	0.56791774396424
"LILRA1"	"LILRA1"	-0.26153721533145	0.562613805545577	-0.0969022876661685	0.463260117206471	-0.152165164198173	0.460582722102516	-0.473399223690032	-0.08981275652344	0.0429867559030118	-0.072009130093182	"IS02"	0.562613805545577
"RTKN2"	"RTKN2"	-0.380315707391991	0.5503294962252	-0.246481881974515	0.145072011661163	0.272854294831836	-0.289002015072313	-0.146045115836824	0.329768423442034	0.148533753924351	0.219810435658694	"IS02"	0.5503294962252
"APOH"	"APOH"	-0.0521664349366378	0.0522355888097479	2.09626248630453	-0.112277816539675	0.0686094162626594	-0.102200411035408	-0.161509085976953	-0.0211857039405171	-0.138576767401418	-0.0588028365548883	"IS03"	2.09626248630453
"AMBP"	"AMBP"	0.0538093050269118	-0.0736074390134817	1.99569515240347	-0.134716141735771	0.0125421684406307	-0.146434144681574	-0.124827199812157	0.181070247600556	-0.172287493186952	-0.0188429145192342	"IS03"	1.99569515240347
"GC"	"GC"	-0.00759976193833053	-0.0351353433521559	1.98553114741617	-0.0675962272939932	-0.0107502334306839	-0.0952973743590752	-0.139333461406767	-0.121046016197975	-0.127541891486329	-0.0550833726054278	"IS03"	1.98553114741617
