"V1"	"TCGA.FD.A5C0.01A.11R.A28M.07"
"TYRP1"	"TYRP1"	0.341942351889034
"RAB23"	"RAB23"	0.679532152554325
"CASR"	"CASR"	-0.367229241178472
"ALAS2"	"ALAS2"	0.373272342201957
"ADRA1A"	"ADRA1A"	-0.321663331275797
"GIMAP1"	"GIMAP1"	0.268909279473582
"DES"	"DES"	0.713503008201645
"ZDHHC11B"	"ZDHHC11B"	-0.100217087950372
"RBFOX3"	"RBFOX3"	0.955836292823186
"DNAI1"	"DNAI1"	0.0109064027358577
"HGF"	"HGF"	0.102556146671461
"S1PR1"	"S1PR1"	-0.334962513040172
"FCN1"	"FCN1"	0.0221370507169228
"NR4A3"	"NR4A3"	0.323069588221293
"TTC36"	"TTC36"	0.481374284155055
"C1orf111"	"C1orf111"	-0.186252134615619
"SEZ6L"	"SEZ6L"	-0.100889992456292
"SLIT2"	"SLIT2"	0.0839431018080728
"GRAP2"	"GRAP2"	-0.435102012293597
"ZNF703"	"ZNF703"	-0.329649712771631
"GLP2R"	"GLP2R"	-0.042733567049421
"TMEM47"	"TMEM47"	0.451930095614965
"PGLYRP1"	"PGLYRP1"	-0.892691061752887
"SYNPO2"	"SYNPO2"	0.492326229712514
"FHL5"	"FHL5"	-0.282873571964966
"SPTA1"	"SPTA1"	-0.311124472315723
"TLL1"	"TLL1"	-0.0865057596792742
"SLC8A1"	"SLC8A1"	0.291253772722655
"TGFB3"	"TGFB3"	0.0961406095950799
"DNASE1"	"DNASE1"	-0.473379189774987
"IL13"	"IL13"	-0.183549819562674
"CD1C"	"CD1C"	0.944796326002784
"TMX2.CTNND1"	"TMX2.CTNND1"	-0.435381876534756
"BMX"	"BMX"	-0.262721447341637
"C8orf34"	"C8orf34"	-0.527336293645126
"TEX26"	"TEX26"	-0.228808361628709
"FIGF"	"FIGF"	0.00524685546127718
"SPOCK3"	"SPOCK3"	-0.272378920291147
"ADAMTS4"	"ADAMTS4"	-0.378047011042032
"SFTPC"	"SFTPC"	-0.0723059246806414
"SVEP1"	"SVEP1"	-0.330234087308734
"ABCB5"	"ABCB5"	-0.255250954548609
"RP5.972B16.2"	"RP5.972B16.2"	-0.213972859594591
"ANOS1"	"ANOS1"	-0.36957142873105
"GIMAP7"	"GIMAP7"	-0.569922609129107
"NEURL1"	"NEURL1"	0.468237576139419
"LCT"	"LCT"	-0.0519899489509234
"TBX10"	"TBX10"	-0.226902184049108
"PI16"	"PI16"	-0.122887632567921
"LAMP3"	"LAMP3"	0.76821114022305
"MOGAT1"	"MOGAT1"	-0.182461966825207
"SLC18A1"	"SLC18A1"	-0.478332497794751
"SERPINI2"	"SERPINI2"	-0.435035207905389
"PVALB"	"PVALB"	0.0232810828661064
"OR52K2"	"OR52K2"	-0.11099769930045
"RGCC"	"RGCC"	-0.467131474483221
"RNF112"	"RNF112"	0.261163314237915
"STMND1"	"STMND1"	-0.28887510804622
"PDE2A"	"PDE2A"	-0.545319281011948
"PIK3R6"	"PIK3R6"	0.624482015224343
"HPGDS"	"HPGDS"	-0.494210243962287
"TFAP2B"	"TFAP2B"	-0.252782715348871
"C9orf57"	"C9orf57"	-0.390554057143386
"NINJ2"	"NINJ2"	-0.509395560360141
"SYNM"	"SYNM"	0.757986993976846
"KAT6A"	"KAT6A"	-1.00746085657685
"OR6N1"	"OR6N1"	-0.0708245757926385
"CCL11"	"CCL11"	0.739693877433755
"CTSG"	"CTSG"	0.459110496548891
"CLVS2"	"CLVS2"	-0.115229469512919
"CLEC9A"	"CLEC9A"	0.211860324469713
"CHRDL1"	"CHRDL1"	-0.0781444825625088
"OR2M4"	"OR2M4"	-0.0631483782370697
"C16orf78"	"C16orf78"	-0.0885989144160757
"SSFA2"	"SSFA2"	0.292264623910832
"SLC39A8"	"SLC39A8"	-0.233334464417252
"AMICA1"	"AMICA1"	-0.280488295102219
"TPSAB1"	"TPSAB1"	0.732232793379676
"C11orf96"	"C11orf96"	0.536195651292485
"OR2B11"	"OR2B11"	-0.0483933918495827
"SEC14L3"	"SEC14L3"	0.375123778830502
"GPATCH2"	"GPATCH2"	-0.180127835718604
"SI"	"SI"	-0.0600828535933358
"HAND1"	"HAND1"	1.83233545919584
"SLC5A4"	"SLC5A4"	-0.758539960196566
"MS4A10"	"MS4A10"	-1.62230264675614
"HHIP"	"HHIP"	-0.340037143627144
"RGS9"	"RGS9"	-0.12788677844837
"PIK3CG"	"PIK3CG"	-0.714766707351215
"TMEM119"	"TMEM119"	-0.21458215800693
"MYOCD"	"MYOCD"	0.425308411669311
"CHRD"	"CHRD"	-0.433929139395778
"PTGDR2"	"PTGDR2"	-0.0112755361340749
"RP5.877J2.1"	"RP5.877J2.1"	0.510349885234529
"ECT2L"	"ECT2L"	-0.86721733395819
"FLT3"	"FLT3"	0.358697744915175
"SLC11A1"	"SLC11A1"	-0.487650875416337
"RP1.179P9.3"	"RP1.179P9.3"	-0.120934102424058
"RAB3C"	"RAB3C"	-0.185092059553928
"MSRA"	"MSRA"	-0.0223662847549524
"RS1"	"RS1"	-0.145202885171725
"DMPK"	"DMPK"	0.732880773932517
"FLNA"	"FLNA"	0.064206418290284
"KLF17"	"KLF17"	0.893376118026693
"OMD"	"OMD"	-0.121202984739258
"HBM"	"HBM"	-0.431954692718851
"CCL23"	"CCL23"	-0.444803627258427
"ETNK1"	"ETNK1"	-0.906867917432497
"TNN"	"TNN"	0.0412260257889071
"CD300LF"	"CD300LF"	0.211889566747128
"AGL"	"AGL"	0.211614897843289
"NLRP5"	"NLRP5"	-0.184281242268674
"POTEJ"	"POTEJ"	-0.0483933918495827
"AKAP12"	"AKAP12"	-0.072717535699452
"COL6A6"	"COL6A6"	2.54261293967283
"P2RY14"	"P2RY14"	1.07512411663913
"SLC10A2"	"SLC10A2"	-0.128842926966375
"LGALS9B"	"LGALS9B"	-0.333861827367076
"PLA2G1B"	"PLA2G1B"	-0.400586578034698
"C6orf229"	"C6orf229"	-0.438926853088191
"CEACAM8"	"CEACAM8"	-1.19047923621514
"NCF4"	"NCF4"	0.890048561239507
"GPR17"	"GPR17"	-0.337924259588311
