"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"State"	"MaxFC"	"InitialState"
"PI16"	"PI16"	-0.472278373537569	0.166918463564692	-0.0228058649480405	1.81375437719344	-0.202312060178632	0.231439416259309	-0.0793590377565494	-0.275825506840839	"S01"	1.81375437719344	"IS04"
"FHL5"	"FHL5"	-0.78192434581247	0.13592017350304	-0.0158844721632485	1.80243793660299	0.116692860788551	0.563876406182077	0.166070068057347	-0.134655417818301	"S01"	1.80243793660299	"IS04"
"ABCA8"	"ABCA8"	-0.949310866928597	0.418406696914005	0.0331330832202944	1.79148250291307	0.125150979196587	0.70094375578926	0.0755450434888544	-0.0541606948553456	"S01"	1.79148250291307	"IS04"
"ASPA"	"ASPA"	-0.652441844889744	0.108667140427223	0.0992921480005244	1.7883111421184	-0.165697996609887	0.527446437510195	-0.0928923255585329	-0.018203145847945	"S01"	1.7883111421184	"IS04"
"PDE2A"	"PDE2A"	-0.702702047638659	0.196891948484005	-0.0534643803150231	1.75949355099008	0.0424124784939727	0.252700668972227	0.0884358028030659	-0.102810122424413	"S01"	1.75949355099008	"IS04"
"FIGF"	"FIGF"	-0.507543453744217	0.0355454018247618	0.0113726950511238	1.75891941195608	-0.275540066606635	0.616244656144699	-0.126946857586771	-0.114600897619582	"S01"	1.75891941195608	"IS04"
"MYOCD"	"MYOCD"	-0.568907240656645	-0.0512173982911412	-0.091717797613891	1.7393092229628	0.0260888984801134	0.42165609698947	-0.029609338284874	-0.120242610988469	"S01"	1.7393092229628	"IS04"
"SCN7A"	"SCN7A"	-0.695747905019443	0.111127116174282	-0.0667282864760125	1.70303913067479	0.120966570125913	0.555397584796388	-0.0733861324342687	-0.0897734670669014	"S01"	1.70303913067479	"IS04"
"DES"	"DES"	-0.438543250109201	-0.055864470782298	-0.168337250996679	1.69096593743888	-0.033148429706079	0.370771135213436	-0.0847908406731313	-0.222581000940913	"S01"	1.69096593743888	"IS04"
"CPED1"	"CPED1"	-0.745933966050889	0.155587527371772	-0.0417745644122281	1.68632321215152	0.32343951622363	0.248855771542168	0.0760242332720657	-0.166067176974943	"S01"	1.68632321215152	"IS04"
"ACTG2"	"ACTG2"	-0.420596641142157	-0.159622960684187	-0.112984466287873	1.66806200256791	0.170527671154925	0.12201112897479	-0.0498133478216979	-0.280147844385531	"S01"	1.66806200256791	"IS04"
"SVEP1"	"SVEP1"	-0.844384947233769	0.295152891610189	-0.130227755295192	1.59934163972613	0.489008536766161	0.380372772652137	0.162215775417181	-0.225702906181074	"S01"	1.59934163972613	"IS04"
"KIAA0408"	"KIAA0408"	-0.718190361981491	0.125630905783607	-0.053035213705042	1.5975254378443	0.17590818412602	0.556041686274818	0.00363398668374348	-0.0747975428387329	"S01"	1.5975254378443	"IS04"
"ACTA2"	"ACTA2"	-0.530834746305266	-0.103856820032924	-0.189912897447859	1.58713710104968	0.561404503229492	-0.0659544807425274	-0.0365246533914878	-0.309238237960776	"S01"	1.58713710104968	"IS04"
"F10"	"F10"	-0.504527461545207	0.0423776182421715	0.278545401122679	1.58116452156018	-0.0817943786203535	0.285245047393143	-0.0931725509801828	-0.154081122484641	"S01"	1.58116452156018	"IS04"
"NECAB1"	"NECAB1"	-0.74751023237141	0.0838179495822453	0.00141345810602731	1.54458283827999	0.19839143725135	0.618046314672342	-0.0432499690613447	0.0183085271972891	"S01"	1.54458283827999	"IS04"
"CFD"	"CFD"	-0.474881826954769	0.338566688375139	-0.00900166120798685	1.50845044958769	-0.217282577933526	0.422422375799859	0.0800965184856838	-0.333917210957323	"S01"	1.50845044958769	"IS04"
"MASP1"	"MASP1"	-0.486286775422345	0.0147021764350008	-0.00255789278356378	1.48922304202652	-0.0799503582243413	0.122877128061695	0.118259778088742	-0.0813671939044272	"S01"	1.48922304202652	"IS04"
"CMA1"	"CMA1"	-0.65523383882776	0.625456352117452	0.00108083432408053	1.47926696531798	-0.0287870695739408	0.236689198211665	0.0561249050652849	-0.288463041866223	"S01"	1.47926696531798	"IS04"
