"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"State"	"MaxFC"
"OR6N1"	"OR6N1"	0.22903797751743	-0.0285040015141791	-0.0224940204835966	-0.0227539502584201	-0.0224444029462105	"IS01"	0.22903797751743
"ATG5"	"ATG5"	0.132748703888046	-0.0350996373284608	0.0800832793483746	-0.041491671077802	-0.0913590824806357	"IS01"	0.132748703888046
"HCCS"	"HCCS"	0.113552673339965	-0.0230800585849156	-0.0102407244980723	-0.0215565980849521	0.0061469902059592	"IS01"	0.113552673339965
"RREB1"	"RREB1"	0.109555564224517	-0.101531817592479	0.0534913709169768	0.0401578009064125	0.0406009134540454	"IS01"	0.109555564224517
"PGAM4"	"PGAM4"	0.109194920140108	0.0524401232605701	-0.173615572185639	0.00380403133229928	0.0803342990117395	"IS01"	0.109194920140108
"ARPC2"	"ARPC2"	0.0506598401610332	-0.0579796767198715	0.031269348711549	0.0327422619182395	0.0247244710325971	"IS01"	0.0506598401610332
"ARHGAP31"	"ARHGAP31"	0.027657012446576	0.296987534699865	-0.264287632595916	-0.0391132400212483	-0.168049508171298	"IS02"	0.296987534699865
"SLA"	"SLA"	0.00845955192252003	0.228647412969566	-0.248598276716948	-0.120183730824517	-0.0374966184207835	"IS02"	0.228647412969566
"TAS2R40"	"TAS2R40"	-0.187454538144672	0.217291262369754	-0.212071341148543	-0.0772819249078185	0.0130067413708251	"IS02"	0.217291262369754
"CLEC4A"	"CLEC4A"	-0.0309051278686439	0.147360423160195	-0.0562998620180104	-0.204415244786634	-0.0999036483010378	"IS02"	0.147360423160195
"RAB5C"	"RAB5C"	-0.0594745660898217	0.109022050032081	-0.0594259859775357	-0.00260653647935455	-0.0809037595716111	"IS02"	0.109022050032081
"SIGLEC7"	"SIGLEC7"	0.0322909452008134	0.0757802953995196	-0.123448239245347	0.0694664655730809	-0.0081490446899798	"IS02"	0.0757802953995196
"INHBA"	"INHBA"	-0.088306100527785	-0.442294145807044	0.84196978741323	-0.286620182672311	-0.191461682249738	"IS03"	0.84196978741323
"TNFAIP6"	"TNFAIP6"	-0.174602221854787	-0.536908694161597	0.837593112931618	-0.227162815365158	-0.00357008376237414	"IS03"	0.837593112931618
"DIRC1"	"DIRC1"	-0.117498693492827	-0.444399894656846	0.781598452613914	-0.192600357999365	-0.126806841363125	"IS03"	0.781598452613914
"MMP12"	"MMP12"	-0.156571313192621	-0.369274342891525	0.771158523715924	0.0431720157315811	-0.297075668385903	"IS03"	0.771158523715924
"IRG1"	"IRG1"	-0.0040424757311079	-0.402396336904101	0.724010512874455	0.0576746091728769	-0.256272244954885	"IS03"	0.724010512874455
"WISP1"	"WISP1"	-0.0489657225795379	-0.468154693157804	0.705915722238326	-0.143931434734434	-0.0371089916321907	"IS03"	0.705915722238326
"PRF1"	"PRF1"	0.100272038899465	-0.632508392118107	0.690241355612206	-0.0942451010063406	0.177015767506514	"IS03"	0.690241355612206
"SULF1"	"SULF1"	-0.0397995698955456	-0.390460497396047	0.683704863316745	-0.157282427622059	-0.140872636998853	"IS03"	0.683704863316745
"SIGLEC5"	"SIGLEC5"	0.0710437052385186	-0.641324893815982	0.667819661325661	0.0285005229721117	0.195635163751004	"IS03"	0.667819661325661
"KLRD1"	"KLRD1"	-0.00449732051912925	-0.473608165729734	0.656450629662858	-0.0780005700712872	-0.00617831910501333	"IS03"	0.656450629662858
"LUM"	"LUM"	-0.0777166082474954	-0.496426332506925	0.649078657483386	-0.263601240901801	0.134485863270812	"IS03"	0.649078657483386
"FPR2"	"FPR2"	0.179535604889233	-0.662526762493801	0.644197679698656	0.207653490706885	0.154914626077778	"IS03"	0.644197679698656
