"IS01"	"IS02"	"IS03"	"IS04"	"IS05"
"C5AR1__pos"	18.7881885936493	3.54864915857844	56.5969607623438	1.14991148401158	30.8191201997784
"RP11.96O20.4__pos"	2.22044604925031e-16	11.4875702447695	35.3116692815905	23.5438592534292	7.61235314496545
"KATNBL1__pos"	0.517920798769865	23.1914279244858	25.1455599938847	22.5084161123674	10.9243100858701
"KLRC4__pos"	5.03713498737419	2.22044604925031e-16	68.9102949460156	2.22044604925031e-16	7.20924398529647
"GRAMD1B__pos"	0.541845674977568	2.22044604925031e-16	11.3143492189022	78.1239739749315	2.35135242803524
"REG1B__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	67.3368888770833	2.22044604925031e-16
"GRIN3B__pos"	82.9783928521904	15.3364233537849	25.187561748042	6.1051950881908	2.22044604925031e-16
"ALAS2__pos"	12.660556677393	12.9804577458492	15.9930807924492	17.6930945760202	61.5777432183909
"RAB5C__pos"	2.10736053292966	36.9143669491989	13.2963295085933	2.85478967440042	7.74776541934478
"NCR1__pos"	11.6405596623708	4.99811757062507	62.2423065399527	12.1965037801435	19.7018896689423
"GSX1__pos"	54.7757519604255	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"DTHD1__pos"	76.5740058173712	2.22044604925031e-16	39.0155765373137	2.22044604925031e-16	0.838055289047205
"AC011513.3__pos"	2.22044604925031e-16	2.22044604925031e-16	4.87008849373083	97.5704074809937	2.22044604925031e-16
"TMIGD3__pos"	2.92852771946228	22.944092669237	56.4372452964914	2.22044604925031e-16	6.24895363371039
"HBB__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	92.2531587749549
"CD69__pos"	3.3507713250849	1.62436877802021	57.7799917420648	2.22044604925031e-16	38.9794766335264
"AZU1__pos"	125.849048014184	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"DAZL__pos"	2.20612064610634	2.22044604925031e-16	56.881132739001	2.22044604925031e-16	0.140959406974953
"ADH4__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	70.4687129317302	33.2504935920706
"STXBP1__pos"	4.64159962155899	31.2567603816694	26.6480091879184	2.12413845615817	25.8463230107016
"C8A__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	122.192059280437	2.22044604925031e-16
"TGIF2LY__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	79.5262983916072	2.22044604925031e-16
"COL15A1__pos"	0.000976154574530298	2.22044604925031e-16	71.4636080413281	2.22044604925031e-16	29.8728591089599
"HBA2__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	0.179461823035846	99.6426399969762
"PGLYRP1__pos"	19.2562441057216	8.54321146208785	13.6611132087745	16.6695015428598	40.5321428193635
"TMEM190__pos"	114.779818376749	2.22044604925031e-16	2.22044604925031e-16	0.941441406104285	2.22044604925031e-16
"AADACL4__pos"	36.3787161690419	3.15089987407459	6.98570613973123	11.3061558770385	55.8740668503151
"HBA1__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	94.6128699240589
"RGS18__pos"	2.78634291789225	20.9248410745585	51.5235158200149	0.127314985374663	26.608615438321
"OPN3__pos"	2.81468294319526e-11	21.3670682647579	28.6763336824266	9.18437162423005	1.57573284281008
"CYP2C9__pos"	6.4252057423871	13.2021524213132	1.02891619377508	72.541810777867	12.9885208746704
"AKAP4__pos"	1.56062448184733	2.22044604925031e-16	2.22044604925031e-16	83.3249153589088	17.0745566541081
"TMX2.CTNND1__pos"	5.484965908595	7.46856459960742	40.1378955429414	11.2864663968841	46.6927954784062
"AKAP12__pos"	2.22044604925031e-16	2.22044604925031e-16	23.7752247850692	0.873719451482623	71.5422189866775
"RNASE6__pos"	4.38544596026698	30.4597825522149	39.3502745183516	0.777394258651872	17.8543199562823
"FPR2__pos"	11.5641287257863	2.22044604925031e-16	68.8900037493325	16.7263609407179	22.3393491353677
"LRRC28__pos"	3.54466917564783	35.0405960709788	25.3285715859881	8.8177149832239	28.0391113895267
"OR10K2__pos"	38.8810453787501	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"CPB2__pos"	22.0513338319373	5.81150181773299	2.22044604925031e-16	71.6823340243291	5.57603466283373
"CYP3A7__pos"	5.39306611928613	13.6650528721705	8.77048556473817	38.0780210675929	44.8288009539805
"KIR3DX1__pos"	52.9686397717789	8.32275143755806	24.2540062557596	8.91479699638345	10.1662365379842
"SCGB1A1__pos"	81.1093985448565	2.22044604925031e-16	2.22044604925031e-16	7.74661503177585e-06	7.19267234875386
"LRRC32__pos"	1.99498171821783	18.1720368409122	35.0626239538425	1.58104065256752	36.2365193323196
"WISP1__pos"	3.54385145862611	0.310292090973253	93.2606870158379	2.22044604925031e-16	2.34194440336763
"CAPZA2__pos"	2.22044604925031e-16	22.5810900779927	24.41211860021	0.0698449423619427	10.792559741664
"SPINK4__pos"	2.22044604925031e-16	7.55551289740432	2.22044604925031e-16	92.2549825810312	2.22044604925031e-16
"SIRPB1__pos"	5.83446972371802	16.4878932426085	56.4748836368913	10.678306969891	14.8233159212663
"TPM3__pos"	5.33188467638158	39.3990145422697	21.3505761060753	8.83035243889376	16.8408803628739
"MMP12__pos"	2.22044604925031e-16	2.22044604925031e-16	75.7980170895392	0.706213720661321	2.22044604925031e-16
"PRF1__pos"	8.17218968927716	2.22044604925031e-16	81.0068764345828	1.14814941670659	16.6371392487003
"DKK2__pos"	8.27567243307898	2.22044604925031e-16	25.67651034778	2.22044604925031e-16	42.2860885247809
"CYBB__pos"	4.27028584958068	14.6508052607368	58.7080845100789	6.69640930848897	15.4864874280104
"OR5F1__pos"	43.3258377252652	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"OR8H2__pos"	48.3139167178314	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"SCN7A__pos"	9.55209472326507	2.22044604925031e-16	12.5582514709689	2.22044604925031e-16	80.083832957986
