"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"State"	"MaxFC"	"InitialState"
"AKAP12"	"AKAP12"	-0.0924225107650197	-0.597565275756506	0.201506612405238	-0.0678542063635319	0.822767114281271	"S02"	0.822767114281271	"IS05"
"IL6"	"IL6"	-0.0721196253824141	-0.640307017036064	0.349623677690466	-0.134933313908094	0.718032664614606	"S02"	0.718032664614606	"IS05"
"CCDC141"	"CCDC141"	0.0906858087026795	-0.583593039633055	0.239617828437393	-0.0685319072389943	0.66527092338617	"S02"	0.66527092338617	"IS05"
"ALAS2"	"ALAS2"	0.178433064406609	-0.40375874086735	-0.0672229412448299	0.093198064582002	0.659450658001755	"S02"	0.659450658001755	"IS05"
"PTX3"	"PTX3"	-0.0309633559491216	-0.486527558468137	0.173761000336537	-0.0909740287658802	0.648104083096206	"S02"	0.648104083096206	"IS05"
"CLDN5"	"CLDN5"	-0.00856758751487177	-0.320076572437399	-0.0249130273392286	-0.126420801484452	0.619459940717091	"S02"	0.619459940717091	"IS05"
"SFTPC"	"SFTPC"	0.0491706415424941	-0.203464059569154	-0.184035684100559	-0.0874464096766506	0.585170895565873	"S02"	0.585170895565873	"IS05"
"CXCL2"	"CXCL2"	-0.00409257243780624	-0.465844613557628	0.121864094497451	0.181275406168324	0.581051047188512	"S02"	0.581051047188512	"IS05"
"GRASP"	"GRASP"	0.170764648352279	-0.371430780356091	0.00680874155029875	-0.0791230055427884	0.567805258506162	"S02"	0.567805258506162	"IS05"
"MEDAG"	"MEDAG"	-0.130014653538663	-0.576887065478761	0.465515058195479	-0.191217408845043	0.507059479449124	"S02"	0.507059479449124	"IS05"
"RGCC"	"RGCC"	0.00330090470703139	-0.287632162113861	0.000581970742208346	-0.0442878773475338	0.500437130150364	"S02"	0.500437130150364	"IS05"
"MPO"	"MPO"	0.248136450642422	-0.631087429653597	0.359663079411845	0.0359622557236397	0.486569265454236	"S02"	0.486569265454236	"IS05"
"MUSK"	"MUSK"	0.13651607606807	-0.402308083883794	0.112105068299055	-0.0274660609807251	0.485637202890999	"S02"	0.485637202890999	"IS05"
"GIMAP5"	"GIMAP5"	-0.063659338503348	-0.480565899172604	0.306522733151145	-0.0966433378468457	0.485588566791285	"S02"	0.485588566791285	"IS05"
"CXCR1"	"CXCR1"	-0.0165228614096566	-0.615958089671668	0.385044711664305	0.261411823827554	0.480925060758033	"S02"	0.480925060758033	"IS05"
"AGER"	"AGER"	0.419506862313949	-0.254879482980646	-0.17651823638486	-0.0128823038723758	0.466916859138084	"S02"	0.466916859138084	"IS05"
"DKK2"	"DKK2"	0.0642894463674022	-0.413906732929426	0.237913897456048	-0.165510789744335	0.421880407903183	"S02"	0.421880407903183	"IS05"
"NDNF"	"NDNF"	-0.0102379097133094	-0.332192638112899	0.0855032389317281	0.122539590879099	0.42165605231174	"S02"	0.42165605231174	"IS05"
"CYP3A7"	"CYP3A7"	0.170513810581581	-0.278068937665837	-0.0852418019588592	0.312549703152018	0.403569881322086	"S02"	0.403569881322086	"IS05"
"PGLYRP1"	"PGLYRP1"	0.284413609979357	-0.289146627488731	-0.0323826803097936	-0.00315821760036988	0.401132582415003	"S02"	0.401132582415003	"IS05"
"CCL23"	"CCL23"	-0.0103670557668996	-0.408799023217919	0.265251812919415	0.0376544850955473	0.349228914255024	"S02"	0.349228914255024	"IS05"
"COL6A6"	"COL6A6"	0.0194500812271418	-0.416696207883213	0.303058638870253	-0.117094544696873	0.349169095041141	"S02"	0.349169095041141	"IS05"
"HIGD1B"	"HIGD1B"	0.0525797847838402	-0.197589151547722	0.0202920454806324	-0.198599559597809	0.347825080700615	"S02"	0.347825080700615	"IS05"
