"V1"	"TCGA.FD.A5C0.01A.11R.A28M.07"
"ANKRD1"	"ANKRD1"	-0.492638695841975
"SPX"	"SPX"	-0.521769672878994
"SERTM1"	"SERTM1"	0.551552388745305
"ITIH4"	"ITIH4"	-0.759554580511998
"VIP"	"VIP"	-0.185897072465333
"KIAA0408"	"KIAA0408"	0.245493332653838
"TMEM100"	"TMEM100"	-0.0537042181116123
"PDK4"	"PDK4"	0.921857655229314
"PRELP"	"PRELP"	1.1055877086758
"SVIL"	"SVIL"	0.330707640656886
"SEMA3G"	"SEMA3G"	0.216527664527526
"AQP4"	"AQP4"	-0.111045238995278
"PLN"	"PLN"	1.96065785523602
"BARX1"	"BARX1"	1.60967603539005
"DNASE2B"	"DNASE2B"	0.0124479491727482
"ARHGEF6"	"ARHGEF6"	1.08540980279181
"PASK"	"PASK"	0.392310230778522
"CD27"	"CD27"	-0.485435929672345
"GAS7"	"GAS7"	0.181919410305592
"MRGPRF"	"MRGPRF"	0.0584852415218688
"MAMDC2"	"MAMDC2"	0.906241710249937
"CHD4"	"CHD4"	-0.0182169740231475
"EFCAB13"	"EFCAB13"	-0.701271507358293
"PALM2.AKAP2"	"PALM2.AKAP2"	0.70229829416483
"ORMDL3"	"ORMDL3"	0.496916479227621
"MTURN"	"MTURN"	-0.265654771361909
"PLPP7"	"PLPP7"	1.49296374925006
"SLC47A1"	"SLC47A1"	-0.568568218542012
"SPINK2"	"SPINK2"	0.338519358444878
"LRRN4CL"	"LRRN4CL"	0.826550832273259
"GPR183"	"GPR183"	0.373529541992716
"DIO2"	"DIO2"	-0.221658378109589
"TIMP4"	"TIMP4"	-0.521845239932533
"OLFML1"	"OLFML1"	-0.495287874790558
"GPM6A"	"GPM6A"	-0.82484515958167
"C10orf10"	"C10orf10"	1.04276011110519
"CASQ1"	"CASQ1"	-0.147351709962165
"EDNRB"	"EDNRB"	-0.101561906984108
"KLB"	"KLB"	0.391094675375557
"DACT3"	"DACT3"	1.53129522294839
"MT1A"	"MT1A"	-0.343600409447293
"STAC3"	"STAC3"	-0.99860416827656
"FOXF2"	"FOXF2"	-0.784333088878209
"LRRC39"	"LRRC39"	-0.574228151202767
"PRKAR2B"	"PRKAR2B"	-0.151414039174652
"DIO1"	"DIO1"	-0.0842497436575307
"SVEP1"	"SVEP1"	0.149668029287207
"KCNK17"	"KCNK17"	0.221555826911681
"STX11"	"STX11"	-0.0985797071260767
"GRID1"	"GRID1"	-0.431498074282267
"CCDC146"	"CCDC146"	-0.439462705255886
"GPIHBP1"	"GPIHBP1"	-0.024955942312447
"APOB"	"APOB"	-0.322225775118715
"ESM1"	"ESM1"	-0.739455725131796
"RBM48"	"RBM48"	-0.123347064335043
"CLEC3B"	"CLEC3B"	0.0078343649975257
"THSD7A"	"THSD7A"	1.37033573219892
"SYNM"	"SYNM"	0.251119168900561
"GSTT2B"	"GSTT2B"	-0.684372139872642
"DUSP26"	"DUSP26"	-0.22392813820067
"SERPINF2"	"SERPINF2"	1.45015433140285
"LAMA4"	"LAMA4"	0.0884215732145339
"SRD5A2"	"SRD5A2"	-0.237074699951553
"DGAT2"	"DGAT2"	0.335538996116063
"HRC"	"HRC"	-0.19056709289212
"P2RY14"	"P2RY14"	0.443850302265954
"CA4"	"CA4"	-0.296763314951492
"ITGA7"	"ITGA7"	-0.0353377037842744
"SLC4A5"	"SLC4A5"	-0.868743228841167
"EHHADH"	"EHHADH"	-0.590271547023588
"C1orf162"	"C1orf162"	0.281865931444246
"CAV1"	"CAV1"	-0.660508778112257
"CLDN5"	"CLDN5"	0.498177148097217
"CFHR1"	"CFHR1"	-0.905199845655231
"SLC5A5"	"SLC5A5"	0.573798080097296
"SLC25A4"	"SLC25A4"	-0.0747217557416623
"ASB2"	"ASB2"	-0.376020245453891
"SMIM10L2A"	"SMIM10L2A"	0.768807558752217
"SLC7A2"	"SLC7A2"	-0.486491906253587
"TPM2"	"TPM2"	0.104415522179689
"ART4"	"ART4"	-0.423610353055798
"ACACB"	"ACACB"	0.0310146129033604
"LEFTY2"	"LEFTY2"	0.753991028107463
"MRVI1"	"MRVI1"	-0.470322146966679
"SMYD1"	"SMYD1"	-0.173656966304102
"ADGRD1"	"ADGRD1"	0.346170884241601
"HRASLS5"	"HRASLS5"	-0.149422030872352
"SPOCK3"	"SPOCK3"	-0.204064115141536
"FAM167B"	"FAM167B"	-0.329120161927023
"PPP1R32"	"PPP1R32"	-0.496048580194973
"APOD"	"APOD"	-0.292587465776033
"GDF10"	"GDF10"	0.09982586902482
"ENPP2"	"ENPP2"	-0.36815123878945
"CHRDL1"	"CHRDL1"	-0.236457085222246
"PRKCB"	"PRKCB"	-0.236187171873475
"DDR2"	"DDR2"	0.491447195851806
"KRT85"	"KRT85"	-0.0618144459759356
"CALD1"	"CALD1"	-0.117254584584419
"PGM1"	"PGM1"	2.73637750922491
"TMEM38A"	"TMEM38A"	0.771379367462485
"LCAT"	"LCAT"	0.273819562709995
"MYOM2"	"MYOM2"	-0.192853714189898
"PLGLB1"	"PLGLB1"	-0.219753017722171
"TRIM54"	"TRIM54"	0.202460246881941
"PRUNE2"	"PRUNE2"	0.394242622362139
"SELE"	"SELE"	1.53971858130775
"BAIAP3"	"BAIAP3"	1.40608395718752
"HSD17B13"	"HSD17B13"	-0.0258488376996727
"INS"	"INS"	-0.0678274917221443
"CAT"	"CAT"	1.05535509265082
"CSDC2"	"CSDC2"	1.17760540963059
"KCNH2"	"KCNH2"	0.432742552917202
"CYP2C8"	"CYP2C8"	0.407636935882889
"SLC7A10"	"SLC7A10"	-0.475125706265579
"CD300LG"	"CD300LG"	-0.547290903865487
"SNRPN"	"SNRPN"	0.379702555709051
"DPT"	"DPT"	0.114273228938238
"MFAP5"	"MFAP5"	-0.453022951499351
"TXLNB"	"TXLNB"	-0.594769813454527
"FAM133B"	"FAM133B"	-0.300720630198733
"MCAM"	"MCAM"	-0.32765331630553
"LGALS12"	"LGALS12"	-0.392153298277618
"TMEM215"	"TMEM215"	2.41592768998474
"C10orf128"	"C10orf128"	-0.959395547303321
"MASP1"	"MASP1"	0.286777809611458
"SERPINC1"	"SERPINC1"	-0.135929401964989
"BMP8A"	"BMP8A"	-0.501776785972487
"SORBS1"	"SORBS1"	1.56469767424504
"NEXN"	"NEXN"	0.477243246419059
"SLIT1"	"SLIT1"	-0.28172303680109
"PGA4"	"PGA4"	-0.0816820468011175
"TACR2"	"TACR2"	2.08462573303567
"KLRB1"	"KLRB1"	0.232298129833726
"DEFB132"	"DEFB132"	-0.158399461249767
"PARVA"	"PARVA"	-0.228157575057463
"FHL1"	"FHL1"	0.560972370646683
"ERO1B"	"ERO1B"	0.0511070278424237
"LHPP"	"LHPP"	2.69035174529945
"SLC2A2"	"SLC2A2"	-0.134305840581394
"GIMAP7"	"GIMAP7"	0.115091849138187
"PECAM1"	"PECAM1"	0.412337147128005
"C19orf80"	"C19orf80"	-0.340698015522555
"GNAO1"	"GNAO1"	0.184979079220505
"F2RL3"	"F2RL3"	-0.298256592477809
"CRHBP"	"CRHBP"	-0.357787593285366
"APOA2"	"APOA2"	-0.351428687517675
"RBPMS2"	"RBPMS2"	1.1840501621095
"TMEM9B"	"TMEM9B"	-0.0953852874879788
"CEBPA"	"CEBPA"	2.5646102900553
"DEFB131"	"DEFB131"	-0.303455393508868
"GPR146"	"GPR146"	0.160212835167276
"RHBDD2"	"RHBDD2"	0.582774858616925
"RERGL"	"RERGL"	0.0715901787403466
"RIMKLB"	"RIMKLB"	-0.0197853289440302
"CNRIP1"	"CNRIP1"	0.106923153719948
"GABRD"	"GABRD"	-1.12900095534293
"DPP6"	"DPP6"	-0.411069434739624
"HP"	"HP"	-0.122753450347265
"ALB"	"ALB"	-0.344795858213367
"INPP5J"	"INPP5J"	-0.776989303786562
"SARDH"	"SARDH"	-0.289594576200312
"MYH2"	"MYH2"	-0.0805051570091838
"KDM8"	"KDM8"	0.591431115774587
"FBLN2"	"FBLN2"	-0.356963258258282
"KCNJ2"	"KCNJ2"	-0.881837568723972
