"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"
"CIDEC__pos"	65.1361969588877	2.22044604925031e-16	5.1998345975011	1.65147201307749	2.22044604925031e-16	50.6932512047397
"PYGM__pos"	59.6617005954062	6.78178192614176	9.71829374340036	0.00510975198483652	23.6190786574506	41.0829660703782
"SLCO2B1__pos"	5.15174433633799	41.9135441839371	100.205582224992	0.743970558125994	0.915707871838774	9.57842115926299
"APOM__pos"	5.9532995425161	16.0983540833462	22.8547404993313	31.8687825040889	16.0790428676503	21.9640129148438
"ATP2A1__pos"	2.22044604925031e-16	2.22044604925031e-16	27.5817997097845	12.6372468559703	83.6530263598961	52.8034877655748
"ACTA2__pos"	64.1351873900142	68.5987279947265	8.97417061103162	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"PALMD__pos"	77.8084838561882	20.6123696223822	22.656749901559	13.25201715386	2.70315818570269	1.40697223907133
"RBP4__pos"	54.3710664551056	3.00102410016024	27.9581143091503	8.01586570171587	13.6729703838799	35.0173843274066
"NEB__pos"	1.21063837110647	16.1591829773859	10.9488405441268	4.75081747820148	73.3906060013982	70.6252970075794
"LDB3__pos"	62.1941701770793	8.78220583764623	0.726613682283015	2.2264021060407	7.95809304273717	52.8330763803716
"HBA2__pos"	65.0280953677509	2.22044604925031e-16	42.0546421712483	12.8180064075516	2.22044604925031e-16	4.43760848750357
"TNFAIP8L3__pos"	53.7875813139163	43.7146302688478	27.8356585323229	11.1584487735737	4.31059017540207	6.36995029625083
"TRDN__pos"	49.3317904150179	6.20035131141338	2.22044604925031e-16	8.41043495945601	13.4831703600597	73.4446868927547
"C6__pos"	61.5921992004804	2.22044604925031e-16	50.759618623906	0.680520149375722	10.6818103487309	23.237588879562
"CHRDL2__pos"	28.4277689822271	41.8843734674019	46.2231909361335	13.4713527433593	2.8908021799231e-12	24.9582378387029
"ITGA8__pos"	57.0148527728419	32.8049453035148	43.5743157593204	6.29286547153721e-13	8.21176083390742	2.55772124548618
"PPP2R1B__pos"	19.7651093196334	57.9376517065715	3.07875891768108e-05	9.69014816555919	53.6952115795213	2.57146086502071
"HBA1__pos"	65.0526388362464	2.22044604925031e-16	38.847955292966	12.0789312561613	2.22044604925031e-16	4.94984982886981
"SLC27A5__pos"	2.18672585220961	11.6368280014249	21.6248167195651	52.447832706709	26.7193003860334	5.35745682956922
"MYZAP__pos"	83.5970671731598	5.53028484654785	20.3391719983327	19.271457247175	1.76487373686523	5.40256603615649
"FMO2__pos"	74.841464717952	12.7840842052808	47.2317975963447	2.6876403258221	2.10816482946956	2.22044604925031e-16
