"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"State"	"MaxFC"	"InitialState"
"CA4"	"CA4"	-0.766644452791651	1.82798743930889	0.927644500616293	-0.00997001357742902	-0.67266636281437	-0.376556276095047	0.151265790253312	-0.856246661415048	"S01"	1.82798743930889	"IS02"
"SPTBN1"	"SPTBN1"	0.0324175646704045	1.82168156346273	0.377196253330496	-0.341277914901555	-0.303600079474004	-1.48513181517693	0.222119874698659	-0.422142406821887	"S01"	1.82168156346273	"IS02"
"GPR146"	"GPR146"	-0.0491305276222284	1.81999650154509	0.516439010688951	-0.678199156925823	-0.208426185641047	-0.873081966157247	-0.1843622385722	-0.415926223314954	"S01"	1.81999650154509	"IS02"
"FAM107A"	"FAM107A"	-0.537042435016223	1.81384529278714	1.00685422955264	-0.449092299950014	-0.412568077617089	-0.854480217458767	0.510983014873843	-1.01567771021913	"S01"	1.81384529278714	"IS02"
"AGER"	"AGER"	-0.777600184306678	1.80364068070904	1.31142253423659	-0.0162103005925599	-0.568147001371093	-0.705041266714483	-0.0159858611080649	-0.933387123124653	"S01"	1.80364068070904	"IS02"
"NOTCH4"	"NOTCH4"	-0.1049978664802	1.80298833899054	0.428018543686084	-0.107132523110929	0.0407773054002207	-0.839820353378134	-0.31456677111243	-0.8358177543018	"S01"	1.80298833899054	"IS02"
"OTC"	"OTC"	-0.702145781621005	1.78050979987867	0.157975142292386	-0.259900938711817	-0.270887562865744	-0.578662016591199	0.506285344940336	-0.510975793192455	"S01"	1.78050979987867	"IS02"
"IL1RL1"	"IL1RL1"	0.0572332941256161	1.77598492970893	0.620318680330979	-0.617629699680099	-0.495581131397986	-0.448915141908387	0.0972578771069506	-0.838550634254467	"S01"	1.77598492970893	"IS02"
"GPIHBP1"	"GPIHBP1"	-0.258744541068327	1.76990938983217	1.26997275871184	-0.207154031954767	-0.651685240359551	-0.726721437053435	0.223794601782605	-1.24812538158598	"S01"	1.76990938983217	"IS02"
"PALMD"	"PALMD"	-0.106198688164424	1.76968589109508	0.29665766787491	-0.928870935781111	-0.390635816095288	-0.395842822765524	0.235149935330311	-0.425507320006544	"S01"	1.76968589109508	"IS02"
"SLC6A4"	"SLC6A4"	-0.808079738607899	1.75971225425059	0.816309504874929	-0.609852298863982	0.174922076566695	-0.708417543040436	-0.414805400675543	-0.381638379158389	"S01"	1.75971225425059	"IS02"
"FCN3"	"FCN3"	-0.624027569718938	1.75742951115101	1.10672091382519	-0.232857424134049	-0.742142145736329	-0.230763693959561	0.0563932323472762	-0.880705671409595	"S01"	1.75742951115101	"IS02"
"PRSS35"	"PRSS35"	-0.432628425353516	1.75696556882895	0.164424487059805	-0.538762473090618	-0.14545868517531	-0.442844730336181	-0.0628314322899284	-0.271222117537116	"S01"	1.75696556882895	"IS02"
"FHL1"	"FHL1"	-0.304291513541664	1.75162323010871	0.811485408187864	-0.936957901823379	-0.118589082256984	-0.735483923066565	0.356592880668124	-0.863319289083727	"S01"	1.75162323010871	"IS02"
"CLDN18"	"CLDN18"	-0.733981939378225	1.7512551154492	1.21760119485009	-0.195045041374249	-0.697599428307909	-0.441694451611562	0.216137828128773	-0.950170877082457	"S01"	1.7512551154492	"IS02"
"HTR3C"	"HTR3C"	-0.326378871268466	1.74955903303578	0.339685060055426	-0.453053920779977	-0.375220151334002	-0.159619887934979	-0.102169788853245	-0.510669239976778	"S01"	1.74955903303578	"IS02"
"LHFP"	"LHFP"	0.31509544371681	1.74906384621863	0.364454561377127	-0.726537348848987	-0.0694072153532808	-0.518243723085558	0.279154984932332	-1.21675609431486	"S01"	1.74906384621863	"IS02"
"MYZAP"	"MYZAP"	-0.162724941987578	1.74654228382941	0.855944840407622	-0.359026494000484	-0.681697864796484	-0.404506678143829	0.360815535913397	-1.10592154708012	"S01"	1.74654228382941	"IS02"
"C8B"	"C8B"	-0.392423504336579	1.74430793441734	0.728550222001165	0.240422849803022	-0.861230395855073	-0.440001252320066	0.210414323727859	-0.909029963975276	"S01"	1.74430793441734	"IS02"
"TMEM100"	"TMEM100"	-0.409869860421001	1.74133730816665	0.842319425428329	-0.350777117865802	-0.600955121830845	-0.57879383661639	0.562396031171748	-1.0209774296527	"S01"	1.74133730816665	"IS02"
