"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"State"	"MaxFC"	"InitialState"
"IL10RA"	"IL10RA"	-0.656344855898575	-1.19855000637443	1.63762766397687	-0.539200856270666	0.951961483199889	-0.366996334085746	0.441250159782284	"S02"	1.63762766397687	"IS03"
"ITK"	"ITK"	-0.538470501687191	-1.37418875562903	1.63433679371487	-0.0904224290712078	0.509324586179576	-0.29603390509357	0.565046796096529	"S02"	1.63433679371487	"IS03"
"IL21R"	"IL21R"	-0.431189343584868	-1.30560854302232	1.61153800373326	-0.0508071019757532	-0.514699089579384	0.0541410693908378	1.36902504143217	"S02"	1.61153800373326	"IS03"
"CD84"	"CD84"	-0.672574884629863	-0.891196008866976	1.59614552342439	-0.687971734092932	0.264142525478343	0.0965821866561834	0.206703853227639	"S02"	1.59614552342439	"IS03"
"ABCD2"	"ABCD2"	-0.308171010893986	-1.42197328916294	1.59554308810905	-0.100352498131952	0.605934327678748	-0.327607517291355	0.382848115219699	"S02"	1.59554308810905	"IS03"
"TIFAB"	"TIFAB"	-0.260312567882536	-1.37574972905826	1.57411419319285	0.216514524128922	-0.218666326145919	-0.184157408559668	0.678672807007568	"S02"	1.57411419319285	"IS03"
"PTPN22"	"PTPN22"	-0.464608844353183	-1.28882260704891	1.56279735655046	-0.508998113393043	0.599219775793093	0.402253015373351	0.0550348452493673	"S02"	1.56279735655046	"IS03"
"SNX20"	"SNX20"	-0.593415029385401	-1.5630334528227	1.54770370645687	-0.242952754503625	0.900514126191578	0.306490151569838	0.441428339533515	"S02"	1.54770370645687	"IS03"
"TESPA1"	"TESPA1"	-0.707502020719642	-1.40140746627413	1.54525194246138	-0.177734359078018	0.922228497759906	-0.0359658289934173	0.344865846628	"S02"	1.54525194246138	"IS03"
"IKZF3"	"IKZF3"	-0.924645739042666	-1.11600305084683	1.53883576448159	0.199094126922628	-0.184838693694547	0.131944796164364	0.404755455332539	"S02"	1.53883576448159	"IS03"
"TAGAP"	"TAGAP"	-0.104743093379753	-1.44322801005439	1.52600893553692	-0.400722545043149	0.942161610376902	-0.225576471422678	0.304843961283588	"S02"	1.52600893553692	"IS03"
"IKZF1"	"IKZF1"	-0.67247777011403	-1.53481077325222	1.51635000163022	-0.0878253227479228	1.02862752175618	-0.0980665243344351	0.627557980720163	"S02"	1.51635000163022	"IS03"
"ZC3H12D"	"ZC3H12D"	-0.809844697569262	-1.17291016621715	1.51564289493915	0.313413657884239	-0.390067642427507	0.241555581876027	0.432730850506106	"S02"	1.51564289493915	"IS03"
