"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B01_841924"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B09_830678"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C05_830694"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C11_830764"	"MS2010072817"	"MS2010072827"	"MS2010072838"	"MS2010072913"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A11_841920"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A12_841926"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B08_841908"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C07_830734"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C08_830838"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C09_830750"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C10_830840"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_D08_830828"	"MS2010072004"	"MS2010072024"	"MS2010072038"	"MS2010072835"	"MS2010072837"	"MS2010072902"	"MS2010072930"	"MS2010072932"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B04_841918"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A01_830792"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A07_830800"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A11_830708"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B11_830836"	"MS2010072001"	"MS2010072023"	"MS2010072026"	"MS2010072034"	"MS2010072042"	"MS2010072821"	"MS2010072824"	"MS2010072828"	"MS2010072904"	"MS2010072921"
"SSH1"	7.10204560614887	7.03406062922827	7.04668599083867	7.1957983678279	6.97700216860986	6.82366029704062	7.06982080584831	8.13287305886792	7.14966334986013	7.0760764147905	7.34796645494874	7.06612057917443	7.45534453259324	7.36388785535511	7.32282033375273	7.77354406307306	7.22094582189943	7.50080603675074	7.53024145532809	7.1967494650052	7.95131217128333	7.45392806937249	8.19007327438954	7.23454531930464	7.39490712077896	7.24539854238215	7.57794889121603	7.35112163317356	6.98064076166392	7.91761914932052	6.8733067163953	7.34351872356966	7.69164531500243	6.50945148838036	7.29788365713591	6.6069323871338	6.92755379673772	6.86499798864993	7.68161812423792
"XPO5"	8.49394968467382	7.88618584402806	8.15461586085229	8.47987542142426	8.38331556443774	7.60247635417747	8.50266161682781	8.96704935144782	7.81647516830457	7.6240182782816	7.72368860696895	7.80158466564753	7.88399495407046	7.7410768426542	8.12469174090863	7.93765129596186	8.2952861552105	8.09414082552326	8.16348541887888	7.93852327674253	8.09945926642233	8.14413793770353	9.85835757349263	7.19272766387946	8.19677532640147	8.26610356861275	7.86976449184868	7.79230748300666	8.09929590383752	8.06228095108507	7.84418702024232	7.7065217739474	8.38929445969392	8.19974172936277	7.98132786679704	7.61656271030545	7.96653210706253	8.19288174325912	8.32486993806113
"LMBRD2"	7.550349623781	8.01315211573695	8.09512407596815	8.18988071561709	7.25808476942461	7.4976432119609	7.17582010390139	7.60580948470712	7.83429521069893	7.35955210762983	7.41762746084031	7.95605435752618	8.22733138426839	7.69459077609258	7.7226819908657	7.71673093627178	7.93127356833026	7.27361799023324	7.78319963956306	7.87763603891222	7.16874544761012	7.86657019229515	7.99073023689066	7.83467180426539	7.82060998042142	8.17408702256722	7.96779131429702	8.53480208520334	7.84486262102777	7.5118389255689	7.65778233147599	7.18326960673942	7.69774414988592	8.15005402473669	7.76078553571925	7.95904048899286	8.01101641030069	7.52079042154857	7.9262388912277
"RBM41"	7.91393051841332	7.76774799145918	7.56780063494748	7.83409253812503	8.32005513018555	8.49116534915486	8.23468110242503	7.81560625341548	8.02704143830068	7.69161547863565	7.7551290219699	8.11069347460563	7.42208651624	8.12185167792108	8.06394234342971	7.80467426964379	8.46041502581421	8.61248077188308	8.33624248239047	9.06579769858409	8.12557570509398	8.06901854048201	8.54195662379262	8.91352112792917	7.37770232988119	7.87791243826806	7.61570166912605	7.80658078428749	8.00242784945041	8.24807899275115	8.64660208680557	8.79073321653991	8.21743972452238	8.12583343441275	8.59233721448861	7.72751041696039	7.78695942892536	7.46135075901935	8.41848093678061
"BAZ1A"	11.9941422576896	11.951923318014	11.9263572055021	12.7596415690704	11.9836718547109	11.4880515321147	12.0107778204724	10.2088548922182	12.31757264455	11.4472438247948	11.4589882093584	11.6642648609618	11.988721055772	11.2517805097125	11.7366292677815	11.4207341461037	11.7023899160066	11.9177219634072	11.3565207460784	11.5176992947524	11.3977169045048	11.4208999263324	10.4200629272289	10.9585946287763	11.6179996812867	12.3925155583243	12.1149428725925	12.1119371171908	12.0531761686725	11.4425541794824	12.0978009059047	11.8692065649848	11.829963792886	11.6356847046547	12.3004364232426	11.6561118586656	11.7632191982378	12.3298039820854	12.3134690785685
"L2HGDH"	7.66414268038229	5.29745550411259	6.98000920963834	8.27106963960408	7.71597637708842	7.11676460523046	6.47775087142985	7.73248700152972	6.2622309682774	6.34774061975828	6.58461506078021	6.19445834023756	6.43352912455104	6.71141970141598	6.64253176822976	6.4798614370437	6.4771056400591	7.407903081815	7.00637810377833	7.06921125202337	6.79457429043076	6.18335153074949	9.2269551128507	5.91660535457143	5.62472254263315	6.65327001643224	6.15377360327075	6.41396398907789	5.9968451568965	6.87427714172991	7.27600175563842	7.51588267564321	6.95091059919728	6.97982005687356	7.4996574991456	7.25573339597466	6.29443455795499	6.80089369224762	6.59595031065487
"LOC728931"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"NUP107"	12.0509148279202	11.2891989794549	12.1328183005267	11.4994557079016	12.3161828280558	11.8988932919435	11.8589012997531	11.8482753756246	11.9698000286027	11.7938327579264	12.0134014738855	12.018563148636	12.10311965876	12.1453386483572	11.7325986900388	11.6436369625033	11.6983457619658	11.824824707226	11.2267420251075	11.4441248931364	11.5173991711673	11.2082190843893	8.9433434882993	11.3961816910692	11.1274844080038	11.6455377014284	10.9098956624407	12.0206526196381	11.3307998094224	10.9681979913632	12.0335633371464	11.7114322754165	11.2363614977405	11.9680523860863	11.8811227399283	11.5671766343069	11.092894589866	11.8679779121458	11.0547845200485
"SLC38A7"	7.07725233221039	7.480850895813	6.98901361036996	6.72280927999152	7.26955682274953	7.41968022543439	7.73089439458224	7.63289465618328	7.30688779294754	7.92136945013382	7.78200703001764	7.19541525687571	7.48948720112368	7.19159961224245	7.25651424193551	7.4057775872938	7.41573157670871	7.2275268678633	6.77922427955758	7.31789884264797	8.10343730569308	7.46523680416538	9.22547297594188	7.52512470552436	8.26794835198405	7.73913426521582	8.21996046213617	7.3446099688138	7.39774806984913	7.85775190744816	7.09767229014401	7.82435942567266	8.04142445147596	7.13512254370107	7.5467712275967	7.25931948129515	8.08554898698691	7.05837291467119	8.2595827874788
"KLHL12"	10.6760046189235	9.35973554070926	9.94832330076784	9.86976393201624	9.52748025711603	10.0000219441411	9.98532460026129	9.79193261832667	10.1333924489912	9.45217432293078	10.4668281558168	10.1312790575639	9.66956824485063	9.82081882818692	9.63972485756582	9.65673552972919	9.26741581237529	9.67403784851678	10.0075773461774	10.4611123388982	10.0585121913901	10.161042310708	8.63860611262178	10.5510930602091	10.3149233617424	9.99120588163082	9.80664961204467	9.67447189823737	9.70091830907468	9.50578505189882	10.0564173385159	10.0384002967377	9.83417418444869	10.0291126778379	10.2905013777431	9.56370396709761	9.20417713157335	9.85526430821329	10.0592955622308
