"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B05_841916"	"MS2010072023"	"MS2010072042"	"MS2010072835"	"MS2010072930"	"MS2010072932"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A12_841926"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B04_841918"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B08_841908"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A01_830792"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A07_830800"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A11_830708"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B09_830678"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B11_830836"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C08_830838"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C09_830750"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C10_830840"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_D08_830828"	"MS2010072001"	"MS2010072004"	"MS2010072026"	"MS2010072034"	"MS2010072038"	"MS2010072821"	"MS2010072828"	"MS2010072837"	"MS2010072904"	"MS2010072921"
"BAIAP2L2"	6.42778862985512	5.72067388480691	6.3501939886708	6.30580807101957	5.00569024954386	4.42282831901283	5.82125790297431	5.04211132092847	4.65592400171199	3.35132490053271	5.89452790297435	5.64744573807987	4.01517467735016	6.14853654670581	4.24459689136194	3.43727196722809	2.77473669013868	3.78848696108905	5.85652011523146	6.58208333503514	5.47776375435942	6.78638895170891	4.31465346890683	3.60543613363819	5.78314947677058	6.46764108983774	5.99855139515302	5.39514177539123
"CCDC130"	8.1163230282783	8.44429465866234	8.36022464290049	8.72976184312789	8.92761879560215	8.25276434685541	8.26761650098458	8.22495225799286	8.17373212008867	7.56735957532553	8.10438682465606	7.73392465266765	8.01961503335562	7.82855252528601	7.66612352356819	6.55532421703042	8.0187995625756	7.82741302227761	8.84841191501372	8.70144979642711	7.81412123940709	8.73919655751923	8.52271618457502	8.37877104274502	8.44235713066999	8.4551593040433	8.70687553587861	8.82839375697732
"LOC100287829"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100133161"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC653340"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GDI1"	8.85027699891681	7.81978945271435	8.28294968872614	7.89247741994085	9.02767261954086	8.69232554615521	9.04930657754052	9.54752641563342	8.87024656674071	8.23308102310052	8.58024595545167	8.29388314291211	8.25050509594042	7.89177380113186	8.24592086542543	8.45794167084267	8.50065158833282	9.36385557763476	9.07738648842877	8.12754874102813	8.6204259169751	8.72397777021759	8.56985913269554	8.41395302927312	8.72097700094736	9.23730114348805	6.88225395338577	9.07309717492151
"LOC100288673"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"C20orf46"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"RUFY4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PLCB2"	6.42924218007077	6.41396872063751	4.72302921994253	6.06140026341819	4.71228566845574	6.51744356442705	6.13652698620271	6.78053399561663	5.01581628788855	5.98278180737195	6.35636655594585	3.52180323585405	6.51293388577232	5.18086244696254	3.87723217781715	4.0701967335551	4.28290748777012	5.77632504838073	7.04402525448311	5.76804694508175	6.21949201304826	7.35809680231942	4.66424855220844	6.13497611820184	6.71984571776387	6.67403719975904	6.02595565883013	6.10805321110308
"ECHDC2"	8.285465217436	9.15651982761924	9.28679257308208	9.19372546944894	9.23437213625734	9.12118724680983	8.65108860892668	9.22554915939017	9.08887851964841	8.55000290709298	9.62906935961028	8.36244374183032	10.2722504435753	9.36750169205888	7.66097489192089	8.07673911141529	9.97153670926242	8.60040276769209	10.6101903214104	9.03117992806995	9.61842245371307	9.50431955113725	8.73728382081315	9.49884587359644	10.0112356951012	10.544439873143	9.25923354784625	9.60867749504938
"PDZK1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FAM118A"	7.64942032105655	7.77190905472854	7.77117885999818	9.73165476155601	8.83095099580035	8.6335223350454	7.78213495034165	7.97718975344196	7.96852292550292	6.44185874306948	7.88919068881778	7.07108440678199	7.42264875563682	7.86101700572218	7.90563843967909	7.67586974057213	7.5171129945023	7.27240639051956	8.30116834765664	9.18644451697147	7.63920051843597	9.56554399331073	8.77712346518726	7.65814744666053	7.49363273158444	9.60809641918055	7.21468703995412	7.25446942467633
"RAPSN"	2.9202293132371	2.5662358070662	3.83451896326712	3.95753198251675	4.2615822992532	3.37010098529941	2.01552713729181	2.41515255429389	3.5300685410384	5.27253268440077	2.54077981845258	5.13460431602139	1.80076779765804	5.69855738440217	2.99581907761284	3.67264038979368	3.45022336603707	3.30817706391667	5.30416049125661	5.10011657651218	6.5757708141136	5.46423661690976	1.8556644220204	2.40077530163077	2.753521909443	3.29352799585568	2.28465490618868	3.08471522316536
"WDR21B"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100289125"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"RASAL3"	8.10005187606176	8.01191700513587	9.24729074737631	8.84684996473119	9.25405892516707	8.32472550013018	8.80207499607344	9.06741269667429	7.89799692103979	9.20560559283827	9.66099092367625	9.02448232172783	9.97344572008224	9.09754335592892	8.59076932749852	8.97072805852417	7.90637946437318	8.05592418238066	10.5204067593907	9.02592853604816	9.05020831559009	8.97590639010741	8.21056705397204	8.42949869378295	8.65219877638812	8.1399415615363	8.64202034228453	9.4109074745911
