"ID"	"CellType"
"C30798"	"Epithelial.cells"
"C31655"	"Epithelial.cells"
"C31724"	"Epithelial.cells"
"C2329"	"Epithelial.cells"
"C11740"	"Epithelial.cells"
"C13436"	"Epithelial.cells"
"C14383"	"Epithelial.cells"
"C13922"	"Epithelial.cells"
"C1558"	"Epithelial.cells"
"C129"	"Epithelial.cells"
"C17289"	"Epithelial.cells"
"C31971"	"Epithelial.cells"
"C17032"	"Epithelial.cells"
"C14303"	"Epithelial.cells"
"C30893"	"Epithelial.cells"
"C13668"	"Epithelial.cells"
"C1363"	"Epithelial.cells"
"C31449"	"Epithelial.cells"
"C14102"	"Epithelial.cells"
"C11914"	"Epithelial.cells"
"C30919"	"Epithelial.cells"
"C7158"	"Epithelial.cells"
"C11965"	"Epithelial.cells"
"C1680"	"Epithelial.cells"
"C14144"	"Epithelial.cells"
"C31858"	"Epithelial.cells"
"C2937"	"Epithelial.cells"
"C32151"	"Epithelial.cells"
"C13728"	"Epithelial.cells"
"C32248"	"Epithelial.cells"
"C32087"	"Epithelial.cells"
"C2249"	"Epithelial.cells"
"C7467"	"Epithelial.cells"
"C18686"	"Epithelial.cells"
"C31435"	"Epithelial.cells"
"C10804"	"Epithelial.cells"
"C14731"	"Epithelial.cells"
"C18719"	"Epithelial.cells"
"C15804"	"Epithelial.cells"
"C13111"	"Epithelial.cells"
"C14093"	"Epithelial.cells"
"C31549"	"Epithelial.cells"
"C1214"	"Epithelial.cells"
"C31258"	"Epithelial.cells"
"C7585"	"Epithelial.cells"
"C13718"	"Epithelial.cells"
"C31736"	"Epithelial.cells"
"C32115"	"Epithelial.cells"
"C31031"	"Epithelial.cells"
"C4635"	"Epithelial.cells"
"C11640"	"Epithelial.cells"
"C12272"	"Epithelial.cells"
"C31064"	"Epithelial.cells"
"C149"	"Epithelial.cells"
"C30694"	"Epithelial.cells"
"C12282"	"Epithelial.cells"
"C30874"	"Epithelial.cells"
"C14123"	"Epithelial.cells"
"C652"	"Epithelial.cells"
"C17107"	"Epithelial.cells"
"C31716"	"Epithelial.cells"
"C31470"	"Epithelial.cells"
"C31405"	"Epithelial.cells"
"C10870"	"Epithelial.cells"
"C13503"	"Epithelial.cells"
"C31371"	"Epithelial.cells"
"C10986"	"Epithelial.cells"
"C31695"	"Epithelial.cells"
"C13997"	"Epithelial.cells"
"C10006"	"Epithelial.cells"
"C13430"	"Epithelial.cells"
"C31086"	"Epithelial.cells"
"C31355"	"Epithelial.cells"
"C15142"	"Epithelial.cells"
"C31381"	"Epithelial.cells"
"C31893"	"Epithelial.cells"
"C15514"	"Epithelial.cells"
"C16047"	"Epithelial.cells"
"C31376"	"Epithelial.cells"
"C30865"	"Epithelial.cells"
"C3040"	"Epithelial.cells"
"C9728"	"Epithelial.cells"
"C32257"	"Epithelial.cells"
"C31524"	"Epithelial.cells"
"C12719"	"Epithelial.cells"
"C7567"	"Epithelial.cells"
"C14007"	"Epithelial.cells"
"C31087"	"Epithelial.cells"
"C14604"	"Epithelial.cells"
"C17722"	"Epithelial.cells"
"C14388"	"Epithelial.cells"
"C13261"	"Epithelial.cells"
"C15756"	"Epithelial.cells"
"C31674"	"Epithelial.cells"
"C888"	"Epithelial.cells"
"C2148"	"Epithelial.cells"
"C13008"	"Epithelial.cells"
"C12873"	"Epithelial.cells"
"C5829"	"Epithelial.cells"
"C30910"	"Epithelial.cells"
"C32011"	"Epithelial.cells"
"C11089"	"Epithelial.cells"
"C30704"	"Epithelial.cells"
"C31896"	"Epithelial.cells"
"C14785"	"Epithelial.cells"
"C18127"	"Epithelial.cells"
"C7261"	"Epithelial.cells"
"C13867"	"Epithelial.cells"
"C7442"	"Epithelial.cells"
"C2755"	"Epithelial.cells"
"C31752"	"Epithelial.cells"
"C9975"	"Epithelial.cells"
"C31257"	"Epithelial.cells"
"C13044"	"Epithelial.cells"
"C11981"	"Epithelial.cells"
"C30796"	"Epithelial.cells"
"C15307"	"Epithelial.cells"
"C17166"	"Epithelial.cells"
"C31401"	"Epithelial.cells"
"C16140"	"Epithelial.cells"
"C13407"	"Epithelial.cells"
"C203"	"Epithelial.cells"
"C531"	"Epithelial.cells"
"C31754"	"Epithelial.cells"
"C30855"	"Epithelial.cells"
"C4007"	"Epithelial.cells"
"C2700"	"Epithelial.cells"
"C11278"	"Epithelial.cells"
"C15577"	"Epithelial.cells"
"C3413"	"Epithelial.cells"
"C9730"	"Epithelial.cells"
"C4316"	"Epithelial.cells"
"C3213"	"Epithelial.cells"
"C6386"	"Epithelial.cells"
"C10482"	"Epithelial.cells"
"C19234"	"Epithelial.cells"
"C14597"	"Epithelial.cells"
"C7132"	"Epithelial.cells"
"C19701"	"Epithelial.cells"
"C30942"	"Epithelial.cells"
"C2994"	"Epithelial.cells"
"C429"	"Epithelial.cells"
"C32204"	"Epithelial.cells"
"C14692"	"Epithelial.cells"
"C5538"	"Epithelial.cells"
"C15909"	"Epithelial.cells"
"C432"	"Epithelial.cells"
"C7315"	"Epithelial.cells"
"C1626"	"Epithelial.cells"
"C1145"	"Epithelial.cells"
"C15808"	"Epithelial.cells"
"C32270"	"Epithelial.cells"
"C4852"	"Epithelial.cells"
"C775"	"Epithelial.cells"
"C1670"	"Epithelial.cells"
"C17616"	"Epithelial.cells"
"C9893"	"Epithelial.cells"
"C31796"	"Epithelial.cells"
"C1824"	"Epithelial.cells"
"C10172"	"Epithelial.cells"
"C30747"	"Epithelial.cells"
"C2651"	"Epithelial.cells"
"C1355"	"Epithelial.cells"
"C31349"	"Epithelial.cells"
"C7473"	"Epithelial.cells"
"C15168"	"Epithelial.cells"
"C30888"	"Epithelial.cells"
"C9631"	"Epithelial.cells"
"C1678"	"Epithelial.cells"
"C536"	"Epithelial.cells"
"C3586"	"Epithelial.cells"
"C32099"	"Epithelial.cells"
"C5056"	"Epithelial.cells"
"C16117"	"Epithelial.cells"
"C31657"	"Epithelial.cells"
"C9621"	"Epithelial.cells"
"C3096"	"Epithelial.cells"
"C15461"	"Epithelial.cells"
"C4574"	"Epithelial.cells"
"C1218"	"Epithelial.cells"
"C14997"	"Epithelial.cells"
"C31934"	"Epithelial.cells"
"C31346"	"Epithelial.cells"
"C9692"	"Epithelial.cells"
"C12103"	"Epithelial.cells"
"C3162"	"Epithelial.cells"
"C2098"	"Epithelial.cells"
"C1945"	"Epithelial.cells"
"C2042"	"Epithelial.cells"
"C11258"	"Epithelial.cells"
"C2382"	"Epithelial.cells"
"C797"	"Epithelial.cells"
"C6518"	"Epithelial.cells"
"C32085"	"Epithelial.cells"
"C12668"	"Epithelial.cells"
"C31093"	"Epithelial.cells"
"C14301"	"Epithelial.cells"
"C11726"	"Epithelial.cells"
"C31195"	"Epithelial.cells"
"C15563"	"Epithelial.cells"
"C2954"	"Epithelial.cells"
"C14341"	"Epithelial.cells"
"C15759"	"Epithelial.cells"
"C31177"	"Epithelial.cells"
"C15184"	"Epithelial.cells"
"C11085"	"Epithelial.cells"
"C32269"	"Epithelial.cells"
"C3295"	"Epithelial.cells"
"C32045"	"Epithelial.cells"
"C31530"	"Epithelial.cells"
"C31561"	"Epithelial.cells"
"C12892"	"Epithelial.cells"
"C17762"	"Epithelial.cells"
"C32234"	"Epithelial.cells"
"C4533"	"Epithelial.cells"
"C9982"	"Epithelial.cells"
"C2519"	"Epithelial.cells"
"C32231"	"Epithelial.cells"
"C30966"	"Epithelial.cells"
"C31484"	"Epithelial.cells"
"C398"	"Epithelial.cells"
"C31273"	"Epithelial.cells"
"C2457"	"Epithelial.cells"
"C30976"	"Epithelial.cells"
"C32066"	"Epithelial.cells"
"C2075"	"Epithelial.cells"
"C12622"	"Epithelial.cells"
"C32209"	"Epithelial.cells"
"C17964"	"Epithelial.cells"
"C15773"	"Epithelial.cells"
"C2945"	"Epithelial.cells"
"C31265"	"Epithelial.cells"
"C15038"	"Epithelial.cells"
"C14287"	"Epithelial.cells"
"C31298"	"Epithelial.cells"
"C5682"	"Epithelial.cells"
"C10155"	"Epithelial.cells"
"C1385"	"Epithelial.cells"
"C15669"	"Epithelial.cells"
"C31311"	"Epithelial.cells"
"C31197"	"Epithelial.cells"
"C10086"	"Epithelial.cells"
"C31246"	"Epithelial.cells"
"C31192"	"Epithelial.cells"
"C15178"	"Epithelial.cells"
"C31261"	"Epithelial.cells"
"C58"	"Epithelial.cells"
"C9947"	"Epithelial.cells"
"C2386"	"Epithelial.cells"
"C12645"	"Epithelial.cells"
"C32241"	"Epithelial.cells"
"C12868"	"Epithelial.cells"
"C15113"	"Epithelial.cells"
"C31345"	"Epithelial.cells"
"C31756"	"Epithelial.cells"
"C31551"	"Epithelial.cells"
"C1388"	"Epithelial.cells"
"C19893"	"Epithelial.cells"
"C15005"	"Epithelial.cells"
"C11851"	"Epithelial.cells"
"C14338"	"Epithelial.cells"
"C1887"	"Epithelial.cells"
"C1417"	"Epithelial.cells"
"C31874"	"Epithelial.cells"
"C30982"	"Epithelial.cells"
"C31645"	"Epithelial.cells"
"C16926"	"Epithelial.cells"
"C13765"	"Epithelial.cells"
"C6748"	"Epithelial.cells"
"C13385"	"Epithelial.cells"
"C31679"	"Epithelial.cells"
"C12309"	"Epithelial.cells"
"C1649"	"Epithelial.cells"
"C31750"	"Epithelial.cells"
"C14645"	"Epithelial.cells"
"C31272"	"Epithelial.cells"
"C1411"	"Epithelial.cells"
"C31341"	"Epithelial.cells"
"C12194"	"Epithelial.cells"
"C13757"	"Epithelial.cells"
"C4597"	"Epithelial.cells"
"C317"	"Epithelial.cells"
"C31728"	"Epithelial.cells"
"C13086"	"Epithelial.cells"
"C1264"	"Epithelial.cells"
"C31147"	"Epithelial.cells"
"C3756"	"Epithelial.cells"
"C12906"	"Epithelial.cells"
"C9605"	"Epithelial.cells"
"C1942"	"Epithelial.cells"
"C28"	"Epithelial.cells"
"C14450"	"Epithelial.cells"
"C11471"	"Epithelial.cells"
"C13316"	"Epithelial.cells"
"C30792"	"Epithelial.cells"
"C14413"	"Epithelial.cells"
"C30710"	"Epithelial.cells"
"C4514"	"Epithelial.cells"
"C11393"	"Epithelial.cells"
"C13439"	"Epithelial.cells"
"C15354"	"Epithelial.cells"
"C31451"	"Epithelial.cells"
"C1478"	"Epithelial.cells"
"C14148"	"Epithelial.cells"
"C1503"	"Epithelial.cells"
"C6976"	"Epithelial.cells"
"C12575"	"Epithelial.cells"
"C1016"	"Epithelial.cells"
