Mixture	Fibroblasts	Endothelial.cells	Epithelial.cells	B.cells	CD4.T.cells	CD8.T.cells	Dendritic.cells	Mast.cells	Monocytes.and.Macrophages	NK.cells	PCs	PMNs
TCGA.55.8092.01A.11R.2241.07	0.119689461982915	0.0120014497913523	0.501194396398086	0.00876613725786646	0.0407633596091549	0.0727168785515192	0	0.00471254197196353	0.0980790155406473	0.0208296429053159	0.118616115727475	0.00263100026370444
TCGA.55.8094.01A.11R.2241.07	0.00643241331342518	0.0159113732817621	0.920310256201618	0.00170612938197573	0.0102202569072965	0.00385010505294614	0.0088998443523374	0.00168202770473173	0.020816761693055	0.00254642954220728	0.00699544634719614	0.000628956221448421
TCGA.55.8207.01A.11R.2241.07	0.0726224853636206	0.0162878014323532	0.584932908654195	0.004394011581161	0.0582752537607072	0.0184525040236518	0.0188847367461499	0.030593335389513	0.180584962691332	0.00353737425110027	0.0093956951943418	0.00203893091187448
TCGA.55.8301.01A.11R.2287.07	0.0644001191760967	0.00274786955853501	0.524972024000984	0.0197420170716871	0.0533091543652616	0.0541089658567003	0.00249114999782124	0.0138567331195861	0.180092079788075	0.0179711592233285	0.0663087278419252	0
TCGA.55.8508.01A.11R.2403.07	0.0995602267805842	0.0142096816734985	0.685553193381564	0.00727097281987241	0.0239670391949177	0.0131523109292976	0	0.00240838005987542	0.0652430444616797	0.00521533811558667	0.0800708968512956	0.00334891573182832
TCGA.55.8510.01A.11R.2403.07	0.0973296431779803	0.0096660387315937	0.535327473320916	0.00744973470181166	0.0588301402480157	0.0421968039115964	0.0104725953204676	0.0262687876536802	0.178521649153762	0.0136524993356837	0.0176319995452664	0.00265263489922663
TCGA.55.8619.01A.11R.2403.07	0.0283122488691323	0.0387452682704295	0.477924544966307	0.0287925205191839	0.073345130954808	0.0475384928479296	0.00656940103094322	0.0331859897796171	0.19566660747103	0.0184045484740156	0.0426913543118342	0.00882389250477008
TCGA.55.8620.01A.11R.2403.07	0.0263154379036732	0.00698541859436691	0.624926676705185	0.00923118978490879	0.0618602145093586	0.0435513893419566	0.000260061900708243	0.00392491987147935	0.136528696329742	0.0101751520836589	0.0750499968095969	0.0011908461653647
TCGA.55.A48Y.01A.11R.A24H.07	0.168442386972489	0.0119589639526467	0.646376740017522	0.00328014280406	0.0329018507985873	0.010313764030571	0.000281458786150992	0.00481569468343455	0.0793897359186674	0.00379504838363305	0.035904269755409	0.00253994389682906
TCGA.55.A492.01A.11R.A24H.07	0.0129535187110763	0.0155630950884482	0.886876090512844	0.00114371501023913	0.0141406495077696	0.00658865359341967	0.00262315837512148	0.00490234765280869	0.0267605047324686	0.00382994158928041	0.0241413624794343	0.0004769627470895
TCGA.56.5898.01A.11R.1635.07	0.0847174818851547	0.0166072468010106	0.74844355292856	0.00376062235931176	0.0261287222230622	0.0110898664213122	0.00536337464156872	0.00703962926085423	0.0779051722467361	0.00536580517287599	0.0127455251921751	0.000833000867378339
TCGA.56.7223.01A.11R.2045.07	0.0919591024690369	0.00419305939702468	0.861571832548499	0.00485294624038987	0.00588548628585865	0.00313184700007296	0.00058410971352381	0.00179079921077356	0.0225217590598566	0.00161992153131416	0.00188913654364992	0
TCGA.56.7582.11A.01R.2045.07	0.129162447245761	0.168569220965095	0.278018418477201	0.0173546803496471	0.0587615060919945	0.0345978854621455	0.000751588806929107	0.0222689530640267	0.250278043301959	0.0158701951834043	0.0185632427196756	0.00580381833216138
TCGA.56.7731.01A.11R.2125.07	0.104925750668925	0.0279007857926902	0.641601345666408	0.00601949415767982	0.040423068284628	0.0125532820816004	0.00609637682160748	0.0102674365234142	0.111966595062185	0.00464491367168166	0.0301100881600937	0.00349086310908703
TCGA.56.7822.01A.11R.2125.07	0.0484985305970975	0.0273060444596958	0.800082114812824	0.00209819662559929	0.00916485056408712	0.00929915565598254	0.00452433778031789	0.00708024829696806	0.0781315910799293	0.00585307046020737	0.00599963259158152	0.00196222707571011
