"ID"	"CellType"	"Tissue"
"Cell_408"	"B.cells"	"Tumor"
"Cell_409"	"B.cells"	"Tumor"
"Cell_410"	"B.cells"	"Tumor"
"Cell_411"	"B.cells"	"Tumor"
"Cell_412"	"B.cells"	"Tumor"
"Cell_413"	"B.cells"	"Tumor"
"Cell_414"	"B.cells"	"Tumor"
"Cell_415"	"B.cells"	"Normal"
"Cell_416"	"B.cells"	"Tumor"
"Cell_417"	"B.cells"	"Normal"
"Cell_418"	"B.cells"	"Tumor"
"Cell_419"	"B.cells"	"Tumor"
"Cell_420"	"B.cells"	"Tumor"
"Cell_421"	"B.cells"	"Tumor"
"Cell_422"	"B.cells"	"Tumor"
"Cell_423"	"B.cells"	"Normal"
"Cell_424"	"B.cells"	"Tumor"
"Cell_425"	"B.cells"	"Tumor"
"Cell_426"	"B.cells"	"Tumor"
"Cell_427"	"B.cells"	"Normal"
"Cell_428"	"B.cells"	"Tumor"
"Cell_429"	"B.cells"	"Tumor"
"Cell_430"	"B.cells"	"Tumor"
"Cell_431"	"B.cells"	"Tumor"
"Cell_432"	"B.cells"	"Tumor"
"Cell_433"	"B.cells"	"Normal"
"Cell_434"	"B.cells"	"Tumor"
"Cell_435"	"B.cells"	"Tumor"
"Cell_436"	"B.cells"	"Tumor"
"Cell_437"	"B.cells"	"Tumor"
"Cell_438"	"B.cells"	"Tumor"
"Cell_439"	"B.cells"	"Tumor"
"Cell_440"	"B.cells"	"Tumor"
"Cell_441"	"B.cells"	"Tumor"
"Cell_442"	"B.cells"	"Tumor"
"Cell_443"	"B.cells"	"Normal"
"Cell_444"	"B.cells"	"Tumor"
"Cell_445"	"B.cells"	"Normal"
"Cell_446"	"B.cells"	"Normal"
"Cell_447"	"B.cells"	"Tumor"
"Cell_448"	"B.cells"	"Tumor"
"Cell_449"	"B.cells"	"Tumor"
"Cell_450"	"B.cells"	"Tumor"
"Cell_451"	"B.cells"	"Tumor"
"Cell_452"	"B.cells"	"Tumor"
"Cell_453"	"B.cells"	"Tumor"
"Cell_454"	"B.cells"	"Normal"
"Cell_455"	"B.cells"	"Normal"
"Cell_456"	"B.cells"	"Tumor"
"Cell_457"	"B.cells"	"Normal"
"Cell_458"	"B.cells"	"Tumor"
"Cell_459"	"B.cells"	"Tumor"
"Cell_460"	"B.cells"	"Tumor"
"Cell_461"	"B.cells"	"Tumor"
"Cell_462"	"B.cells"	"Normal"
"Cell_463"	"B.cells"	"Tumor"
"Cell_464"	"B.cells"	"Normal"
"Cell_465"	"B.cells"	"Tumor"
"Cell_466"	"B.cells"	"Tumor"
"Cell_467"	"B.cells"	"Tumor"
"Cell_468"	"B.cells"	"Normal"
"Cell_469"	"B.cells"	"Normal"
"Cell_470"	"B.cells"	"Tumor"
"Cell_471"	"B.cells"	"Tumor"
"Cell_472"	"B.cells"	"Tumor"
"Cell_473"	"B.cells"	"Tumor"
"Cell_474"	"B.cells"	"Tumor"
"Cell_475"	"B.cells"	"Tumor"
"Cell_476"	"B.cells"	"Tumor"
"Cell_477"	"B.cells"	"Tumor"
"Cell_478"	"B.cells"	"Tumor"
"Cell_479"	"B.cells"	"Tumor"
"Cell_480"	"B.cells"	"Tumor"
"Cell_481"	"B.cells"	"Normal"
