"IS01"	"IS02"	"IS03"	"IS04"
"TRIM58__pos"	2.22044604925031e-16	3.70314487695688	3.34256277334339	15.5455844442601
"KRTAP5.8__pos"	0.237577079489953	13.5668906327044	1.10171867559988	6.03746931273578
"CCL20__pos"	3.10357280657562	2.82312869624041	4.57348242231371	12.9630044441251
"HBB__pos"	2.03166655811859	3.90425281708507	1.61360259034105	9.49770565817881
"ALAS2__pos"	1.00569282440934	9.2180923351524	1.77641573933877	8.69744404218983
"HSD17B6__pos"	3.43126863018638	0.399194286397133	2.22044604925031e-16	12.3524932370217
"CD5L__pos"	4.03438478366901	9.20094394307487	8.54538039650043	3.18526807136517
"CDKN1A__pos"	1.23444105962715	3.56296583095998	9.15479017272923	7.69944198827842
"NAMPT__pos"	4.22471023570504	2.436719700845	9.10420034333423	6.7971699926811
"TNFRSF8__pos"	0.475201316387304	5.51994252801411	4.34553116888958	10.6575119726521
"TRIM55__pos"	3.69592925652206	5.18695094093659	2.22044604925031e-16	11.0118031858256
"AIF1L__pos"	2.85514141921367	4.68879378129385	3.65890608910302	13.0348095951754
"APOBEC3A__pos"	0.102421970901956	2.22044604925031e-16	18.4676107982282	4.55757840492547
"TMEM136__pos"	9.79182602709214	3.99172923900609	3.18051005922541	5.120496470296
"DDX58__pos"	2.0084155457364	4.32357207117228	11.4771311194143	4.78864592640704
"SLAMF9__pos"	3.60187275990849	0.953010275331708	3.81257496379841	13.0211057576778
"VSIG4__pos"	2.22044604925031e-16	2.22044604925031e-16	24.5608987312647	2.22044604925031e-16
"CHGA__pos"	1.34046013574804	1.05150961455359	0.0046167190791711	16.210154683571
"IL6__pos"	1.68829130201802	4.77162725873958	2.41277023653704	12.7371738327016
"IL8RA__pos"	0.427927201046133	1.29734359212807	1.90748000802938	18.0264492838002
"SPATA9__pos"	4.58015502603161	6.62641004315348	5.41779540882551	2.71538763095789
"GPR183__pos"	5.39337397138433	7.01176119188019	3.37718687418631	7.74200434732528
"CXCL6__pos"	3.53514575073004	0.37939685841361	1.44660155850529	16.8742863360028
"GK__pos"	3.91574453321664	4.30942341031749	11.8894812154325	2.73349869631325
"CD300A__pos"	1.73466069588488	3.24716792111585	15.5607928605579	2.48819716142729
"CXCL3__pos"	0.487645387369777	2.17251872331726	9.24428407714568	10.7718282543538
"TMEM56__pos"	3.28513283100646	6.42464926390978	2.42973008556878	10.2848250003122
"NAIP__pos"	4.19816737962128	5.95329152668916	9.6027302342301	3.76955851806626
"RORA__pos"	0.665861381096348	5.72801865751179	7.67260408726853	8.17515352534068
"CGN__pos"	0.89041579630217	10.3642492552229	2.30775579403307	10.419609901067
"NTN4__pos"	0.695288223636608	0.278429744776986	2.22044604925031e-16	17.2371268235343
"STOM__pos"	2.22044604925031e-16	1.61950794474436	17.5222375177351	4.64191603467972
"DSG2__pos"	0.99165084808231	5.84209853209361	4.49512199454935	10.7945957365222
"LOC100128993__pos"	0.0339744051754731	10.3385354549772	7.22146590793666	5.18257093822767
"LOC100130520__pos"	1.46996016051642	0.494487276440459	13.8793127262769	7.50188465431359
"LILRA5__pos"	0.311765355601965	2.22044604925031e-16	18.2227243626809	2.98814691269662
"PLB1__pos"	0.985179710840836	3.95595793799956	12.5758139052288	6.02844165911902
"S100A12__pos"	1.94085299652129	0.0841697507843439	9.58169207920932	11.1156672906101
"PLAUR__pos"	2.22044604925031e-16	2.22044604925031e-16	10.924911748949	10.8845833541161
"FCGR3B__pos"	0.168352544402352	2.22044604925031e-16	3.9455421609677	16.3935598510508
"ITLN1__pos"	4.04639670123939	1.93448191635312	11.8205216494829	4.90653042565651
"KCTD14__pos"	0.176228199778641	0.0725141526137983	17.7062532082276	6.1691402457558
"PADI4__pos"	3.30578169461687	5.80651537026224	6.08881895129372	7.61142734059012
"SOCS2__pos"	1.02005719588249	2.0916998483017	0.529384203035594	16.6274258304911
"BMP8B__pos"	2.22044604925031e-16	11.8901616831356	4.71257605285648	7.51820294279525
"PTPRH__pos"	0.266345631580192	3.78659209813141	3.28483561557391	14.4897766197063
"GPRC5A__pos"	0.138981151062909	1.32349624959981	2.22044604925031e-16	19.7004597622269
"CSF3__pos"	1.17669107747328	3.74082020025479	3.90834454190136	15.7453497764029
"SCG5__pos"	1.71427405622468	5.79180260731407	0.637558790944956	14.4506035751953
"SLITRK2__pos"	0.172222449764227	4.15146050497094	8.38126858548462	9.9629886269585
"PTGS2__pos"	0.454663556417667	1.42810388009343	3.86557576930178	15.336090238696
"LOC100288679__pos"	7.18027908280686	6.94389088816887	0.744467309354558	4.63727833352517
"C19orf21__pos"	2.22044604925031e-16	1.77191390054915	2.22044604925031e-16	16.9683565540469
"MYCT1__pos"	0.578514528184162	2.22044604925031e-16	2.22044604925031e-16	20.1342186937096
"NIACR2__pos"	2.22044604925031e-16	0.0376965332790701	12.0098204518075	9.31398726921916
"LYVE1__pos"	1.70434533190411	2.71039933809869	1.26701676477164	15.755644896065
"TCF7L2__pos"	2.22044604925031e-16	4.67194919914081	8.08528787593832	12.5604682117701
"STX12__pos"	3.79664481217075	2.81829808893215	7.96556299674183	7.73463509795804
