"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"State"	"MaxFC"
"CFHR3"	"CFHR3"	-0.935403210476462	0.459447122145035	0.050212218148595	0.340797611045779	"IS02"	0.459447122145035
"LOC100288897"	"LOC100288897"	-0.273039190890523	0.392139581940035	-0.357924562771592	0.085865718838005	"IS02"	0.392139581940035
"WDR63"	"WDR63"	-0.518464926329332	0.347076191362547	-0.0467139716506101	0.136523725674756	"IS02"	0.347076191362547
"ALAS2"	"ALAS2"	-0.509910538696893	0.331453849264997	-0.164937733704791	0.242261946439069	"IS02"	0.331453849264997
"BMP8B"	"BMP8B"	-0.641845917398079	0.3024849010863	0.0952232353628387	0.200392488830594	"IS02"	0.3024849010863
"OPRM1"	"OPRM1"	-0.516179206862307	0.301865344552116	-0.0175844483665886	0.165761070847462	"IS02"	0.301865344552116
"LMAN1L"	"LMAN1L"	-0.359371696129225	0.296354550404169	-0.295032202300186	0.238525866321358	"IS02"	0.296354550404169
"SLC31A1"	"SLC31A1"	-0.246132399815641	0.180933047325139	0.167558186085066	-0.107846889623252	"IS02"	0.180933047325139
"CNIH4"	"CNIH4"	0.0298147368500238	0.180767781113524	-0.188377197199803	-0.0980837819556227	"IS02"	0.180767781113524
"FAM153B"	"FAM153B"	-0.102715567779587	0.164711231629692	-0.279317946720922	0.128029432207513	"IS02"	0.164711231629692
"C1orf52"	"C1orf52"	0.0869224626251275	0.163813293748999	-0.14184112669584	-0.172388075021454	"IS02"	0.163813293748999
"BCL2L10"	"BCL2L10"	0.0381469227363277	0.0971995836927398	-0.149637443443499	-0.0359922934541975	"IS02"	0.0971995836927398
"TLR1"	"TLR1"	-0.0220990635719098	0.0963774393889748	0.0511503787533102	-0.136319595174239	"IS02"	0.0963774393889748
"IRG1"	"IRG1"	-0.560741924469297	-0.54255997099193	1.79602553035061	-0.224088629500933	"IS03"	1.79602553035061
"IDO1"	"IDO1"	-0.499637371701568	-0.701663784761913	1.65282748766942	0.0235747674595205	"IS03"	1.65282748766942
"TLR8"	"TLR8"	-0.565053878911213	-0.47845564126658	1.60122798777359	-0.1407018148271	"IS03"	1.60122798777359
"FPR2"	"FPR2"	-0.63582017115582	-0.705535924769098	1.58915662460687	0.216543181747066	"IS03"	1.58915662460687
"VSIG4"	"VSIG4"	-0.522881021612625	-0.710077086437694	1.54590740264533	0.143394478513295	"IS03"	1.54590740264533
"CCL8"	"CCL8"	-0.42591142516596	-0.692386672013815	1.52511356206905	0.041138738021629	"IS03"	1.52511356206905
"FFAR2"	"FFAR2"	-0.742425272920054	-0.608178209235065	1.48950949758545	0.285582801526699	"IS03"	1.48950949758545
"FCGR3A"	"FCGR3A"	-0.591266168518726	-0.70216091517121	1.45528543403983	0.275584121677551	"IS03"	1.45528543403983
"SLC31A2"	"SLC31A2"	-0.541950188195085	-0.662659148047751	1.44837933716985	0.183495880691616	"IS03"	1.44837933716985
"FAM26F"	"FAM26F"	-0.249720039942155	-0.546086924122244	1.44252528597735	-0.247461580776397	"IS03"	1.44252528597735
"MT1H"	"MT1H"	-0.343933338283069	-0.581454234761369	1.44134953825915	-0.108749204392894	"IS03"	1.44134953825915
"AQP9"	"AQP9"	-0.605084712264977	-0.825676630413048	1.3840044641224	0.497274738897556	"IS03"	1.3840044641224
"KCNJ2"	"KCNJ2"	-0.817558100557941	-0.58173890819278	1.38315625483403	0.414697668550844	"IS03"	1.38315625483403
"MT1G"	"MT1G"	-0.308270556005214	-0.533653807153837	1.3664941422809	-0.142421686123672	"IS03"	1.3664941422809
"MT1M"	"MT1M"	-0.410196532793418	-0.712704208400046	1.35726299538237	0.185406992393201	"IS03"	1.35726299538237
"LOC400696"	"LOC400696"	-0.458628285396935	-0.318065310721465	1.35625358852145	-0.245374187167239	"IS03"	1.35625358852145
"MEFV"	"MEFV"	-1.01356206788616	-0.421376529960805	1.34588069256599	0.446648206150078	"IS03"	1.34588069256599
"CD14"	"CD14"	-0.456300968780761	-0.6418303122422	1.32816659218654	0.16896515698544	"IS03"	1.32816659218654
"IFIT3"	"IFIT3"	-0.447810509699881	-0.569071816143881	1.31884152812859	0.0793985067893652	"IS03"	1.31884152812859
"CCRL2"	"CCRL2"	-0.49613706305747	-0.407788135307676	1.29468213994087	-0.0488215802722585	"IS03"	1.29468213994087
