"Gene"	"IS01"	"IS02"	"IS03"	"State"	"MaxFC"	"InitialState"
"SFTA1P"	"SFTA1P"	0.29531999035281	0.236470356999581	-0.374691654327723	"S01"	0.29531999035281	"IS01"
"SUB1"	"SUB1"	0.241567401617308	-0.259411505403312	-0.0670085717407667	"S01"	0.241567401617308	"IS01"
"LOC653198"	"LOC653198"	0.212601257913691	0.00586069988901465	-0.18281192512511	"S01"	0.212601257913691	"IS01"
"LOC647281"	"LOC647281"	-0.441640070031992	1.95820941574166	-0.662274292710949	"S02"	1.95820941574166	"IS02"
"XAGE2"	"XAGE2"	-0.431936458294925	1.72947681770519	-0.549512138314309	"S02"	1.72947681770519	"IS02"
"LOC100288267"	"LOC100288267"	-0.273722747632947	1.63084257840581	-0.631088218881977	"S02"	1.63084257840581	"IS02"
"SFTPA2"	"SFTPA2"	-0.371322133645539	1.59533783701893	-0.529810560863535	"S02"	1.59533783701893	"IS02"
"HOXC12"	"HOXC12"	-0.249349646551476	1.4388413609554	-0.550151526170478	"S02"	1.4388413609554	"IS02"
"GJB4"	"GJB4"	-0.296897205552806	1.41001847069661	-0.494716514079661	"S02"	1.41001847069661	"IS02"
"ITGB6"	"ITGB6"	-0.175213428062083	1.3548037503113	-0.568376028961983	"S02"	1.3548037503113	"IS02"
"ODZ2"	"ODZ2"	0.00783068820606306	1.30886114673033	-0.698807165536568	"S02"	1.30886114673033	"IS02"
"LOC100129218"	"LOC100129218"	-0.31830744677281	1.21030305400497	-0.370999384279684	"S02"	1.21030305400497	"IS02"
"FERMT1"	"FERMT1"	0.0762899414828757	1.17324671046367	-0.684956639919741	"S02"	1.17324671046367	"IS02"
"MS4A2"	"MS4A2"	0.464586706181064	1.16699654153539	-1.00987972516544	"S02"	1.16699654153539	"IS02"
"EPPK1"	"EPPK1"	-0.0268582870495661	1.05829826827755	-0.536974930546458	"S02"	1.05829826827755	"IS02"
"HDC"	"HDC"	0.653018742289387	1.04455346971816	-1.10440821084547	"S02"	1.04455346971816	"IS02"
"C1orf150"	"C1orf150"	0.257329339956319	1.0413968597756	-0.768261354980981	"S02"	1.0413968597756	"IS02"
"LRRC8E"	"LRRC8E"	0.0197950505855962	1.01731788428396	-0.554738771970426	"S02"	1.01731788428396	"IS02"
"EFNA1"	"EFNA1"	0.562804948962724	0.998377443775909	-1.00373013598482	"S02"	0.998377443775909	"IS02"
"SLC6A11"	"SLC6A11"	0.237015104669918	0.975548777681442	-0.716266078966503	"S02"	0.975548777681442	"IS02"
"ZFP42"	"ZFP42"	0.0250936209767733	0.924444718324946	-0.51010193451144	"S02"	0.924444718324946	"IS02"
"C1orf170"	"C1orf170"	0.197549721752977	0.916079719902551	-0.651455808540188	"S02"	0.916079719902551	"IS02"
"LOC728377"	"LOC728377"	0.451642361060346	0.914750744610915	-0.865538286999008	"S02"	0.914750744610915	"IS02"
"BMP2"	"BMP2"	0.700891328058034	0.89811192910168	-1.06742982435773	"S02"	0.89811192910168	"IS02"
"ARHGEF5"	"ARHGEF5"	0.484975257254428	0.89586920674749	-0.883729235656612	"S02"	0.89586920674749	"IS02"
"STK32A"	"STK32A"	0.121813820385376	0.858779206356177	-0.557132784350766	"S02"	0.858779206356177	"IS02"
"OR2A7"	"OR2A7"	0.231723566544375	0.836925832028633	-0.638482735973239	"S02"	0.836925832028633	"IS02"
"LAMA3"	"LAMA3"	0.286307350703352	0.824594570840371	-0.678101223787808	"S02"	0.824594570840371	"IS02"
"CPA3"	"CPA3"	0.74679346576518	0.820070384941115	-1.06495897463632	"S02"	0.820070384941115	"IS02"
"TPSAB1"	"TPSAB1"	0.668585102072855	0.81565207465004	-0.996512587852926	"S02"	0.81565207465004	"IS02"
"CTSG"	"CTSG"	0.503056050875973	0.780941226193659	-0.838233619389714	"S02"	0.780941226193659	"IS02"
"PLEK2"	"PLEK2"	0.685155425687163	0.751095002769224	-0.976378692411781	"S02"	0.751095002769224	"IS02"
"LAMC2"	"LAMC2"	0.258081280858955	0.734104185276306	-0.606386030263941	"S02"	0.734104185276306	"IS02"
"PPP1R14C"	"PPP1R14C"	0.228953511011849	0.723466036800068	-0.576138277670705	"S02"	0.723466036800068	"IS02"
"LOC388248"	"LOC388248"	0.543481074208605	0.629554172688021	-0.792344363248255	"S02"	0.629554172688021	"IS02"
"SEL1L2"	"SEL1L2"	0.147276592006415	0.604383996919455	-0.444120290934313	"S02"	0.604383996919455	"IS02"
"GRIA3"	"GRIA3"	0.536533363005586	0.601027367008142	-0.771385113199567	"S02"	0.601027367008142	"IS02"
"CPNE6"	"CPNE6"	-0.220996684729431	0.56386224367847	-0.111387911690384	"S02"	0.56386224367847	"IS02"
"TRIM16L"	"TRIM16L"	0.167304715208378	0.559631823919282	-0.437383054286153	"S02"	0.559631823919282	"IS02"
"KCNK7"	"KCNK7"	-0.00546340056916402	0.506457827312392	-0.263220693323399	"S02"	0.506457827312392	"IS02"
"IL24"	"IL24"	-0.146527565066199	0.441461906146257	-0.10960578717049	"S02"	0.441461906146257	"IS02"
"IL1F7"	"IL1F7"	0.130663369609273	0.415774486466293	-0.330331426193996	"S02"	0.415774486466293	"IS02"
"PRLHR"	"PRLHR"	-0.062424369720196	0.282065670587552	-0.0964021912134673	"S02"	0.282065670587552	"IS02"
