"IS01"	"IS02"	"IS03"
"CTSG__neg"	2.22044604925031e-16	0.325851580572664	31.1310610662002
"IL24__neg"	15.2238699449154	2.22044604925031e-16	21.7267711212388
"OR2A7__neg"	8.34848553480277	0.108842111460748	25.1750705393268
"SEL1L2__neg"	7.8122505965537	1.66199250029357	15.7618790895366
"TPSB2__neg"	2.22044604925031e-16	2.22044604925031e-16	32.775957787472
"TPSAB1__neg"	1.38943124546158	2.22044604925031e-16	27.2870333929763
"C1orf150__neg"	7.45294011842877	2.22044604925031e-16	25.2149932710332
"EPPK1__neg"	7.29507579221807	2.22044604925031e-16	29.0346710382627
"LOC100129218__neg"	11.9684352734746	2.22044604925031e-16	20.6176923923087
"LOC653198__neg"	8.63476660081994	3.57514572033855	19.2355831539405
