"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"State"	"MaxFC"
"LOC728264"	"LOC728264"	1.39095086141449	-0.730462898361726	0.16189957120133	-0.645792542178578	"IS01"	1.39095086141449
"VILL"	"VILL"	1.36860697523464	-0.957747363220012	-0.251931800854286	-0.00933198255256441	"IS01"	1.36860697523464
"LOC100288163"	"LOC100288163"	1.36434547971172	-0.987030791828394	0.218077998017547	-0.391239206435041	"IS01"	1.36434547971172
"LOC100289019"	"LOC100289019"	1.35850477340793	-1.19536333584185	-0.188601847596344	0.202804901689939	"IS01"	1.35850477340793
"UCP3"	"UCP3"	1.35141041768493	-0.953686296855068	-0.125658842048726	-0.109957308011893	"IS01"	1.35141041768493
"RNF207"	"RNF207"	1.34988502086161	-1.01241609739082	0.383630397917081	-0.497237500508301	"IS01"	1.34988502086161
"TMEM79"	"TMEM79"	1.34056338903013	-1.17738934004342	-0.143639583788237	0.159988519844416	"IS01"	1.34056338903013
"SRPK3"	"SRPK3"	1.33722831273765	-0.95239725499145	-0.272284015403856	0.0322117366604859	"IS01"	1.33722831273765
"BAIAP2L2"	"BAIAP2L2"	1.33353106763825	-0.910186876942272	0.0554778007277307	-0.301703488210426	"IS01"	1.33353106763825
"CCDC130"	"CCDC130"	1.33262709678438	-0.810212003744329	-0.281587731111531	-0.110207811165073	"IS01"	1.33262709678438
"LOC100287829"	"LOC100287829"	1.33237406006345	-0.899258493091823	0.128567077719381	-0.3775067140867	"IS01"	1.33237406006345
"LOC100133161"	"LOC100133161"	1.33166528170625	-1.10504683617951	0.13499749879609	-0.158249273649071	"IS01"	1.33166528170625
"LOC653340"	"LOC653340"	1.32397856578807	-0.765905718782091	0.236712297181181	-0.611161088909967	"IS01"	1.32397856578807
"GDI1"	"GDI1"	1.31741590022508	-1.14333755599311	0.154070007245396	-0.120167803632095	"IS01"	1.31741590022508
"LOC100288673"	"LOC100288673"	1.31687041034621	-0.802707675734134	0.203712738404429	-0.535078693107422	"IS01"	1.31687041034621
"C20orf46"	"C20orf46"	1.31580025374967	-0.742361683065849	0.328849467871463	-0.711095142831499	"IS01"	1.31580025374967
"RUFY4"	"RUFY4"	1.31057471710464	-0.876026308419167	0.26760343774734	-0.506079031010001	"IS01"	1.31057471710464
"PLCB2"	"PLCB2"	1.30927952824833	-1.04641553440194	0.301347038172528	-0.349139230799554	"IS01"	1.30927952824833
"ECHDC2"	"ECHDC2"	1.30632859756922	-0.780839426030658	0.279346054710191	-0.616309711901588	"IS01"	1.30632859756922
"PDZK1"	"PDZK1"	1.30343342180392	-0.779761856396561	-0.224558173481902	-0.166849208144115	"IS01"	1.30343342180392
"FAM118A"	"FAM118A"	1.28943755071941	-0.827179213195093	-0.139402244216033	-0.17779938273834	"IS01"	1.28943755071941
"RAPSN"	"RAPSN"	1.28361665588051	-0.563589319468816	-0.19193776621766	-0.412983576430213	"IS01"	1.28361665588051
"WDR21B"	"WDR21B"	1.28334399603959	-0.841058751114649	-0.410596426737543	0.0840876012821458	"IS01"	1.28334399603959
"LOC100289125"	"LOC100289125"	1.27266012749819	-0.842576081359475	0.0545244690620144	-0.31774557143743	"IS01"	1.27266012749819
"RASAL3"	"RASAL3"	1.27261348735697	-0.956026836062681	0.233336205280406	-0.352989413104859	"IS01"	1.27261348735697
"ZBTB40"	"ZBTB40"	1.27087068486642	-1.35288272010874	-0.0509391622285163	0.333914992197152	"IS01"	1.27087068486642
"LOC646513"	"LOC646513"	1.25890195955531	-0.653490659151832	-0.66573353512057	0.129243873067719	"IS01"	1.25890195955531
"MGC16121"	"MGC16121"	1.24336326484771	-0.77110556084791	0.109035752300271	-0.416764886778051	"IS01"	1.24336326484771
"LOC100131582"	"LOC100131582"	1.23893716100275	-1.11968795516693	-0.360185275173331	0.384427770981904	"IS01"	1.23893716100275
"C9orf139"	"C9orf139"	1.23826459639043	-0.766946156091854	0.258399647849901	-0.549313749194132	"IS01"	1.23826459639043
"THBS3"	"THBS3"	1.22524747018509	-0.869647831366299	0.236434492503999	-0.405694021036255	"IS01"	1.22524747018509
"MPZ"	"MPZ"	1.21591797946115	-0.671113023307212	-0.40264195184256	-0.0453018913729139	"IS01"	1.21591797946115
"SEMA4G"	"SEMA4G"	1.2153936118891	-1.13632750185683	-0.218353145195869	0.29845872546309	"IS01"	1.2153936118891
"LOC100132062"	"LOC100132062"	1.21183090248753	-0.831370882234722	0.133639342173996	-0.343518350108613	"IS01"	1.21183090248753
"SLC6A13"	"SLC6A13"	1.20418227766512	-0.679169792698423	-0.140389296576023	-0.258690677083596	"IS01"	1.20418227766512
"SLC23A1"	"SLC23A1"	1.19692495584784	-0.746673216231751	-0.477862950182874	0.121650651950192	"IS01"	1.19692495584784
"MAP3K6"	"MAP3K6"	1.19093549924335	-1.08008706688788	0.642939834054591	-0.505643895495801	"IS01"	1.19093549924335
"MAPK15"	"MAPK15"	1.19054039531151	-0.736896240326084	-0.088041145674361	-0.229570494682224	"IS01"	1.19054039531151
