"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"
"ADIPOQ__pos"	0.996312900179302	1.80981078422124	0.522759530986503	20.2433056477881	0.0129350384185919	0.75611562443486	1.894783255796
"GLA__pos"	1.30354207562086	2.25252394905665	2.22044604925031e-16	2.22044604925031e-16	11.0800206593922	3.86213377050934	6.32154843987119
"SLAMF1__pos"	2.22044604925031e-16	1.4149203013918	12.2108396360562	1.28948365908045	10.2769930391351	1.8227802426712	1.36832895247376
"SFRP2__pos"	2.22044604925031e-16	1.05855377825755	1.15955738165809	6.7976981189715	2.22044604925031e-16	2.22044604925031e-16	16.8276382835701
"SLC9A9__pos"	2.22044604925031e-16	3.33615230257178	1.48363989068405	5.43947270232721	9.84314800830006	0.762548647257479	2.04438175208716
"ARMC10__pos"	2.66915713202333	13.950155806885	3.50630451221681	0.218514396013263	0.0119875759058189	2.22044604925031e-16	0.30722677542246
"IFI6__pos"	2.22044604925031e-16	5.34518373166512	0.680654072045576	2.72575040780906	7.7475586974238	2.41504586607025	3.27092655323666
"PEX1__pos"	8.31000753190122	2.22044604925031e-16	3.98488861045277	6.44004122169996	1.42239794517309	0.10586580886925	0.497712287451406
"SCARA5__pos"	1.55719156276605	0.0620665568634618	4.81874666247765	4.48684692784713	2.05898921247625	0.315043612727038	11.9767372254829
"GPR137B__pos"	0.569571818058177	1.44710441280028	7.34486828877505	2.22044604925031e-16	12.3905705170714	0.583522370069718	5.21526078648862
"DBNDD1__pos"	1.81623007044399	2.22044604925031e-16	8.56513649598995	6.76103367411012	1.11812249492653	8.38186313560288	2.22044604925031e-16
"SFRP4__pos"	2.22044604925031e-16	1.19591849741516	2.65270127952635	11.8788521690699	2.22044604925031e-16	2.22044604925031e-16	10.8545067169479
"SPINK2__pos"	2.22044604925031e-16	2.3125183825218	22.5665902869629	0.813037940700224	0.499641482524197	0.755045712908401	1.11466699973871
"MYO1A__pos"	0.00216999507044847	2.22044604925031e-16	2.22044604925031e-16	0.181488277624152	11.6996458806077	12.3376400998452	5.22068765365579
"TNFRSF13C__pos"	5.26195414910637	2.22044604925031e-16	10.2756399797995	1.29654668892476	2.22044604925031e-16	7.70241250327824	0.761228660383273
"ZNF185__pos"	5.01063160136248	0.441152589166858	13.9362998200359	2.98309628884424	2.05003481563022	2.22044604925031e-16	1.18658896549688
"KIAA1881__pos"	1.90615799126102	2.22044604925031e-16	4.83316676229063e-09	16.4587334926168	2.22044604925031e-16	5.08908332699465	2.67499529441115
"LOC100288550__pos"	0.57486830551143	6.9878059405782	17.6145625529861	0.318428707257646	2.22044604925031e-16	0.341464388157872	2.22044604925031e-16
"CACNA1E__pos"	0.280738283212923	0.0538618318547449	2.46678029520515	0.372969376751361	10.1971078856858	7.43661447048366	6.53831657914264
"NDNL2__pos"	4.25437753006951	4.30936965657437	7.24011919380071	1.15699315468285	2.82089060959622	1.40248443327014	0.657324044749407
"CAMK2B__pos"	4.88597858157178	2.22044604925031e-16	13.3119228885784	2.8638654836486	2.22044604925031e-16	2.52976215042265	3.10593617701525
"PI16__pos"	0.0918793554356448	1.56021962066985	3.77913712628472	17.2166234052186	0.652445367101344	4.74851112880138	0.097937574239303
"LOC220594__pos"	2.12521507674129	2.22044604925031e-16	8.95843825194084	5.36544509569643	3.9683154361281	8.49594304783198	2.22044604925031e-16
"PLIN__pos"	1.55169098925276	0.739710416822375	2.22044604925031e-16	18.231840045508	2.22044604925031e-16	3.17755098088142	2.53560147964687
"LEPROTL1__pos"	0.225464942796746	5.59092349630722	2.22044604925031e-16	5.637420318123	9.71429727719932	2.22044604925031e-16	0.972521675731654
"SEPT7__pos"	7.60574090760654	3.92654947018606	0.962063991658451	2.61638636962643	1.49383482050602	2.22044604925031e-16	2.22044604925031e-16
"CCR2__pos"	0.839463589095219	4.07221307459543	2.22044604925031e-16	6.98733411317137	10.7399657103715	2.22044604925031e-16	1.99572613497786
"HSPA1B__pos"	3.09487012626046	0.48185142685787	2.22044604925031e-16	2.19081225518181	3.8245143719732	5.93085009876371	8.254134720983
"BARX2__pos"	2.22044604925031e-16	0.832460678807024	7.03289913170881	6.73320449937947	5.66420798835651	1.07306667423407	4.61646645542344
"DCD__pos"	0.167239774271422	0.972869092979432	3.85257730263946	14.2551924663323	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"SLC2A1__pos"	5.6608837365075	2.22044604925031e-16	5.6494447335382	2.15127391718035	3.59055812628334	0.715278994068281	6.16347026806161
