"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C03_830686"	"MS2010072003"	"MS2010072036"	"MS2010072827"	"MS2010072831"	"MS2010072913"	"MS2010072925"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A03_830756"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B09_830678"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C11_830764"	"MS2010072004"	"MS2010072805"	"MS2010072835"	"MS2010072838"	"MS2010072902"	"MS2010072917"	"MS2010072930"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A12_841926"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B08_841908"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C07_830734"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C08_830838"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C09_830750"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C10_830840"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_D08_830828"	"MS2010072026"	"MS2010072038"	"MS2010072813"	"MS2010072837"	"MS2010072932"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B04_841918"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A01_830792"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A07_830800"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A11_830708"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B07_830666"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B11_830836"	"MS2010072001"	"MS2010072023"	"MS2010072034"	"MS2010072042"	"MS2010072821"	"MS2010072824"	"MS2010072828"	"MS2010072904"	"MS2010072921"
"ATOX1"	13.0558468097839	13.3996756742426	13.1721811540623	12.5300903535373	12.5583375903518	12.710804502361	12.5767571013689	12.2584787946546	11.984065129063	12.6786211224295	12.5894396827477	13.3175302612486	12.442416171762	12.3826200337928	12.5647263752908	12.2052477345307	9.92511775756504	12.4451363045621	11.8262067530121	13.0675122439824	13.0955834158843	12.8543957545284	13.2697744598746	13.5514455704481	12.9905366128613	13.1241712844818	12.9826024772229	12.5788862908417	12.9672269821513	12.6330696733524	13.4266325185086	13.6189473919056	12.5625470026209	12.3688440945884	12.5410639041501	13.4864311771566	13.1786973397156	13.3261972488624	13.0678167670017	12.2175332852115	13.1688462877442	12.6478925253443	12.8165678305207	13.4324504995317
"GPR35"	7.70961514607398	4.3875231682478	4.54190902936203	5.68691959293319	6.77081165447538	4.78212185728577	4.27509613370884	5.36213687799926	6.22592206434086	6.21424298426296	6.48539899405043	7.28277013951606	6.33879618050788	5.33642306743472	6.25207440709411	6.06467031622952	6.97464142378191	6.0108776485931	4.30562941496979	5.1814995644437	6.55464524218688	5.14366647813849	6.64248171132626	6.57364724300426	5.18375684988695	6.25821823488675	6.74964757679091	5.8111915048794	4.5037422427863	5.94611467378757	5.71833630900104	6.82765209178817	5.3227633747675	3.01716311743282	5.61586286386329	7.05984824512182	5.9187571107101	7.08387783077128	4.30496251156838	5.18278404017173	6.64860137887867	6.26124808609757	7.18842863279812	7.24829495437829
"SCO2"	10.1661581028702	10.087634759361	10.542759701753	10.8048636685501	10.1488518548857	10.3400307353812	10.5932105981405	9.93093914626105	9.64098732143171	10.4366713023386	10.2915181944499	10.3777007103877	10.2563245683768	10.2706529322445	10.724469226692	10.2650779469867	9.8414891559914	10.638962157424	10.8740324208893	9.89069866047629	9.85232458217243	10.1270574451722	9.23838829308546	9.87448378107361	10.7773453546564	9.415454377247	10.4744969479457	10.3695812354691	10.0434221814957	10.0733380716156	10.1683196361318	10.3756268960062	10.7823278193282	10.3899236226139	9.56545780298159	10.1797722809464	10.705214434432	11.3957840811756	10.673826343523	10.2103059717064	10.7429242830362	10.441088322129	10.4783571899671	11.3663133193509
"FAM108A1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"NUP210L"	4.6438839937916	1.02176792131488	4.53879537553836	1.31581336986291	2.03179153315856	3.11193363691416	4.37953629363247	3.86238728421701	3.95444531108118	5.8533306008614	1.92794364753354	3.11903793355424	5.08468023472909	3.33837964032387	4.79510484172183	2.01291490224043	7.93787957453717	1.15891437145048	1.36302393138996	2.8881335377492	2.41408392718257	2.339705735005	3.21011169571405	4.4116388518156	2.83583117643048	4.94780896594276	3.81072052447901	1.97436977648893	5.64860185367562	4.18505582561159	3.04117474100916	4.32571131282228	1.56601975899264	3.81721381507772	1.66532575313653	3.06228870263002	2.3282585477632	4.73837605521018	5.11841663234746	2.3777064334035	4.28841094009272	2.55679940163971	2.33705054185876	4.07602287858671
"LOC729046"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"NCAPH2"	7.78991901653805	7.61881586711832	7.97289430056323	7.61358741857004	7.60603497599754	7.59686350574259	7.91075613142912	6.6501473392431	7.07512635408699	6.46890227154685	7.31567012904722	6.78397779253468	7.15944489680251	7.34824984583491	7.31573070540998	7.62949393026386	8.395251126042	6.34433974975471	7.47501516355808	6.97737807322713	7.24557935928769	6.62018258153465	6.50162831272637	6.30179616892963	7.38599250463008	7.30300410486274	6.61267292985559	6.84999851785267	7.22482157563777	6.6170102913077	6.1777904794773	6.54015791813338	6.63782246873472	6.43289410496705	6.59075178877838	7.06824201340862	7.35362666203848	7.27497077350719	7.72402554285107	7.53062937482122	7.35492709271809	7.16273580229357	7.35571624073964	7.15257574786254
"PTTG3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CACNB1"	6.09739548097379	4.34530485590263	5.64809976346419	5.19588426219035	4.26401694620271	3.5146360176681	7.07951225964363	2.76324705867354	3.82099340646893	3.51827861237034	5.79258826051052	3.21814943517385	3.82690807466148	5.15062509434573	5.64229024847732	3.75898326620297	7.6097575687201	3.52835340319981	4.00021216741907	3.49203711459793	3.02364131227354	5.14096784176087	2.92150645872677	2.66844393308866	7.36685953503895	5.58940474079184	3.44045266592234	5.63224062733861	6.16440881347807	5.17457820043409	4.36225027471399	2.60700330401721	3.57615479451178	3.12477494687632	3.26037947265584	5.01547840984305	6.00920436213507	4.89551715819768	3.95434144465454	4.06539292086112	3.68277543912596	5.22009428721486	4.69242803840388	5.86842694083596
"CTNNB1"	10.0659377964921	9.59646463673595	10.5558051108775	10.1969458758525	9.92925247529542	9.7030591651025	9.87410230970228	11.0139936455478	10.5615713815339	10.6593497822953	10.1075671196801	10.6213360313633	9.74246616977223	10.3976885505115	10.1997078694756	9.88493528966661	10.2942906104773	11.1038810210637	10.6294514982305	10.7477426059963	11.0243446323587	10.9728875810438	10.5087969431627	11.1088590161813	10.487838787923	10.6252493692088	10.5005676876008	10.7799955947363	10.2851127535343	11.0568291200769	10.8289220642669	10.7646440548667	10.9038562103089	11.0370890483067	10.4660208272263	10.1021910308712	10.213829176854	10.2213584254343	10.2574843242512	10.49645808842	10.1553706342154	10.5100394843756	10.3782863576353	9.8364863618918
